video,frame_index,column,source,shape,dtype,min_r,min_g,min_b,max_r,max_g,max_b,mean_r,mean_g,mean_b,green_dominant_ratio
bear,0,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/bear/00000.jpg,"(1080, 1920, 3)",uint8,2,1,0,255,255,255,98.36825038580247,88.93786651234568,81.63558015046296,0.0014805169753086419
bear,0,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/bear/00000.png,"(1080, 1920, 3)",uint8,2,1,0,255,255,255,107.4000217013889,85.4342896412037,78.8158666087963,0.0014805169753086419
bear,0,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/bear/00000.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,254,101.61586564429012,93.74917872299383,87.48154176311728,0.0012760416666666666
bear,0,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/bear/00000.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,97.91059076003087,91.1815022183642,82.23180266203704,0.00228539737654321
bear,0,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/bear/00000.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,93.82449122299383,87.27206163194444,78.36243007330246,0.002283950617283951
bear,41,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/bear/00041.jpg,"(1080, 1920, 3)",uint8,2,1,0,255,255,248,93.37884500385802,82.27217978395062,76.39365354938272,6.751543209876544e-06
bear,41,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/bear/00041.png,"(1080, 1920, 3)",uint8,2,0,0,255,255,248,102.00323302469135,79.27321614583333,74.07033661265432,6.751543209876544e-06
bear,41,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/bear/00041.png,"(1080, 1920, 3)",uint8,1,0,0,255,254,251,95.29021363811728,85.84021942515432,81.02372926311729,0.0
bear,41,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/bear/00041.png,"(1080, 1920, 3)",uint8,0,0,0,255,253,243,92.46718798225308,84.6359341242284,76.50236738040124,0.0003968942901234568
bear,41,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/bear/00041.png,"(1080, 1920, 3)",uint8,0,0,0,255,253,243,88.62790075231482,80.80372733410493,72.8509548611111,0.0003968942901234568
