split,sample_id,source_sample_id,scene_group,winner_member_path,identity_hash
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV181_00006_007_01,REAL_ENV181_00006_007_01,REAL_ENV181_00006,VOR-Train/BG/REAL_ENV181_00006_007_01.mp4,fe9067ea0ebc31184cdb74a6f1d6bee8ff1b5e0ab2ec1eee93991407c909085f
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV266_00005_001_01,REAL_ENV266_00005_001_01,REAL_ENV266_00005,VOR-Train/BG/REAL_ENV266_00005_001_01.mp4,49560b3bcd9045950e66d69d3d1005c5f78fc3ed1bd19a271216b75a4668d52a
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV177_00004_003_02,REAL_ENV177_00004_003_02,REAL_ENV177_00004,VOR-Train/BG/REAL_ENV177_00004_003_02.mp4,78f4f266d6eaa36352dc1e10821ebcaa282afc38a938b40cbd364c20f43cebe4
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV222_00105_004_01,REAL_ENV222_00105_004_01,REAL_ENV222_00105,VOR-Train/BG/REAL_ENV222_00105_004_01.mp4,a9ea97830fb9a5b6ad70439ad6a9d4e47f1f698ff1126641cb44f4ffbe59f0e5
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV233_00101_005_05,REAL_ENV233_00101_005_05,REAL_ENV233_00101,VOR-Train/BG/REAL_ENV233_00101_005_05.mp4,2ff720dad0e9fb7005fe28d8981ba226c75e284b5b8a62e8f340535e6b60ae34
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV265_00003_001_04,REAL_ENV265_00003_001_04,REAL_ENV265_00003,VOR-Train/BG/REAL_ENV265_00003_001_04.mp4,8b42c6877ba49507a8b66bf9eff4cf3cde55701d60e96d3a484faef533a82c5b
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV156_00013_006_02,REAL_ENV156_00013_006_02,REAL_ENV156_00013,VOR-Train/BG/REAL_ENV156_00013_006_02.mp4,dea3c000112421220ef20d524be6a475d83125b36ef9b67b31c0bd4239e61cdd
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV186_00003_006_01,REAL_ENV186_00003_006_01,REAL_ENV186_00003,VOR-Train/BG/REAL_ENV186_00003_006_01.mp4,6e4f3278a33057868f0520fa725b62eb9914a8dfc71b8f45b7faf0f4eaddaa19
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV161_00016_002_02,REAL_ENV161_00016_002_02,REAL_ENV161_00016,VOR-Train/BG/REAL_ENV161_00016_002_02.mp4,aa4dcac0b35a0c108958de21ac21e93521bb44fff0e2930632974ef15b9c8514
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV242_00119_004_01,REAL_ENV242_00119_004_01,REAL_ENV242_00119,VOR-Train/BG/REAL_ENV242_00119_004_01.mp4,cc5a0f7fcceea59392c6ed0a14a503fedf0b3812e9c84e25ef21a9bdc2f84da9
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV171_00019_005_02,REAL_ENV171_00019_005_02,REAL_ENV171_00019,VOR-Train/BG/REAL_ENV171_00019_005_02.mp4,6af83ddeaada97b76cf28fe5cd90746c9c5cb4a3b6a9f18ba5520ddf845f971a
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV171_00007_004_01,REAL_ENV171_00007_004_01,REAL_ENV171_00007,VOR-Train/BG/REAL_ENV171_00007_004_01.mp4,235848c4e1c69d64c6f75dc4c232af8992d1154f7e7e13ac6508c1ee08711b27
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV280_00103_004_05,REAL_ENV280_00103_004_05,REAL_ENV280_00103,VOR-Train/BG/REAL_ENV280_00103_004_05.mp4,de49f09c7c543129ca0009484a7c9287e6ed80a0aab4c1125d277aea3f28bf42
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV169_00002_005_04,REAL_ENV169_00002_005_04,REAL_ENV169_00002,VOR-Train/BG/REAL_ENV169_00002_005_04.mp4,c6a9fdfdb41d2c2490028a1bd91bc5fea992c561ab4523747c613e62ed0726b4
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV212_00028_003_03,REAL_ENV212_00028_003_03,REAL_ENV212_00028,VOR-Train/BG/REAL_ENV212_00028_003_03.mp4,bbda8c5eb17a0aad76a910a7e7b846b6ac87c40f5fdc7b91c1e059e9923371c8
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV197_00003_003_02,REAL_ENV197_00003_003_02,REAL_ENV197_00003,VOR-Train/BG/REAL_ENV197_00003_003_02.mp4,05750c72258d72f64d5b501e0f641e1115acb7a13ea924f89451d4f9763c8e5b
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV180_00003_003_03,REAL_ENV180_00003_003_03,REAL_ENV180_00003,VOR-Train/BG/REAL_ENV180_00003_003_03.mp4,7f65fe0d1f69b01e44c2be1cce8548eafdd042f812626ee8b590f1519c27989b
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV198_00012_003_03,REAL_ENV198_00012_003_03,REAL_ENV198_00012,VOR-Train/BG/REAL_ENV198_00012_003_03.mp4,a021241888b62d717f48f5e4eb351097fe3bb3a182a88044b4a461782da4a467
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV032_00002_002_04,REAL_ENV032_00002_002_04,REAL_ENV032_00002,VOR-Train/BG/REAL_ENV032_00002_002_04.mp4,f8a66e6d4c476175cc187f16d64e533c056e37ddc747c8e3f3814ec151f79e86
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV170_00008_007_01,REAL_ENV170_00008_007_01,REAL_ENV170_00008,VOR-Train/BG/REAL_ENV170_00008_007_01.mp4,7db6de4649c624e8684e7e2e8eb5e44e2763ec76d7929b7f0a16accae3d0f787
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV235_00102_001_01,REAL_ENV235_00102_001_01,REAL_ENV235_00102,VOR-Train/BG/REAL_ENV235_00102_001_01.mp4,fcc46ccadab6a0987d52d6ded4a827755521c85e8d0b8719ea7a6d4d105b9b18
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV215_00002_004_05,REAL_ENV215_00002_004_05,REAL_ENV215_00002,VOR-Train/BG/REAL_ENV215_00002_004_05.mp4,ff7546cfdfb65c2b11b2cd30aa9c8fefdd74306543a5cd210d5a25916b320221
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV156_00008_006_01,REAL_ENV156_00008_006_01,REAL_ENV156_00008,VOR-Train/BG/REAL_ENV156_00008_006_01.mp4,de8e54f4c0ee75a93298f340347e50dcf1c7e7d23042f7ce9131ce45e2bc1f09
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV215_00010_001_04,REAL_ENV215_00010_001_04,REAL_ENV215_00010,VOR-Train/BG/REAL_ENV215_00010_001_04.mp4,3d5af3b60d06ba24bb0d2116f7c5809dc2ec48760b04086ccdcc6477ac3a8fed
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV143_00001_003_03,REAL_ENV143_00001_003_03,REAL_ENV143_00001,VOR-Train/BG/REAL_ENV143_00001_003_03.mp4,1dfe41cff46e9fae937bae78e301aa48cb9986e2816a5297c074bdf9187e93fa
train_source_vor_bg,vp2_vor_bg_49f_BLENDER_BEACH028_00003,BLENDER_BEACH028_00003,BLENDER_BEACH028,VOR-Train/BG/BLENDER_BEACH028_00003.mp4,cbe8b59ae59695f0fffb1472f26d4993272776c19f29472edad410d6bac6f4ff
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV800_00016_005_04,REAL_ENV800_00016_005_04,REAL_ENV800_00016,VOR-Train/BG/REAL_ENV800_00016_005_04.mp4,7845d84dd5c4a942ea06567b0ba9dfa538eb81a4165e8033bd83ecb3cb0ab68f
train_source_vor_bg,vp2_vor_bg_49f_REAL_ENV161_00018_005_04,REAL_ENV161_00018_005_04,REAL_ENV161_00018,VOR-Train/BG/REAL_ENV161_00018_005_04.mp4,c6e21a819c4f333c429482a51b9669bcf5527b9103fa72643d658ccff80ee8ab
