trial_id	parent_id	config_hash	branch_commit	radius_mode	radius_value	adaptive_k	boundary_contribution	aggregation	seed	gpu_ids	world_size	effective_batch	train_seconds	num_steps	peak_vram	dev_psnr	dev_ssim	dev_lpips	dev_vfid_or_fvd	dev_tc	dev_ewarp	dev_mask_psnr	dev_boundary_psnr	implicit_acc	loser_dominant_ratio	max_grad_norm	status	keep_reason	description	checkpoint_path	log_path
RB01	P4	f56d72a7fa42dfd9		fixed_image_px	16.0	0.0	0.75	region_balanced	20260619	1	1	4	1800			29.32765068542861	0.9687467698786973	0.017626100838848895			12.031673459719256	17.02233939291618	22.8939519716045		0.0	10.746512766855947	evaluating_complete	pending_controller_gate	region-balanced radius 16px boundary alpha 0.75	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB01_f56d72a7fa42dfd9/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB01_f56d72a7fa42dfd9/eval_dev.log
RB05	P4	4d69e6bd0e01c259		fixed_image_px	16.0	0.0	2.5	region_balanced	20260619	5	1	4	1800			29.341866950432546	0.9687482730264751	0.018063396304569324			11.992293610487451	17.03655565792012	22.911410356612077		0.0	8.556154281539907	evaluating_complete	pending_controller_gate	region-balanced radius 16px boundary alpha 2.5	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB05_4d69e6bd0e01c259/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB05_4d69e6bd0e01c259/eval_dev.log
RB04	P4	dd9fba8d6dd37f47		fixed_image_px	16.0	0.0	2.0	region_balanced	20260619	4	1	4	1800			29.339191875622458	0.9687515571502627	0.017976106762337928			11.999816208038322	17.033880583110033	22.90867133049079		0.0	8.183614128169076	evaluating_complete	pending_controller_gate	region-balanced radius 16px boundary alpha 2.0	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB04_dd9fba8d6dd37f47/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB04_dd9fba8d6dd37f47/eval_dev.log
RB06	P5	2774f6fdd2227347		fixed_image_px	24.0	0.0	1.0	region_balanced	20260619	6	1	4	1800			29.322437889029136	0.9686975896653067	0.017714025947498158			12.022642194294704	17.017126596516707	22.887098812311788		0.0	11.25613543640812	evaluating_complete	pending_controller_gate	region-balanced radius 24px boundary alpha 1.0	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB06_2774f6fdd2227347/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB06_2774f6fdd2227347/eval_dev.log
RB03	P4	650c095bca7fbe22		fixed_image_px	16.0	0.0	1.5	region_balanced	20260619	3	1	4	1800			29.33676184588612	0.9687618797196494	0.017863661207835925			12.009634920421217	17.03145055337369	22.90469683345009		0.0	8.445849388324865	evaluating_complete	pending_controller_gate	region-balanced radius 16px boundary alpha 1.5	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB03_650c095bca7fbe22/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB03_650c095bca7fbe22/eval_dev.log
RB02	P4	fb3996464525c9ea		fixed_image_px	16.0	0.0	1.0	region_balanced	20260619	2	1	4	1800			29.330825402599768	0.9687523176914595	0.017711739603934497			12.023061918981789	17.025514110087343	22.89858029876652		0.0	9.697885825683715	evaluating_complete	pending_controller_gate	region-balanced radius 16px boundary alpha 1.0	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB02_fb3996464525c9ea/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB02_fb3996464525c9ea/eval_dev.log
RB07	P5	bfea3261a43564d3		fixed_image_px	24.0	0.0	1.5	region_balanced	20260619	0	1	4	1800			29.3220293368241	0.9686417706959674	0.01796290770168222			12.0003291160332	17.016718044311673	22.889238571116266		1.0	10.15984838439177	evaluating_complete	pending_controller_gate	region-balanced radius 24px boundary alpha 1.5	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB07_bfea3261a43564d3/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB07_bfea3261a43564d3/eval_dev.log
RB09	BF07	5890bf972eaa4769		fixed_image_px	28.0	0.0	1.5	region_balanced	20260619	5	1	4	1800			29.353811876873102	0.9688893184818371	0.017885801640659338			12.00845299694186	17.048500584360678	22.912110267536786		0.0	11.192222676433737	evaluating_complete	pending_controller_gate	region-balanced radius 28px boundary alpha 1.5	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB09_5890bf972eaa4769/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB09_5890bf972eaa4769/eval_dev.log
RB08	P5	8e5827c5e2a564dd		fixed_image_px	24.0	0.0	2.0	region_balanced	20260619	1	1	4	1800			29.35932254839541	0.9689039043013623	0.017981030593849333			11.999265986204314	17.054011255882983	22.919800043012355		0.0	9.442233748788382	evaluating_complete	pending_controller_gate	region-balanced radius 24px boundary alpha 2.0	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB08_8e5827c5e2a564dd/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB08_8e5827c5e2a564dd/eval_dev.log
RB10	BF07	d26c032fb2306161		fixed_image_px	28.0	0.0	2.5	region_balanced	20260619	4	1	4	1800			29.356687112123225	0.9688665119204005	0.018082037057562655			11.99149642355263	17.051375819610794	22.91461979040338		0.0	10.309865434320066	evaluating_complete	pending_controller_gate	region-balanced radius 28px boundary alpha 2.5	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB10_d26c032fb2306161/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB10_d26c032fb2306161/eval_dev.log
