milestone	status	notes
A_readback	EXP49_PAI_ACCESS_BLOCKED_BEFORE_DOWNLOAD	Public ROSE assets audited from HAL; PAI shell not verified; no downloads.
B_assets	ROSE_ASSETS_PARTIAL	PAI direct asset download used hf-mirror after huggingface.co timeout; see reports/exp49_rose_asset_download.md.
C_env	ROSE_ENV_PARTIAL	Isolated Python 3.10 venv import/CUDA smoke; Python 3.12 unavailable for torch/pip.
D_feasibility	NOT_STARTED	Blocked until code assets are available.
E_inference_smoke	NOT_STARTED	Blocked until env and weights are ready.
F_gate16	NOT_STARTED	Blocked until inference smoke is technically valid.
G_one_step	NOT_STARTED	Blocked until trainable-forward feasible.
H_10step	NOT_STARTED	Blocked until one-step passes.
I_paper_positioning	NOT_STARTED	Requires actual ROSE results.
D_adapter_feasibility	ROSE_TRAINING_FORWARD_BLOCKED	No official train/finetune optimizer/backward/loss script found; transformer forward and LoRA utilities present.
C_env_py312	ROSE_ENV_READY	Python 3.12 virtualenv import/CUDA smoke passed with torch 2.6.0 and ROSE requirements.
