manifest,rows,source_path,original_path,rewritten_path,source_sha256,original_sha256,rewritten_sha256,absolute_refs_before,absolute_refs_after,missing_rewritten_paths
exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_train32_v3.jsonl,32,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_train32_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_train32_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_train32_v3.jsonl,1eda205d2dc48714269f30eb390d959549387a778e6438267e6aba087ba14196,1eda205d2dc48714269f30eb390d959549387a778e6438267e6aba087ba14196,eb8d174981d8ca2ba126f32b6c6b0b2852263ab33e86168acf655f46d8515e75,240,480,87
exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_heldout16_v3.jsonl,16,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_heldout16_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_heldout16_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_heldout16_v3.jsonl,84c231ded930d740bf299b27c2a6b1e95d7decdb3665051371c5df90ae9f2ade,84c231ded930d740bf299b27c2a6b1e95d7decdb3665051371c5df90ae9f2ade,b48249414b5ad34e7a459cd55ef33d8b198404bebc47a9075232260fb763b320,134,268,54
exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_selected_primary_v3.jsonl,50,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_selected_primary_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_selected_primary_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_selected_primary_v3.jsonl,f1621a7fa5dd61844521a7bbfcc6dd45ad0378db4bf0440f8afe787558c3f4c3,f1621a7fa5dd61844521a7bbfcc6dd45ad0378db4bf0440f8afe787558c3f4c3,e481b17d2f66c484eee4124e4c18fefc60345742ded6e5e75a80db2a4576bcb6,388,776,145
exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_candidates_all_v3.jsonl,256,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_candidates_all_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_candidates_all_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_candidates_all_v3.jsonl,a64610e369e2904de5331913501a55736bc71d962644663e8ac0869dee1568a1,a64610e369e2904de5331913501a55736bc71d962644663e8ac0869dee1568a1,cabd671eb9e17e3d80c733ffbb09ae8c4960ca191d16e89df52a5c74dd1d624e,1664,3328,512
exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_rejected_v3.jsonl,206,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_rejected_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_rejected_v3.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp30_vor_or_multimodel_minimax/manifests/vor_or_gate64_rejected_v3.jsonl,25a8e081214a6dc7ee55bde57a8ce55ebd470db7f481a99b66eeffc55ddc36a9,25a8e081214a6dc7ee55bde57a8ce55ebd470db7f481a99b66eeffc55ddc36a9,a68de4f8b4119efc094d9c7761fb2783fe866b122e9932507ce38e996e0e94a5,1276,2552,367
exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_train32.jsonl,32,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_train32.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_train32.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_train32.jsonl,1ed5c7d4667e7ad1ddc26a042a8613a2a3135c8a8bd3da37071e39e608b66269,1ed5c7d4667e7ad1ddc26a042a8613a2a3135c8a8bd3da37071e39e608b66269,32b27c4a2128c3ee97d6795151f21e033a59cfc05e656b684e6de17b8e54a0d8,192,384,32
exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_heldout16.jsonl,16,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_heldout16.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_heldout16.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp37_minimax_localdpo_badnoise_rescue/manifests/localdpo_or_heldout16.jsonl,c761ec3115bf28305879cfd5a9ea835eb121cb9f95ece1e1dcdce99e95ff4abf,c761ec3115bf28305879cfd5a9ea835eb121cb9f95ece1e1dcdce99e95ff4abf,654c6e5f6c543cc519780f02f2cb6b34cab1d9ee540945501933d96d15920d2e,96,192,16
exp37_minimax_localdpo_badnoise_rescue/manifests/exp37_badnoise_states.jsonl,32,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp37_minimax_localdpo_badnoise_rescue/manifests/exp37_badnoise_states.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp37_minimax_localdpo_badnoise_rescue/manifests/exp37_badnoise_states.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp37_minimax_localdpo_badnoise_rescue/manifests/exp37_badnoise_states.jsonl,492210b2cd725faa348adcbafaf37bf82cc6790b4eb0607b9f758047d1c795d4,492210b2cd725faa348adcbafaf37bf82cc6790b4eb0607b9f758047d1c795d4,304b668db6e9f79a9e3206562392a09342129fc6533896bce31e42573ac2989d,128,256,0
exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_train30_filtered.jsonl,30,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_train30_filtered.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_train30_filtered.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_train30_filtered.jsonl,dd371ff2953da1cb60876351af84af3ca30b95418cc80f5d964adc0d59283ca0,dd371ff2953da1cb60876351af84af3ca30b95418cc80f5d964adc0d59283ca0,33c034a7201a50b8f395f3611fbb811534739ea556ad5226aba6bd2d546bd862,180,360,30
exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_heldout13_filtered.jsonl,13,/home/nvme01/H20_Video_inpainting_DPO_exp39_minimax_h20/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_heldout13_filtered.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/pai_original/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_heldout13_filtered.jsonl,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/manifests/h20_rewritten/exp38_minimax_full_adapter_breakthrough/manifests/localdpo_v2_heldout13_filtered.jsonl,feed05a2c5ca296313a1f82f7b0d6d22ef6b231d4edf6de16321b341f2385490,feed05a2c5ca296313a1f82f7b0d6d22ef6b231d4edf6de16321b341f2385490,3cd6734b9f42d9bc448c853d44815812f2bfaaf8c09edac69efbb545621149b3,78,156,13
