trial_id	parent_id	config_hash	branch_commit	radius_mode	radius_value	adaptive_k	boundary_contribution	aggregation	seed	gpu_ids	world_size	effective_batch	train_seconds	num_steps	peak_vram	dev_psnr	dev_ssim	dev_lpips	dev_vfid_or_fvd	dev_tc	dev_ewarp	dev_mask_psnr	dev_boundary_psnr	implicit_acc	loser_dominant_ratio	max_grad_norm	status	keep_reason	description	checkpoint_path	log_path
EQ_P0_shadow	P0	1d8cd54758b73251		legacy_latent_exact	0.0	0.0	0.75	legacy_global_weighted_mean	20260619	2	1	4	0			29.502416653602637	0.9692434529710597	0.017898182287657015			8.95197374939807	18.209545956207855	25.440119198837102		1.0	13.179320250851323	evaluating_complete	pending_controller_gate	equal-step P0 legacy control	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P0_1d8cd54758b73251/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P0_1d8cd54758b73251/eval_shadow.log
EQ_P4_shadow	P4	edbea07bb785e769		fixed_image_px	16.0	0.0	2.0	legacy_global_weighted_mean	20260619	2	1	4	0			29.496017576012427	0.9690997944185492	0.01812664337339811			8.928928612959167	18.20314687861765	25.43993719749683		1.0	10.067414061759019	evaluating_complete	pending_controller_gate	equal-step P4 fixed r16 b2 global	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P4_edbea07bb785e769/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_P4_edbea07bb785e769/eval_shadow.log
EQ_BF07_shadow	BF07	2bc98e58514fb1da		fixed_image_px	28.0	0.0	5.0	legacy_global_weighted_mean	20260619	2	1	4	0			29.43940451006813	0.9686135291086015	0.01853261725045741			8.905798795651366	18.146533812673347	25.40045730718493		1.0	9.833435543869474	evaluating_complete	pending_controller_gate	equal-step BF07 fixed r28 b5 global	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_BF07_2bc98e58514fb1da/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_BF07_2bc98e58514fb1da/eval_shadow.log
EQ_AD04_shadow	AD04	77a0ed002ad3955d		adaptive_sqrt_area	0.0	0.103897	2.0	legacy_global_weighted_mean	20260619	2	1	4	0			29.50099576842673	0.9691642918864414	0.018038722427445465			8.936125551712315	18.208125071031958	25.446934127303297		1.0	10.543710092542405	evaluating_complete	pending_controller_gate	equal-step AD04 adaptive sqrt area target12 b2	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_AD04_77a0ed002ad3955d/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_AD04_77a0ed002ad3955d/eval_shadow.log
MSEQ_BF07_s20260620_shadow	EQ_BF07	b1a2af0e6583af5c		fixed_image_px	28.0	0.0	5.0	legacy_global_weighted_mean	20260620	2	1	4	0			29.326340363458606	0.9677969098508914	0.018715858542903637			8.903027809387625	18.033469666063827	25.385628908868945		1.0	9.822122558897641	evaluating_complete	pending_controller_gate	equal-step multiseed BF07 r28 b5 seed 20260620	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260620_b1a2af0e6583af5c/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260620_b1a2af0e6583af5c/eval_shadow.log
MSEQ_BF07_s20260621_shadow	EQ_BF07	b0f4cdd5be0a0136		fixed_image_px	28.0	0.0	5.0	legacy_global_weighted_mean	20260621	2	1	4	0			29.34974096171964	0.9678106462592652	0.018822448137992373			8.896794913633368	18.056870264324868	25.38556913339338		1.0	17.545630487273268	evaluating_complete	pending_controller_gate	equal-step multiseed BF07 r28 b5 seed 20260621	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260621_b0f4cdd5be0a0136/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_BF07_s20260621_b0f4cdd5be0a0136/eval_shadow.log
MSEQ_P0_s20260620_shadow	EQ_P0	2e233781ed5e1d4c		legacy_latent_exact	0.0	0.0	0.75	legacy_global_weighted_mean	20260620	2	1	4	0			29.36824133681518	0.968481398851386	0.01793605379740863			8.958384796326003	18.0753706394204	25.4133735741416		1.0	13.82457641842937	evaluating_complete	pending_controller_gate	equal-step multiseed P0 legacy seed 20260620	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260620_2e233781ed5e1d4c/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260620_2e233781ed5e1d4c/eval_shadow.log
MSEQ_P0_s20260621_shadow	EQ_P0	5f51b788f9bc6ba0		legacy_latent_exact	0.0	0.0	0.75	legacy_global_weighted_mean	20260621	2	1	4	0			29.419252903806715	0.9686648985876426	0.01807001157333919			8.949225721390455	18.126382206411936	25.42341819098511		1.0	8.94150780047073	evaluating_complete	pending_controller_gate	equal-step multiseed P0 legacy seed 20260621	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260621_5f51b788f9bc6ba0/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P0_s20260621_5f51b788f9bc6ba0/eval_shadow.log
MSEQ_P4_s20260620_shadow	EQ_P4	c6668196e7108e8e		fixed_image_px	16.0	0.0	2.0	legacy_global_weighted_mean	20260620	2	1	4	0			29.365911492415375	0.9682872531132724	0.018259367965705074			8.926212284843684	18.073040795020596	25.420540830472657		1.0	11.890470912507622	evaluating_complete	pending_controller_gate	equal-step multiseed P4 r16 b2 seed 20260620	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260620_c6668196e7108e8e/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260620_c6668196e7108e8e/eval_shadow.log
MSEQ_P4_s20260621_shadow	EQ_P4	46ae4bf5601388ea		fixed_image_px	16.0	0.0	2.0	legacy_global_weighted_mean	20260621	2	1	4	0			29.386545304328855	0.9682918320690602	0.01842068822976823			8.921425539523153	18.09367460693408	25.422462325617182		1.0	9.650627062463903	evaluating_complete	pending_controller_gate	equal-step multiseed P4 r16 b2 seed 20260621	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260621_46ae4bf5601388ea/last_weights	/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/MSEQ_P4_s20260621_46ae4bf5601388ea/eval_shadow.log
