milestone	status	notes
readback	EXP30_READBACK_COMPLETED	Exp30 branch/worktree/scaffold created from Exp29 HEAD 6bc6c67; no GPU task launched
paper_positioning	EXP30_THREE_BACKBONE_POSITIONING_LOCKED	DiffuEraser/VideoPainter/MiniMax/EffectErase paper roles and claim boundaries locked before pool generation
source_pool	VOR_OR_SOURCE_POOL_BLOCKED	Existing exact caches yielded only 80 usable scene groups after exclusions, reserve 0, REAL/BLENDER 71/9; no downstream generation launched
continuation_v2_readback	EXP30_CONTINUATION_V2_READBACK_COMPLETED	Full metadata index with 57,751 rows located on PAI; previous block traced to exact-cache subset, not full VOR shortage
full_vor_index_recovery	FULL_VOR_VALID_TRIPLET_INDEX_READY	Verified 57,751 metadata rows and 57,750 valid triplets after quarantining BLENDER_RIVER007_00001; exact FG_BG/BG/MASK pairing confirmed
source_pool_v2	VOR_OR_SOURCE_POOL_V2_READY	Built metadata-only primary128/reserve128/reserve2 from full VOR index; primary BLENDER/REAL 64/64, reserve 20/108, reserve2 REAL 128; visual preview pending
smoke16_v2_preregistration	EXP30_SMOKE16_V2_PREREGISTERED	Locked 16 source groups from source-pool v2, BLENDER/REAL 8/8, SHA256 1871f8e1aa23579425a87661040f91a992e934492aaa98c196f924ff21990ca3; no extraction/model output/GPU yet
smoke16_v2_manifest_repair	EXP30_SMOKE16_V2_MANIFEST_REPAIRED_PRE_INFERENCE	Replaced one short decoded row and two empty-mask rows before any model output review; final smoke16 manifest has 16 scene-disjoint rows, BLENDER/REAL 8/8, SHA256 7e8cfd1b672b17b131476c9dd82804841d22d7450adf26301cf9ae8ff83f7f76
smoke16_v2_materialization	EXP30_SMOKE16_V2_MATERIALIZED	Final smoke16 materialization succeeded with 16/16 rows, failed rows 0, 17 frames, 512x512, BLENDER/REAL 8/8, manifest SHA256 72be9884335fef61926c307c66878fdc05dec85e9be4da28ab1547db98f8c26d; candidate generation only unlocked
multimodel_or_smoke16_v2	MULTIMODEL_OR_SMOKE16_V2_BLOCKED	32/32 non-EffectErase candidates technical-valid and 9/32 usable, but controlled-corruption fallback was only 5/16 usable versus required >=6/16; Gate64 and all adapter/training gates remain stopped
continuation_v3_readback	EXP30_CONTINUATION_V3_READBACK_COMPLETED	Reread Exp30 PRD/registry/reports/code and protected runtime state; smoke16 v2 remains blocked by quality yield, not technical validity; Exp31/Exp33/cli4 lanes are reserved and untouched; no new generation or training launched
smoke16_v2_failure_analysis	SMOKE16_V2_FAILURE_ANALYZED	Analyzed all 32 v2 candidates without new generation; controlled corruption failure is dominated by temporal discontinuity and MiniMax failure by outside damage/temporal flicker; Gate64/training remain stopped pending v3 preregistered repairs
controlled_corruption_v3_plan	CONTROLLED_CORRUPTION_V3_PLAN_LOCKED	Locked CC-v3-A/B/C plus reserve D; smoke16 v3 controlled schedule is capped at 24 candidates and at most 2 per source; no generation or training launched
diffueraser_propainter_candidate_audit	NEW_GENERATORS_SMOKE2_PENDING	DiffuEraser DE-B verified in Exp25 but Exp30 wrapper identity must be ported to explicit no-PCM overlay before use; ProPainter wrapper and PAI weights are ready; no smoke16 v3/Gate64/training launched
verified_generator_wrapper_port	EXP30_VERIFIED_GENERATOR_WRAPPERS_PORTED_SMOKE2_PENDING	Added Exp30-local DiffuEraser no-PCM overlay wrapper and verified-generator smoke runner; no GPU smoke/model output/training launched
verified_generator_smoke2	NEW_GENERATORS_SMOKE2_PARTIAL_PASS	ProPainter and DiffuEraser no-PCM generated 2/2 rows each; Codex reviewed 4/4 sheets with 2 too-close, 1 hard-plausible, 1 medium-hard, 0 final trivial-bad; only Smoke16 v3 candidate inclusion unlocked
controlled_corruption_v3_generator	CONTROLLED_CORRUPTION_V3_GENERATOR_IMPLEMENTED	Implemented preregistered CC-v3-A/B/C generator and primary controlled selection; no Smoke16 v3 generation, Gate64, or training launched
controlled_corruption_smoke16_v3	CONTROLLED_CORRUPTION_V3_READY	Generated 24/24 controlled v3 candidates; Codex reviewed 24/24 candidate strips and 16/16 primary strips; primary view has 13 medium-hard and 3 trivial-bad with outside-fail count 0; aggregate Smoke16 v3/Gate64/training remain stopped
multimodel_or_smoke16_v3	MULTIMODEL_OR_SMOKE16_V3_PASS	64/64 candidates technical-valid; best-per-source usable 13/16; pass driven by controlled corruption v3, while ProPainter gives 2 usable and DiffuEraser full16 gives 0 usable on this fixed set; only Smoke32 is unlocked next
smoke32_v3_preregistration	EXP30_SMOKE32_V3_PREREGISTERED	Locked 16 new source groups disjoint from Smoke16, BLENDER/REAL 8/8, SHA256 ee8e056b05b9dcdd6d9d4a842637d32711eac4e397fbac0fdf728a33d65ddf45; no extraction, model output, Gate64, adapter gate, or training launched
smoke32_v3_materialization	EXP30_SMOKE32_V3_MATERIALIZED	Selective extraction wrote 48/48 target VOR members with 0 missing/unsafe entries, then materialized 16/16 Smoke32 rows at 17 frames and 512x512 with failed rows 0; materialized manifest SHA256 320bb89ba16fb61a005e533ab319a2f4fb9ee6362cb8c269d4f2f0223a3e2ce9; only Smoke32 candidate generation is unlocked
multimodel_or_smoke32_v3	MULTIMODEL_OR_SMOKE32_V3_PASS	64/64 technical-valid, 14 usable candidates, best-per-source usable 10/16, controlled usable coverage 8/16, usable families controlled+MiniMax+ProPainter; low-margin pass unlocks limited Gate64 only
gate64_v3_preregistration	EXP30_GATE64_V3_PREREGISTERED	Locked 64 source groups, BLENDER/REAL 32/32, SHA256 c4a0f5e07ef75aae57c9b40010f7fec85d10d5aa6c26a8056e1079d807bcf7f2; no extraction/model output/training yet
gate64_v3_manifest_repair	EXP30_GATE64_V3_MANIFEST_REPAIRED_PRE_INFERENCE	Initial materialization 55/64 OK, 9 empty-mask rows replaced before inference; final 64 rows, BLENDER/REAL 32/32, SHA256 c2da063118934f0b03d13d88015cfc1cc57e881aca257307ca42de20cc944eb0
