milestone	status	notes
A_readback	EXP60B_READBACK_DONE	VPData public; PAI GPU0/1 ready; H20 connectivity blocked from HAL
B_h20_hfmirror	EXP60B_H20_PEXELS_RAW_PROXY_REQUIRED	HF mirror unblocked metadata and downloaded 1089/1100 locked Pexels videos; 11 Pexels raw URLs returned HTTP 403
C_h20_proxy	EXP60B_H20_VPDATA_SUBSET_BLOCKED_PROXY	H20 clash proxy fallback remained at 1089/1100 with the same 11 Pexels raw URL failures
D_hal_fallback	EXP60B_HAL_VPDATA_SUBSET_BLOCKED	HAL missing-URL probe tested 11/11 blocked URLs and all returned HTTP 403
E_pai_transfer	EXP60B_TRANSFER_BLOCKED	PAI ready transfer not run because exact locked train1000/test100 subset is incomplete
F_exp60c_replacements	EXP60C_REPLACEMENT_DOWNLOAD_READY	Deterministic same-split Pexels-only replacements downloaded 11/11 rows with 0 failed attempts
G_exp60c_h20_subset	EXP60C_H20_VPDATA_SUBSET_READY	H20 final subset has train1000/test100, 1100 sha256 rows, and 1100/1100 OpenCV decode pass after targeted repair of 6 incomplete MP4s
H_exp60c_pai_transfer	EXP60C_TRANSFER_BLOCKED	PAI/NAS target /mnt/nas/hj/H20_Video_inpainting_DPO/data/external is not writable by hj
I_exp60c_permission_recovery	EXP60C_PAI_TARGET_PERMISSION_RECOVERED	All PAI/NAS target dirs for vpdata_exp60b are hj:hj mode 0770 and passed write_probe; no chmod/chown run by Codex
J_exp60c_pai_transfer	EXP60C_PAI_VPDATA_SUBSET_READY	Transferred repaired train1000/test100 subset to PAI/NAS; 1100 MP4s, 1100/1100 SHA256 match, 1100/1100 OpenCV decode pass, no train/test overlap, no duplicate IDs/URLs/paths, and PAI manifests have no H20/HAL paths
