recipe,sample_id,source_group,step0_output,step10_output,comparison_strip,frames_reviewed,classification,reason
S0_adamw_lr1em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,"Step10 is visually near-identical to Step0, but mask/boundary/outside metrics decline; no visible quality gain."
S0_adamw_lr1em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_MIXED,Step10 is visually near-identical; tiny mask/boundary metric uptick is offset by outside and temporal degradation; no visible quality gain.
S0_adamw_lr1em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,"Step10 is visually near-identical to Step0, but mask/boundary/outside metrics decline; no visible quality gain."
S0_adamw_lr1em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,"Step10 is visually near-identical to Step0, but mask/boundary/outside metrics decline; no visible quality gain."
S0_adamw_lr3em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,Step10 remains visually close to Step0 but shows stronger difference signal and worse mask/boundary/outside metrics; no useful improvement.
S0_adamw_lr3em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_MIXED,Step10 has no perceptible repair improvement; small local metric uptick is paired with outside/temporal degradation.
S0_adamw_lr3em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,Step10 remains visually close to Step0 but shows stronger difference signal and worse mask/boundary/outside metrics; no useful improvement.
S0_adamw_lr3em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_WORSE,Step10 remains visually close to Step0 but shows stronger difference signal and worse mask/boundary/outside metrics; no useful improvement.
S0_adamw_lr0.0001,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,CLEARLY_WORSE_NEW_ARTIFACT,Step10 visibly degrades the heldout video with color/texture drift or large local artifacts; this LR proves sensitivity but is not usable.
S0_adamw_lr0.0001,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,CLEARLY_WORSE_NEW_ARTIFACT,Step10 visibly degrades the heldout video with color/texture drift or large local artifacts; this LR proves sensitivity but is not usable.
S0_adamw_lr0.0001,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,CLEARLY_WORSE_NEW_ARTIFACT,Step10 visibly degrades the heldout video with color/texture drift or large local artifacts; this LR proves sensitivity but is not usable.
S0_adamw_lr0.0001,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S0_adamw_lr0.0001/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,CLEARLY_WORSE_NEW_ARTIFACT,Step10 visibly degrades the heldout video with color/texture drift or large local artifacts; this LR proves sensitivity but is not usable.
S1_adamw_lr1em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr1em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr1em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr1em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr1em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr3em05,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr3em05,BLENDER_STREET006_00002,BLENDER_STREET006,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/BLENDER_STREET006_00002/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr3em05,REAL_ENV087_00002_001_01,REAL_ENV087_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV087_00002_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr3em05,REAL_ENV103_00001_001_01,REAL_ENV103_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr3em05/heldout_outputs/REAL_ENV103_00001_001_01/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_NO_VISIBLE_CHANGE,"Step10 is visually indistinguishable from Step0 across the 16-frame strip; no collapse, but no visible heldout quality gain."
S1_adamw_lr0.0001,BLENDER_RIVER016_00001,BLENDER_RIVER016,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp36_minimax_objective_rescue/winner_sft_positive_control_20260627_fixed/outputs/S1_adamw_lr0.0001/heldout_outputs/BLENDER_RIVER016_00001/sft_comparison_strip_16.jpg,16-frame strip; start/middle/end represented; Codex visual inspection completed,TIE_METRIC_MIXED,"Step10 is visually near-identical; whole/outside metrics slightly improve on average, but mask/boundary metrics do not and there is no visible repair improvement."
