model,sample_id,source_type,classification,usable,failure_category,refined_label,original_reason,mask_psnr,outside_psnr,outside_mae,temporal_ratio,technical_valid,raw_output_mp4,side_by_side_mp4,temporal_strip_16,review_basis,v3_recommendation
controlled_corruption,BLENDER_FOREST006_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,15.62976618546069,99.0,0.0,49.939733453903344,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST006_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST006_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST006_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST007_00001,,HARD_BUT_PLAUSIBLE,yes,local residual too sharp,HARD_BUT_PLAUSIBLE,strong local residual with clean outside,12.368531918393998,99.0,0.0,2.177971600347512,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST007_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST007_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST007_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Keep as hard-plausible reference; v3 should soften this profile.
controlled_corruption,BLENDER_FOREST008_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,17.05128528596228,99.0,0.0,39.626981062821756,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST008_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST008_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST008_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST015_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,18.562395218697382,99.0,0.0,25.901714026064063,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST015_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST015_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST015_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST016_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,18.515826513004015,99.0,0.0,153.81051880735833,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST016_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST016_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST016_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST017_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,14.891791814676823,99.0,0.0,3.697936355116348,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST017_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST017_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST017_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST018_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,23.643601039248164,99.0,0.0,10.814428840226332,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST018_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST018_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST018_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,BLENDER_FOREST019_00001,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,17.92490164665756,99.0,0.0,5.4487901649187975,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST019_00001/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST019_00001/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/BLENDER_FOREST019_00001/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
controlled_corruption,REAL_ENV044_00005_001_01,,HARD_BUT_PLAUSIBLE,yes,local residual too sharp,HARD_BUT_PLAUSIBLE,strong local residual with clean outside,12.18131865713468,99.0,0.0,1.402734311203013,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV044_00005_001_01/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV044_00005_001_01/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV044_00005_001_01/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Keep as hard-plausible reference; v3 should soften this profile.
controlled_corruption,REAL_ENV045_00001_001_01,,TRIVIAL_BAD,no,temporal discontinuity,TRIVIAL_BAD,temporal instability too high,17.825985594425816,99.0,0.0,4.462490702675249,yes,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV045_00001_001_01/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV045_00001_001_01/evidence/side_by_side.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke16_v2_20260627/controlled_corruption_v2/controlled_corruption/REAL_ENV045_00001_001_01/evidence/temporal_strip_16.jpg,v2 metrics csv + continuation v3 opened 4 controlled overview pages and 4 MiniMax review pages,Reduce noise/condition mix and add temporal smoothing.
