case,rank,world_size,status,dtype,loss,grad_norm,finite_loss,grad_finite,checkpoint_status,max_memory_allocated_mib,error_type,failure_class,started_at,finished_at,json_path
P0,0,1,PASS,bf16,2050.82861328125,2.831369161605835,True,,,132.0,,,2026-06-29T09:46:39+0800,2026-06-29T09:46:40+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P0/rank0.json
P1,0,1,PASS,torch.float32,,,True,,,6260.286,,,2026-06-29T09:46:56+0800,2026-06-29T09:47:14+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P1/rank0.json
P2,0,1,PASS,torch.bfloat16,0.19614098966121674,0.0,True,True,not_requested,7274.638,,,2026-06-29T09:47:30+0800,2026-06-29T09:48:06+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P2/rank0.json
P3,0,1,PASS,torch.bfloat16,0.19614098966121674,3.281572142587461,True,True,not_requested,59932.281,,,2026-06-29T09:48:24+0800,2026-06-29T09:48:59+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P3/rank0.json
P4,0,1,PASS,torch.float32,0.19492636620998383,3.179090593773888,True,True,PASS,68982.773,,,2026-06-29T09:49:18+0800,2026-06-29T09:50:32+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P4/rank0.json
P5,0,1,PASS,torch.bfloat16,0.19614098966121674,3.281572142587461,True,True,PASS,59932.281,,,2026-06-29T09:50:51+0800,2026-06-29T09:51:42+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P5/rank0.json
P6,0,2,PASS,torch.bfloat16,0.19614098966121674,2.1718841431594367,True,True,PASS,62087.76,,,2026-06-29T10:01:53+0800,2026-06-29T10:02:50+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P6/rank0.json
P6,1,2,PASS,torch.bfloat16,0.10708802193403244,2.1718841431594367,True,True,not_requested,62087.76,,,2026-06-29T10:01:53+0800,2026-06-29T10:02:36+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P6/rank1.json
P7,0,8,PASS,torch.bfloat16,0.19614098966121674,1.488086613488801,True,True,PASS,62087.76,,,2026-06-29T10:03:28+0800,2026-06-29T10:04:46+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank0.json
P7,1,8,PASS,torch.bfloat16,0.10708802193403244,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:29+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank1.json
P7,2,8,PASS,torch.bfloat16,0.03615671023726463,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:29+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank2.json
P7,3,8,PASS,torch.bfloat16,0.16304674744606018,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:30+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank3.json
P7,4,8,PASS,torch.bfloat16,0.0629783347249031,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:30+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank4.json
P7,5,8,PASS,torch.bfloat16,0.012773110531270504,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:30+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank5.json
P7,6,8,PASS,torch.bfloat16,0.20071153342723846,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:30+0800,2026-06-29T10:04:29+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank6.json
P7,7,8,PASS,torch.bfloat16,0.21371960639953613,1.488086613488801,True,True,not_requested,62087.76,,,2026-06-29T10:03:31+0800,2026-06-29T10:04:29+0800,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp43_h20_minimax_stage2_sft_runner/bf16_preflight_20260629_094430/P7/rank7.json
