split,sample_id,profile,review_sheet,raw_output_mp4,classification,codex_visual_review,reason,outside_damage,temporal_artifact,auto_classification,final_classification
train32,BLENDER_MOUNTAIN014_00001,L2_object_medium,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN014_00001/L2_object_medium/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN014_00001/L2_object_medium/evidence/raw_output.mp4,HARD_BUT_PLAUSIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,HARD_BUT_PLAUSIBLE,HARD_BUT_PLAUSIBLE
train32,BLENDER_FOREST049_00001,L3_object_affected_soft,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_FOREST049_00001/L3_object_affected_soft/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_FOREST049_00001/L3_object_affected_soft/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_OFFICE002_00001,L1_object_mild,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_OFFICE002_00001/L1_object_mild/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_OFFICE002_00001/L1_object_mild/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_RIVER005_00001,L4_boundary_effect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER005_00001/L4_boundary_effect/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER005_00001/L4_boundary_effect/evidence/raw_output.mp4,HARD_BUT_PLAUSIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,Codex visual override: automatic outside metric counted affected/boundary soft region as outside; review sheet shows localized defect with no global collapse or far-outside damage.,low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,TRIVIAL_BAD,HARD_BUT_PLAUSIBLE
train32,BLENDER_GRASS001_00001,L2_object_medium,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_GRASS001_00001/L2_object_medium/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_GRASS001_00001/L2_object_medium/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_RIVER002_00001,L3_object_affected_soft,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER002_00001/L3_object_affected_soft/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER002_00001/L3_object_affected_soft/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_MOUNTAIN008_00001,L1_object_mild,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN008_00001/L1_object_mild/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN008_00001/L1_object_mild/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_MOUNTAIN001_00001,L4_boundary_effect,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN001_00001/L4_boundary_effect/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN001_00001/L4_boundary_effect/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_RIVER004_00001,L2_object_medium,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER004_00001/L2_object_medium/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_RIVER004_00001/L2_object_medium/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
train32,BLENDER_MOUNTAIN011_00001,L3_object_affected_soft,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN011_00001/L3_object_affected_soft/evidence/review_sheet.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp37_minimax_localdpo_badnoise_rescue/localdpo_pool_20260628/outputs/train32/BLENDER_MOUNTAIN011_00001/L3_object_affected_soft/evidence/raw_output.mp4,MEDIUM_HARD_ELIGIBLE,REVIEWED_SELECTED_PRIMARY_SHEET,"Auto classification confirmed by Codex visual review: local corruption is bounded, temporally coherent in the sampled sheet, and far outside area is visually preserved.",low_far_outside_preserved; affected/boundary-local changes allowed,none_systematic_in_5_frame_sheet,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE
