failed_split,failed_vpdata_id,rank,replacement_vpdata_id,source_video_id,path,source_url,native_mask_id,reason
test,test_pexels_000000299470_17716904_mask3,1,test_pexels_000000226257_9056557_mask1,9056557,000000226257_9056557.mp4,https://videos.pexels.com/video-files/9056557/9056557-hd_1920_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000299470_17716904_mask3,2,test_pexels_000000234962_9467087_mask1,9467087,000000234962_9467087.mp4,https://videos.pexels.com/video-files/9467087/9467087-hd_1920_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000299470_17716904_mask3,3,test_pexels_000000287172_15148915_mask3,15148915,000000287172_15148915.mp4,https://videos.pexels.com/video-files/15148915/15148915-hd_1920_1080_30fps.mp4,3,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000299470_17716904_mask3,4,test_pexels_000000074385_5881905_mask2,5881905,000000074385_5881905.mp4,https://videos.pexels.com/video-files/5881905/5881905-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000299470_17716904_mask3,5,test_pexels_000000129346_7034991_mask4,7034991,000000129346_7034991.mp4,https://videos.pexels.com/video-files/7034991/7034991-hd_1080_1920_30fps.mp4,4,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000319521_20753537_mask18,1,test_pexels_000000229993_9243982_mask14,9243982,000000229993_9243982.mp4,https://videos.pexels.com/video-files/9243982/9243982-hd_1080_2048_25fps.mp4,14,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000319521_20753537_mask18,2,test_pexels_000000241737_9750733_mask44,9750733,000000241737_9750733.mp4,https://videos.pexels.com/video-files/9750733/9750733-hd_1080_1920_24fps.mp4,44,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000319521_20753537_mask18,3,test_pexels_000000000420_854190_mask1,854190,000000000420_854190.mp4,https://videos.pexels.com/video-files/854190/854190-hd_1920_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000319521_20753537_mask18,4,test_pexels_000000118935_6840436_mask3,6840436,000000118935_6840436.mp4,https://videos.pexels.com/video-files/6840436/6840436-hd_1920_1080_30fps.mp4,3,same-split deterministic Pexels-only replacement; original URL HTTP 403
test,test_pexels_000000319521_20753537_mask18,5,test_pexels_000000262628_11331080_mask12,11331080,000000262628_11331080.mp4,https://videos.pexels.com/video-files/11331080/11331080-hd_1920_1080_24fps.mp4,12,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000089490_6198719_mask4,1,train_pexels_000000294477_16668852_mask3,16668852,000000294477_16668852.mp4,https://videos.pexels.com/video-files/16668852/16668852-hd_1920_1080_30fps.mp4,3,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000089490_6198719_mask4,2,train_pexels_000000247185_10036905_mask1,10036905,000000247185_10036905.mp4,https://videos.pexels.com/video-files/10036905/10036905-hd_1080_2048_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000089490_6198719_mask4,3,train_pexels_000000076026_5904958_mask6,5904958,000000076026_5904958.mp4,https://videos.pexels.com/video-files/5904958/5904958-hd_1920_1080_30fps.mp4,6,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000089490_6198719_mask4,4,train_pexels_000000046383_5091921_mask4,5091921,000000046383_5091921.mp4,https://videos.pexels.com/video-files/5091921/5091921-hd_1920_1080_25fps.mp4,4,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000089490_6198719_mask4,5,train_pexels_000000318395_20621697_mask1,20621697,000000318395_20621697.mp4,https://videos.pexels.com/video-files/20621697/20621697-hd_1920_1080_30fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000249517_10182994_mask1,1,train_pexels_000000178558_8074767_mask2,8074767,000000178558_8074767.mp4,https://videos.pexels.com/video-files/8074767/8074767-hd_1080_1920_24fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000249517_10182994_mask1,2,train_pexels_000000316106_20324052_mask1,20324052,000000316106_20324052.mp4,https://videos.pexels.com/video-files/20324052/20324052-hd_1080_1920_60fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000249517_10182994_mask1,3,train_pexels_000000169429_7868560_mask1,7868560,000000169429_7868560.mp4,https://videos.pexels.com/video-files/7868560/7868560-hd_1920_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000249517_10182994_mask1,4,train_pexels_000000242750_9789419_mask2,9789419,000000242750_9789419.mp4,https://videos.pexels.com/video-files/9789419/9789419-hd_1920_1080_30fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000249517_10182994_mask1,5,train_pexels_000000173509_7970857_mask1,7970857,000000173509_7970857.mp4,https://videos.pexels.com/video-files/7970857/7970857-hd_1920_1080_30fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000283023_14085166_mask6,1,train_pexels_000000211202_8729455_mask1,8729455,000000211202_8729455.mp4,https://videos.pexels.com/video-files/8729455/8729455-hd_1080_1920_24fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000283023_14085166_mask6,2,train_pexels_000000078468_5949379_mask17,5949379,000000078468_5949379.mp4,https://videos.pexels.com/video-files/5949379/5949379-hd_1920_1080_24fps.mp4,17,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000283023_14085166_mask6,3,train_pexels_000000200521_8480630_mask2,8480630,000000200521_8480630.mp4,https://videos.pexels.com/video-files/8480630/8480630-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000283023_14085166_mask6,4,train_pexels_000000068176_5717538_mask2,5717538,000000068176_5717538.mp4,https://videos.pexels.com/video-files/5717538/5717538-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000283023_14085166_mask6,5,train_pexels_000000316152_20335567_mask6,20335567,000000316152_20335567.mp4,https://videos.pexels.com/video-files/20335567/20335567-hd_1920_1080_30fps.mp4,6,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288002_15292165_mask3,1,train_pexels_000000164317_7716313_mask5,7716313,000000164317_7716313.mp4,https://videos.pexels.com/video-files/7716313/7716313-hd_2048_1080_25fps.mp4,5,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288002_15292165_mask3,2,train_pexels_000000185314_8189779_mask2,8189779,000000185314_8189779.mp4,https://videos.pexels.com/video-files/8189779/8189779-hd_1080_1920_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288002_15292165_mask3,3,train_pexels_000000130892_7083243_mask2,7083243,000000130892_7083243.mp4,https://videos.pexels.com/video-files/7083243/7083243-hd_1080_1920_24fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288002_15292165_mask3,4,train_pexels_000000164695_7721241_mask1,7721241,000000164695_7721241.mp4,https://videos.pexels.com/video-files/7721241/7721241-hd_2048_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288002_15292165_mask3,5,train_pexels_000000237411_9570972_mask42,9570972,000000237411_9570972.mp4,https://videos.pexels.com/video-files/9570972/9570972-hd_1920_1080_30fps.mp4,42,same-split deterministic Pexels-only replacement; original URL HTTP 403
