sample_id,scene_group,source_dataset,winner_member_path,formal_49f,status,duplicate_sample_id,train_overlap,search_overlap,shadow_duplicate_group
vp2_vor_bg_49f_REAL_ENV109_00002_005_02,REAL_ENV109_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV109_00002_005_02.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_BLENDER_FOREST015_00002,BLENDER_FOREST015,VOR-Train-BG,VOR-Train/BG/BLENDER_FOREST015_00002.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV193_00001_002_02,REAL_ENV193_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV193_00001_002_02.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV171_00001_001_01,REAL_ENV171_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV171_00001_001_01.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV135_00001_006_02,REAL_ENV135_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV135_00001_006_02.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV179_00002_003_04,REAL_ENV179_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV179_00002_003_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_BLENDER_RIVER016_00009,BLENDER_RIVER016,VOR-Train-BG,VOR-Train/BG/BLENDER_RIVER016_00009.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV191_00012_006_04,REAL_ENV191_00012,VOR-Train-BG,VOR-Train/BG/REAL_ENV191_00012_006_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV205_00001_002_05,REAL_ENV205_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV205_00001_002_05.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV222_00101_004_03,REAL_ENV222_00101,VOR-Train-BG,VOR-Train/BG/REAL_ENV222_00101_004_03.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV187_00002_001_05,REAL_ENV187_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV187_00002_001_05.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV163_00012_003_02,REAL_ENV163_00012,VOR-Train-BG,VOR-Train/BG/REAL_ENV163_00012_003_02.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV153_00012_003_04,REAL_ENV153_00012,VOR-Train-BG,VOR-Train/BG/REAL_ENV153_00012_003_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV234_00006_001_03,REAL_ENV234_00006,VOR-Train-BG,VOR-Train/BG/REAL_ENV234_00006_001_03.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV196_00009_001_01,REAL_ENV196_00009,VOR-Train-BG,VOR-Train/BG/REAL_ENV196_00009_001_01.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV161_00002_004_04,REAL_ENV161_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV161_00002_004_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV198_00005_005_05,REAL_ENV198_00005,VOR-Train-BG,VOR-Train/BG/REAL_ENV198_00005_005_05.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV140_00002_002_05,REAL_ENV140_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV140_00002_002_05.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_BLENDER_FOREST034_00543,BLENDER_FOREST034,VOR-Train-BG,VOR-Train/BG/BLENDER_FOREST034_00543.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV176_00017_005_01,REAL_ENV176_00017,VOR-Train-BG,VOR-Train/BG/REAL_ENV176_00017_005_01.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV186_00001_004_02,REAL_ENV186_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV186_00001_004_02.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV175_00002_004_04,REAL_ENV175_00002,VOR-Train-BG,VOR-Train/BG/REAL_ENV175_00002_004_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV033_00001_004_05,REAL_ENV033_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV033_00001_004_05.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV271_00103_001_04,REAL_ENV271_00103,VOR-Train-BG,VOR-Train/BG/REAL_ENV271_00103_001_04.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
vp2_vor_bg_49f_REAL_ENV252_00001_002_03,REAL_ENV252_00001,VOR-Train-BG,VOR-Train/BG/REAL_ENV252_00001_002_03.mp4,True,SOURCE_ONLY_PENDING_EXTRACTION_AND_MASK_GENERATION,False,False,False,False
