field,answer_for_paper,evidence_file,notes
VOR-BG train source pool,"128 VOR-Train-BG clean background source videos, each with a distinct scene_group/source_sample_id; all are 49-frame sources.",exp26_videopainter_dpo_v2/manifests/vp2_vor_bg_train_source_128.jsonl; reports/exp26_gate64_readback.md,"This is the upstream source pool, not the final DPO train pair count."
VOR-BG search-dev and shadow-dev,Search-dev has 32 VOR-Train-BG videos and shadow-dev has 32 VOR-Train-BG videos; both are disjoint from train source and from each other by scene_group/source_id.,exp26_videopainter_dpo_v2/manifests/vp2_vor_bg_search_dev_32.jsonl; exp26_videopainter_dpo_v2/manifests/vp2_vor_bg_shadow_dev_32.jsonl,"They are evaluation/dev splits, not used to pick primary32."
Primary32 selection source,Primary32 was not directly hand-picked from 128 raw videos. The path was 128 train source -> balanced Gate64 source subset -> official VideoPainter outputs -> visual/technical review -> 55 eligible -> balanced primary32 plus 23 reserve.,exp26_videopainter_dpo_v2/manifests/vp2_gate64_source_manifest.jsonl; reports/exp26_gate64_primary32_final.md,Gate64 and primary32 are fully inside VOR-Train-BG; no VOR-Eval use.
Gate64 official outputs,Gate64 means 64 official VideoPainter baseline/self-loser generations from the locked train-source subset. Each row has raw official output plus a BR-consistent comp loser candidate.,reports/exp26_gate64_generation_status.md if present; reports/exp26_gate64_final_temporal_review.md; reports/exp26_gate64_manifest_identity.json,"Formal valid count was 64/64, with 49 real frames per output recorded in the Gate64 review."
Formal valid / invalid,Gate64 formal-valid count was 64/64 and technical-invalid count was 0 in the final temporal review.,reports/exp26_gate64_final_temporal_review.md; reports/exp26_gate64_primary32_final.md,"Rejected rows were quality/eligibility decisions, not generation failures."
Eligible 55,55 of the 64 formal-valid outputs were eligible as medium-hard or hard-plausible same-pipeline loser candidates: 37 medium-hard and 18 hard-plausible.,exp26_videopainter_dpo_v2/manifests/vp2_gate64_candidate_pool55_visual_reviewed_comp.jsonl,The remaining 9 were rejected: 8 trivial-bad and 1 too-close.
Why only 32 selected,"The final primary32 was a balanced low-data validation set: 16 medium-hard and 16 hard-plausible, balanced across REAL/BLENDER, mask profile, area bucket, and motion bucket. The other 23 eligible rows were kept as reserve.",reports/exp26_gate64_primary32_final.md; exp26_videopainter_dpo_v2/manifests/vp2_gate64_primary32_final.jsonl; exp26_videopainter_dpo_v2/manifests/vp2_gate64_reserve_final.jsonl,Selection happened before VideoPainter DPO training/step results; search-dev/shadow-dev were not used.
Cherry-picking risk,"The correct claim is controlled low-data cross-pipeline validation, not large-scale VideoPainter generalization. Cherry-picking risk is mitigated by pre-training selection, explicit Gate64/eligible/reserve/rejected manifests, disjoint dev splits, and balance constraints, but the paper should not overclaim primary32.",reports/exp26_gate64_primary32_final.md; reports/exp31_vp_2000_final_decision.md,Recommended wording: VideoPainter is a controlled low-data cross-pipeline validation using a balanced primary32 set selected from a Gate64 self-loser pool. It is not a large-scale VideoPainter training dataset.
VOR meaning,"VOR is the paired Video Object Removal dataset. V_obj/FG_BG is the object-present video, V_bg/BG is the clean removed/background video, and M/MASK is the object mask.",reports/exp26_br_mask_source_audit.md; exp26_videopainter_dpo_v2/manifests/vp2_vor_bg_train_source_128.jsonl,"VideoPainter BR uses V_bg as clean source; object-removal backbones such as MiniMax/VOID/EffectErase use V_obj, V_bg, and M."
VideoPainter VOR usage,"For this VideoPainter background-removal/inpainting pipeline, only V_bg is used as clean winner/source. V_obj and VOR object mask M are not training inputs for the BR pipeline; a generated moving BR mask defines the hole/condition.",reports/exp26_br_mask_source_audit.md; exp26_videopainter_dpo_v2/configs/vp2_mixed_br_mask_v1.json,"Condition is winner outside the generated BR mask, not V_obj."
VideoPainter mask generation,"VideoPainter uses vp2_mixed_br_mask_v1: 49-frame mixed moving BR masks with irregular/free-form, object-like polygon, soft blob, ellipse/circle subset, edge-touch, and thin-structure profiles across small/medium/large area and low/medium/high motion buckets.",exp26_videopainter_dpo_v2/configs/vp2_mixed_br_mask_v1.json; reports/exp26_br_mask_source_audit.md,Not ellipse-only. first_frame_gt semantics are used where the VideoPainter protocol expects first-frame guidance.
VideoPainter loser generation,"The loser generator is the official VideoPainter baseline only. The raw loser is the official output; the comp loser is winner outside the generated mask plus raw output inside the mask. The comp loser is primary for DPO, while raw is retained for diagnostics.",exp26_videopainter_dpo_v2/manifests/vp2_gate64_primary32_final.jsonl; reports/exp26_gate64_primary32_final.md,All primary32 rows use final_loser_type=comp.
Primary32 REAL / BLENDER balance,"Primary32 contains 28 REAL and 4 BLENDER rows, consistent with the Gate64 source balance and explicit balancing constraints.",exp26_videopainter_dpo_v2/manifests/vp2_gate64_primary32_final.jsonl,Gate64 source was 56 REAL / 8 BLENDER; eligible55 was 51 REAL / 4 BLENDER.
Primary32 mask / area / motion balance,"Primary32 balances difficulty and mask diversity: mask profiles 8/8/5/5/3/3, area medium/small/large 16/8/8, motion medium/low/high 16/8/8.",exp26_videopainter_dpo_v2/manifests/vp2_gate64_primary32_final.jsonl,This is why 32 were selected from 55 eligible rows.
Raw and comp path existence,"Eligible55 and primary32 rows record raw_loser_video_path, comp_loser_video_path, and final_loser_video_path; primary32 final_loser_video_path uses comp for all 32.",exp26_videopainter_dpo_v2/manifests/vp2_gate64_candidate_pool55_visual_reviewed_comp.jsonl; exp26_videopainter_dpo_v2/manifests/vp2_gate64_primary32_final.jsonl,The manifest fields are the audit source; filesystem existence was not changed in this reporting task.
Primary32 selection timing,Primary32 was fixed before VideoPainter DPO training and before Step50/Step2000 results. Search-dev and shadow-dev were evaluation/dev splits and not used for selection.,reports/exp26_gate64_primary32_final.md; reports/exp26_vp_50step_final.md; reports/exp31_vp_2000_final_decision.md,This is the key anti-cherry-picking point.
