frame_range,step,variant,sample_id,status,tc
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,ok,0.9916446805000305
no_first_frame,step0,raw,vp2_vor_bg_49f_BLENDER_FOREST015_00002,ok,0.9928977489471436
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,ok,0.9907457232475281
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,ok,0.995181143283844
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,ok,0.9959824681282043
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,ok,0.9856098890304565
no_first_frame,step0,raw,vp2_vor_bg_49f_BLENDER_RIVER016_00009,ok,0.9958616495132446
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,ok,0.9879855513572693
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,ok,0.9790675640106201
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,ok,0.9800599217414856
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,ok,0.9775440096855164
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,ok,0.9713480472564697
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV153_00012_003_04,ok,0.9907580614089966
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV234_00006_001_03,ok,0.9911933541297913
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV196_00009_001_01,ok,0.9927681684494019
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV161_00002_004_04,ok,0.9915964603424072
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV198_00005_005_05,ok,0.9852961897850037
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV140_00002_002_05,ok,0.9790768027305603
no_first_frame,step0,raw,vp2_vor_bg_49f_BLENDER_FOREST034_00543,ok,0.9831273555755615
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV176_00017_005_01,ok,0.993410050868988
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV186_00001_004_02,ok,0.9932097792625427
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV175_00002_004_04,ok,0.9941710829734802
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV033_00001_004_05,ok,0.9840895533561707
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV271_00103_001_04,ok,0.9815946817398071
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV252_00001_002_03,ok,0.9750585556030273
no_first_frame,step0,raw,vp2_vor_bg_49f_BLENDER_BEACH001_00305,ok,0.9957988262176514
