state_id,pair_id,split,source_group,hard_state,preference_margin,gradient_proxy_norm,local_random_gradient_ratio,outside_risk_vs_random_median,winner_risk,temporal_flicker_residual
BLENDER_DESERT004__pair000__s4__f6__H3_winner_safe,BLENDER_DESERT004__pair000__s4__f6,train,BLENDER_DESERT004,H3_winner_safe,0.0015572837534048563,0.035659281787643646,4.450922233626151,0.1789600980542425,0.0026417931058684376,0.0
BLENDER_DESERT004__pair001__s0__f6__H1_local_failure_hard,BLENDER_DESERT004__pair001__s0__f6,train,BLENDER_DESERT004,H1_local_failure_hard,0.0016169897078162744,0.03702645167437876,4.450922233626151,0.1789600980542425,0.0028123352036061636,0.0
BLENDER_DESERT004__pair002__s1__f6__H1_local_failure_hard,BLENDER_DESERT004__pair002__s1__f6,train,BLENDER_DESERT004,H1_local_failure_hard,0.0013354953070561439,0.030580684718676265,4.450922233626151,0.1789600980542425,0.002832381916359705,0.0
BLENDER_DESERT004__pair003__s11__f6__H3_winner_safe,BLENDER_DESERT004__pair003__s11__f6,train,BLENDER_DESERT004,H3_winner_safe,0.0010237421780425358,0.02344204177620042,4.450922233626151,0.1789600980542425,0.003049205350151191,0.0
BLENDER_FOREST026__pair000__s4__f2__H1_local_failure_hard,BLENDER_FOREST026__pair000__s4__f2,train,BLENDER_FOREST026,H1_local_failure_hard,0.0010520037373855412,0.004340708640845859,0.8020261349690935,0.9803396455728398,0.003902223937542959,0.0
BLENDER_FOREST026__pair001__s1__f0__H1_local_failure_hard,BLENDER_FOREST026__pair001__s1__f0,train,BLENDER_FOREST026,H1_local_failure_hard,0.00018874481670379164,0.0007341107178552045,0.7560172382784083,0.9691468917059042,0.004216141206888572,0.0
BLENDER_FOREST026__pair002__s6__f2__H1_local_failure_hard,BLENDER_FOREST026__pair002__s6__f2,train,BLENDER_FOREST026,H1_local_failure_hard,0.000635334876621881,0.002621476987940252,0.8020261349690935,0.9803396455728398,0.004120291978839639,0.0
BLENDER_FOREST026__pair003__s3__f0__H1_local_failure_hard,BLENDER_FOREST026__pair003__s3__f0,train,BLENDER_FOREST026,H1_local_failure_hard,0.0009960594526920753,0.003874108611892558,0.7560172382784083,0.9691468917059042,0.00374016998137258,0.0
BLENDER_GRASS001__pair000__s0__f5__H1_local_failure_hard,BLENDER_GRASS001__pair000__s0__f5,train,BLENDER_GRASS001,H1_local_failure_hard,0.003859095855476386,0.02027759276571947,1.0213533039805285,1.0048590106073843,0.003576281118194371,0.0
BLENDER_GRASS001__pair001__s7__f4__H1_local_failure_hard,BLENDER_GRASS001__pair001__s7__f4,train,BLENDER_GRASS001,H1_local_failure_hard,0.001735963900613379,0.006006887321914891,0.6725955087933251,1.007094433201524,0.0038154854968313694,0.0
BLENDER_GRASS001__pair002__s1__f2__H1_local_failure_hard,BLENDER_GRASS001__pair002__s1__f2,train,BLENDER_GRASS001,H1_local_failure_hard,1.699218007404418e-05,5.351586273208009e-05,0.6121792381882039,1.0,0.005864730012799999,0.0
BLENDER_GRASS001__pair003__s6__f3__H1_local_failure_hard,BLENDER_GRASS001__pair003__s6__f3,train,BLENDER_GRASS001,H1_local_failure_hard,5.048728424511019e-05,0.00013928933648316906,0.5362669430249574,1.0277877781419111,0.006006234063059575,0.0
BLENDER_MOUNTAIN002__pair000__s0__f7__H3_winner_safe,BLENDER_MOUNTAIN002__pair000__s0__f7,search,BLENDER_MOUNTAIN002,H3_winner_safe,0.00182996805203964,0.022602887229838647,2.400853044287313,0.257087064841885,0.0026604852466082587,0.0
BLENDER_MOUNTAIN002__pair001__s5__f7__H1_local_failure_hard,BLENDER_MOUNTAIN002__pair001__s5__f7,search,BLENDER_MOUNTAIN002,H1_local_failure_hard,0.0014974307074043154,0.018495545523995894,2.400853044287313,0.257087064841885,0.0029726441561485724,0.0
BLENDER_MOUNTAIN002__pair002__s4__f7__H3_winner_safe,BLENDER_MOUNTAIN002__pair002__s4__f7,search,BLENDER_MOUNTAIN002,H3_winner_safe,0.0011878344615476916,0.014671561261495183,2.400853044287313,0.257087064841885,0.0035419897012976204,0.0
