frame_range,step,variant,model_label,rows,boundary_pixel_psnr_mean,boundary_pixel_psnr_median,boundary_psnr_mean,boundary_psnr_median,boundary_ssim_mean,boundary_ssim_median,ewarp_mask_region_mean,ewarp_mask_region_median,mask_bbox_psnr_mean,mask_bbox_psnr_median,mask_bbox_ssim_mean,mask_bbox_ssim_median,mask_region_psnr_mean,mask_region_psnr_median,mask_region_ssim_mean,mask_region_ssim_median,outside_diff_max_mean,outside_diff_max_median,outside_diff_mean_mean,outside_diff_mean_median,outside_region_diff_max_mean,outside_region_diff_max_median,outside_region_diff_mean_mean,outside_region_diff_mean_median,strict_mask_pixel_psnr_mean,strict_mask_pixel_psnr_median,temporal_diff_delta_vs_gt_mean,temporal_diff_delta_vs_gt_median,whole_video_lpips_mean,whole_video_lpips_median,whole_video_psnr_mean,whole_video_psnr_median,whole_video_ssim_mean,whole_video_ssim_median
all49,step0,raw,step0_raw_all49,32,15.16806643999477,16.133443812385437,17.26252982173641,17.87667756826303,0.5699115463457243,0.6836515200469809,10.28830017670638,4.5227549683962325,17.065404238535454,17.730792146665742,0.5728861537632204,0.6907039967712623,17.065404238535454,17.730792146665742,0.5728861537632204,0.6907039967712623,129.27551020408163,123.74489795918367,6.525436173136137,5.822110127429573,129.27551020408163,123.74489795918367,6.525436173136137,5.822110127429573,16.151842384490656,16.84170928422388,10.28830017670638,4.5227549683962325,0.08810470061797211,0.07847076753268437,22.502558962996126,23.132303119400298,0.8480116893518839,0.8684371601379962
all49,step0,comp,step0_comp_all49,32,15.740496003622521,16.485216060722358,17.48399744457766,17.997608028475877,0.5755778145183692,0.6885993134131512,11.135525718354225,5.076168560966229,17.250241066990846,17.838647341659367,0.577472400974093,0.69495763102206,17.250241066990846,17.838647341659367,0.577472400974093,0.69495763102206,114.04272959183673,102.1938775510204,0.7797976623025571,0.7237695534618533,114.04272959183673,102.1938775510204,0.7797976623025571,0.7237695534618533,16.16511745172693,16.85868039630367,11.135525718354225,5.076168560966229,0.06527476210063396,0.05383301926277844,24.178937630371852,24.705327122429694,0.8781511589684369,0.9054996490546666
all49,step10,raw,step10_raw_all49,32,17.98579527013452,17.367812054092788,17.01587311407074,16.669852506374184,0.6110206277754788,0.636752024042376,6.134037106032034,6.016599340606869,16.945990443927545,16.66605439302646,0.6105036838778533,0.6360803937358636,16.945990443927545,16.66605439302646,0.6105036838778533,0.6360803937358636,173.97512755102042,179.19387755102042,22.45116528108412,20.535432835014497,173.97512755102042,179.19387755102042,22.45116528108412,20.535432835014497,16.60441149731946,16.580582167527766,6.134037106032034,6.016599340606869,0.18696245860916622,0.18851426023305679,18.708869286798645,18.686183847199356,0.7285971957091089,0.7387791205349212
all49,step10,comp,step10_comp_all49,32,20.74387570541854,20.15633247795348,17.943723831664688,17.808397674153728,0.623831226531814,0.6504141802177791,7.343508834594559,7.05949771872838,17.709268492576165,17.59600584287921,0.6204637462666165,0.6466919795567516,17.709268492576165,17.59600584287921,0.6204637462666165,0.6466919795567516,117.48022959183673,120.40816326530611,0.7728222712876789,0.7091409193009747,117.48022959183673,120.40816326530611,0.7728222712876789,0.7091409193009747,16.615745501265128,16.59064999260141,7.343508834594559,7.05949771872838,0.06306365362593633,0.06656949427834122,24.6501694938217,24.176601658007364,0.8981934347015988,0.9149596131302268
all49,step30,raw,step30_raw_all49,32,22.641295775276625,22.980344000260438,21.74817826464452,21.638070132973006,0.8285145598617468,0.8430481378763497,1.0491299392564692,0.7625276393810054,21.635227217068866,21.511856900637397,0.8276517145525986,0.8409880733364268,21.635227217068866,21.511856900637397,0.8276517145525986,0.8409880733364268,120.30994897959184,124.78571428571428,11.433393245144767,10.435138517496537,120.30994897959184,124.78571428571428,11.433393245144767,10.435138517496537,21.083321186369744,20.842842653348505,1.0491299392564692,0.7625276393810054,0.08453990194153002,0.08156431732433184,24.07365440177439,24.39020789908267,0.8976322310021121,0.9072593626085994
all49,step30,comp,step30_comp_all49,32,25.298019581717597,25.727625671339432,22.418764887895563,22.02249029129083,0.825397239838541,0.8391590956351901,1.610374194232378,1.2073854438009826,22.18494605091028,21.816576319565904,0.8247818571976685,0.8390823068479297,22.18494605091028,21.816576319565904,0.8247818571976685,0.8390823068479297,67.31760204081633,65.61224489795919,0.766094984299009,0.700311216772819,67.31760204081633,65.61224489795919,0.766094984299009,0.700311216772819,21.09373927936003,20.849809355986324,1.610374194232378,1.2073854438009826,0.031766015669652876,0.028297596013563096,28.992507721225646,28.542975887199724,0.9520097873651276,0.9549645552728521
all49,step50,raw,step50_raw_all49,32,24.94214771665044,24.879713798327195,21.461226791126027,21.382041556848552,0.811409973104727,0.8342451450451438,0.9532752668063675,0.8552146940322322,21.442637716171873,21.408715049853832,0.81428855633475,0.8397225164161735,21.442637716171873,21.408715049853832,0.81428855633475,0.8397225164161735,122.67729591836735,125.68367346938776,16.405659914624934,16.46338140721224,122.67729591836735,125.68367346938776,16.405659914624934,16.46338140721224,21.344489871138176,21.44771083244891,0.9532752668063675,0.8552146940322322,0.0876971213859791,0.08430228853712277,22.05169088062932,22.170406286162287,0.8692175663387819,0.8930397426114397
all49,step50,comp,step50_comp_all49,32,27.915594381938924,27.592705188296073,22.67883682376632,22.69213011193728,0.8281118393572631,0.8551386829576826,1.1594586140179313,0.9672953024164599,22.445153378998853,22.49073867720275,0.8273807791140554,0.852383177100656,22.445153378998853,22.49073867720275,0.8273807791140554,0.852383177100656,53.16645408163266,53.183673469387756,0.7625831653059898,0.6976522596514956,53.16645408163266,53.183673469387756,0.7625831653059898,0.6976522596514956,21.352059316114737,21.45589131973407,1.1594586140179313,0.9672953024164599,0.02595185843306446,0.02521404100710298,29.234355422185754,28.815863993123177,0.9568809495260453,0.9632747343450362
no_first_frame,step0,raw,step0_raw_no_first_frame,32,15.16806643999477,16.133443812385437,17.26252982173641,17.87667756826303,0.5699115463457243,0.6836515200469809,8.50674338630597,3.637201176272666,17.065404238535454,17.730792146665742,0.5728861537632204,0.6907039967712623,17.065404238535454,17.730792146665742,0.5728861537632204,0.6907039967712623,130.27994791666669,124.48958333333334,6.539876038984706,5.849023794134458,130.27994791666669,124.48958333333334,6.539876038984706,5.849023794134458,16.151842384490656,16.84170928422388,8.50674338630597,3.637201176272666,0.08926695939953788,0.07976157361796746,22.3215386340285,22.99243893279697,0.8457317795430724,0.8665994662121617
no_first_frame,step0,comp,step0_comp_no_first_frame,32,15.740496003622521,16.485216060722358,17.48399744457766,17.997608028475877,0.5755778145183692,0.6885993134131512,9.430909283551916,4.274287375007221,17.250241066990846,17.838647341659367,0.577472400974093,0.69495763102206,17.250241066990846,17.838647341659367,0.577472400974093,0.69495763102206,116.146484375,103.98958333333334,0.7798925682630701,0.7232547340293726,116.146484375,103.98958333333334,0.7798925682630701,0.7232547340293726,16.16511745172693,16.85868039630367,9.430909283551916,4.274287375007221,0.06659322200296931,0.05492214718833566,23.703742903634126,24.26046036408774,0.8756360562816634,0.9035512152458887
