name,status,detail,extra_json
void_pass1,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/netflix_void-model/void_pass1.safetensors,"{""size_bytes"": 11143042384}"
void_pass2,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/netflix_void-model/void_pass2.safetensors,"{""size_bytes"": 11143042384}"
base_model_index,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/model_index.json,"{""size_bytes"": 411}"
base_configuration,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/configuration.json,"{""size_bytes"": 56}"
transformer_config,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/transformer/config.json,"{""size_bytes"": 887}"
transformer_weights,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/transformer/diffusion_pytorch_model.safetensors,"{""size_bytes"": 11142305104}"
vae_config,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/vae/config.json,"{""size_bytes"": 839}"
vae_weights,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/vae/diffusion_pytorch_model.safetensors,"{""size_bytes"": 431221142}"
text_encoder_config,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/config.json,"{""size_bytes"": 782}"
text_encoder_index,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/model.safetensors.index.json,"{""size_bytes"": 19885}"
tokenizer_model,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/tokenizer/spiece.model,"{""size_bytes"": 791656}"
scheduler_config,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/scheduler/scheduler_config.json,"{""size_bytes"": 482}"
quadmask_config,EXISTS,/mnt/nas/hj/H20_Video_inpainting_DPO/third_party/VOID/Netflix_void-model/config/quadmask_cogvideox.py,"{""size_bytes"": 3351}"
base_model_index_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/model_index.json,"{""keys"": [""_class_name"", ""_diffusers_version"", ""scheduler"", ""text_encoder"", ""tokenizer"", ""transformer"", ""vae""]}"
base_configuration_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/configuration.json,"{""keys"": [""framework"", ""task""]}"
