split,sample_id,source_group,teacher_label,review_sheet,contact_page,codex_review,visual_note
search,pseudo_search_0000_BLENDER_MOUNTAIN002__exp45_pair000__s0__f3,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0000_BLENDER_MOUNTAIN002__exp45_pair000__s0__f3.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0001_BLENDER_MOUNTAIN002__exp45_pair001__s0__f5,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0001_BLENDER_MOUNTAIN002__exp45_pair001__s0__f5.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0002_BLENDER_MOUNTAIN002__exp45_pair002__s0__f7,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0002_BLENDER_MOUNTAIN002__exp45_pair002__s0__f7.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0003_BLENDER_MOUNTAIN002__exp45_pair003__s6__f3,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0003_BLENDER_MOUNTAIN002__exp45_pair003__s6__f3.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0004_BLENDER_MOUNTAIN002__exp45_pair004__s6__f5,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0004_BLENDER_MOUNTAIN002__exp45_pair004__s6__f5.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0005_BLENDER_MOUNTAIN002__exp45_pair005__s6__f7,BLENDER_MOUNTAIN002,PSEUDO_TARGET_USABLE_LOCAL_ONLY,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0005_BLENDER_MOUNTAIN002__exp45_pair005__s6__f7.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal usable; global teacher strictness not satisfied
search,pseudo_search_0006_BLENDER_MOUNTAIN002__exp45_pair006__s1__f3,BLENDER_MOUNTAIN002,PSEUDO_TARGET_GLOBAL_DRIFT,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0006_BLENDER_MOUNTAIN002__exp45_pair006__s1__f3.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal present but pseudo target has global tone/style drift risk vs V_bg
search,pseudo_search_0007_BLENDER_MOUNTAIN002__exp45_pair007__s1__f5,BLENDER_MOUNTAIN002,PSEUDO_TARGET_GLOBAL_DRIFT,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0007_BLENDER_MOUNTAIN002__exp45_pair007__s1__f5.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal present but pseudo target has global tone/style drift risk vs V_bg
search,pseudo_search_0008_BLENDER_MOUNTAIN002__exp45_pair008__s1__f7,BLENDER_MOUNTAIN002,PSEUDO_TARGET_GLOBAL_DRIFT,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0008_BLENDER_MOUNTAIN002__exp45_pair008__s1__f7.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal present but pseudo target has global tone/style drift risk vs V_bg
search,pseudo_search_0009_BLENDER_MOUNTAIN002__exp45_pair009__s5__f3,BLENDER_MOUNTAIN002,PSEUDO_TARGET_GLOBAL_DRIFT,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/search/pseudo_search_0009_BLENDER_MOUNTAIN002__exp45_pair009__s5__f3.png,/home/nvme01/H20_Video_inpainting_DPO_exp47_minimax_pseudosuccess_forensic/reports/exp47_teacher_review_pages/contact_pages/search_page_00.png,inspected_contact_page,visual/local removal present but pseudo target has global tone/style drift risk vs V_bg
