candidate,fresh,metric,videos,n,mean,median,min,max,win_rate,ci95_low,ci95_high,prob_delta_gt_0,leave_one_out_min,leave_one_out_max
candidate_s2_1000,fresh_s2_1000,PSNR,50,50,0.03173737983515459,-0.022378502145347312,-0.8312873105408656,1.6647691533238103,0.46,-0.07430623816982167,0.15294322022383125,0.7017,-0.0015897992156343069,0.04935012861833867
candidate_s2_1000,fresh_s2_1000,SSIM,50,50,0.00019201596644028874,1.993305620973107e-05,-0.005466406238112342,0.00994814256459331,0.52,-0.0005021381884716919,0.0009554613861433363,0.6889,-7.088658011813737e-06,0.0003074939706148322
candidate_s2_1000,fresh_s2_1000,LPIPS,50,50,-5.991302430629744e-05,-6.757110046843673e-05,-0.0024296533471594266,0.002816861184934776,0.44,-0.000362045040363834,0.00026221002878446556,0.3515,-0.00011862270204591118,-1.1550976901131531e-05
candidate_s2_1000,fresh_s2_1000,TC,50,50,-0.0004027466670326607,-9.182354678283211e-05,-0.005475609198860476,0.004051690516264528,0.46,-0.000871976778559073,5.803671867950731e-05,0.0419,-0.00049365354832444,-0.0002992188602606645
candidate_s2_1000,fresh_s2_1000,Ewarp,50,50,0.040336389843698174,0.006926724302541931,-0.06614150681897257,0.5530140808095076,0.6,0.01414987972289638,0.07173345570513191,1.0,0.029873579823987778,0.042509408142936356
candidate_s2_1000,fresh_s2_1000,strict_mask_PSNR,50,50,0.03173737983515476,-0.02237850214534376,-0.8312873105408691,1.6647691533238032,0.46,-0.07430623816982065,0.15294322022383108,0.7017,-0.0015897992156339805,0.04935012861833892
candidate_s2_1000,fresh_s2_1000,mask_region_SSIM,50,50,0.0037930219026670185,-1.0349892385630444e-05,-0.031821861460105794,0.08657264768875739,0.5,-0.0015400938206847072,0.009806185578987787,0.9085,0.0021036417845835416,0.004519856257009321
candidate_s2_1000,fresh_s2_1000,boundary_PSNR,50,50,0.009395202866047968,0.009002681821154823,-0.8161772099641098,0.639188731343669,0.54,-0.05947621904794542,0.0785066140598987,0.6095,-0.003457726286556545,0.026243619454418533
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,PSNR,50,50,0.011675134873880779,0.04098927166441868,-1.6576635776352973,1.5154034424961225,0.58,-0.11439584865263605,0.14011799903751357,0.5768,-0.0190131979347364,0.045743271863864
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,SSIM,50,50,3.7623611606858456e-05,0.00010099861078582961,-0.009425531653342034,0.011792440568291318,0.6,-0.0008181400768773735,0.0009505088357705839,0.5319,-0.00020227061199894685,0.00023074922925887668
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,LPIPS,50,50,0.0006516038977618638,0.00033332717430312186,-0.002973704521233838,0.006075348627443113,0.64,0.000255876359908143,0.00108795854213046,0.9993,0.0005409152298091853,0.000725589783863817
