dataset,sample_id,mask_id,source_video_id,status,frames,area_mean,area_min,area_max,area_std,bbox_w_mean,bbox_h_mean,edge_touch_ratio,centroid_step_motion_mean,centroid_step_motion_max,first_frame_area,error
historical_br_youtubevos_k4_limit512,youtubevos_000000_003234408d,mask_000,003234408d,OK,16,0.22071533203125,0.22071533203125,0.22071533203125,0.0,0.439453125,0.84375,0.0,0.0,0.0,0.22071533203125,
historical_br_youtubevos_k4_limit512,youtubevos_000001_0043f083b5,mask_000,0043f083b5,OK,16,0.24688720703125,0.24688720703125,0.24688720703125,0.0,0.572265625,0.79375,0.0,0.0,0.0,0.24688720703125,
historical_br_youtubevos_k4_limit512,youtubevos_000002_0044fa5fba,mask_000,0044fa5fba,OK,16,0.2946044921875,0.2946044921875,0.2946044921875,0.0,0.62109375,0.896875,1.0,0.0,0.0,0.2946044921875,
historical_br_youtubevos_k4_limit512,youtubevos_000003_005a527edd,mask_000,005a527edd,OK,16,0.292120361328125,0.292120361328125,0.292120361328125,0.0,0.619140625,0.80625,0.0,0.0,0.0,0.292120361328125,
historical_br_youtubevos_k4_limit512,youtubevos_000004_0065b171f9,mask_003,0065b171f9,OK,16,0.23465423583984377,0.234222412109375,0.234979248046875,0.00023384809872005496,0.421630859375,0.84375,1.0,0.0020132288809606457,0.002310206579122345,0.234222412109375,
historical_br_youtubevos_k4_limit512,youtubevos_000005_00917dcfc4,mask_000,00917dcfc4,OK,16,0.219281005859375,0.219281005859375,0.219281005859375,0.0,0.556640625,0.721875,0.0,0.0,0.0,0.219281005859375,
historical_br_youtubevos_k4_limit512,youtubevos_000006_00a23ccf53,mask_001,00a23ccf53,OK,16,0.258306884765625,0.258306884765625,0.258306884765625,0.0,0.41796875,0.953125,1.0,0.0,0.0,0.258306884765625,
historical_br_youtubevos_k4_limit512,youtubevos_000007_00ad5016a4,mask_003,00ad5016a4,OK,16,0.2663402557373047,0.26585693359375,0.266790771484375,0.0003509005218348548,0.48583984375,0.7859375,0.0,0.0027085570590186926,0.003164482695471501,0.266632080078125,
historical_br_youtubevos_k4_limit512,youtubevos_000008_01082ae388,mask_002,01082ae388,OK,16,0.228912353515625,0.228753662109375,0.2293701171875,0.00018755280228038856,0.5216064453125,0.746875,1.0,0.0021052313464957626,0.003066868092198537,0.228753662109375,
historical_br_youtubevos_k4_limit512,youtubevos_000009_011ac0a06f,mask_000,011ac0a06f,OK,16,0.237750244140625,0.237750244140625,0.237750244140625,0.0,0.466796875,0.7375,0.0,0.0,0.0,0.237750244140625,
historical_br_youtubevos_k4_limit512,youtubevos_000010_013099c098,mask_000,013099c098,OK,16,0.229351806640625,0.229351806640625,0.229351806640625,0.0,0.46875,0.8125,0.0,0.0,0.0,0.229351806640625,
historical_br_youtubevos_k4_limit512,youtubevos_000011_0155498c85,mask_000,0155498c85,OK,16,0.2824462890625,0.2824462890625,0.2824462890625,0.0,0.587890625,0.7625,0.0,0.0,0.0,0.2824462890625,
historical_br_youtubevos_k4_limit512,youtubevos_000012_01694ad9c8,mask_000,01694ad9c8,OK,16,0.2256591796875,0.2256591796875,0.2256591796875,0.0,0.43359375,0.7875,0.0,0.0,0.0,0.2256591796875,
historical_br_youtubevos_k4_limit512,youtubevos_000013_017ac35701,mask_000,017ac35701,OK,16,0.2007568359375,0.2007568359375,0.2007568359375,0.0,0.43359375,0.646875,0.0,0.0,0.0,0.2007568359375,
