relative_path,opened,first_frame_read,frames,width,height,fps,bytes
outputs/feature_6step_probe/search4/BLENDER_MOUNTAIN001_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,558148
outputs/feature_6step_probe/search4/BLENDER_MOUNTAIN002_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,319678
outputs/feature_6step_probe/search4/BLENDER_MOUNTAIN006_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,475313
outputs/feature_6step_probe/search4/BLENDER_MOUNTAIN007_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,217567
outputs/feature_6step_probe/train4/BLENDER_BEACH030_00003/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,845230
outputs/feature_6step_probe/train4/BLENDER_BEACH036_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,151971
outputs/feature_6step_probe/train4/BLENDER_BEDROOM009_00083/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,345427
outputs/feature_6step_probe/train4/BLENDER_CARTOON002_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,333815
outputs/official_readme_test/search4/BLENDER_MOUNTAIN001_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,553302
outputs/official_readme_test/search4/BLENDER_MOUNTAIN002_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,318300
outputs/official_readme_test/search4/BLENDER_MOUNTAIN006_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,447140
outputs/official_readme_test/search4/BLENDER_MOUNTAIN007_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,216323
outputs/official_readme_test/train4/BLENDER_BEACH030_00003/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,840928
outputs/official_readme_test/train4/BLENDER_BEACH036_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,151888
outputs/official_readme_test/train4/BLENDER_BEDROOM009_00083/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,341416
outputs/official_readme_test/train4/BLENDER_CARTOON002_00001/step0/evidence/side_by_side.mp4,True,True,17,2048,512,8.0,334724
