candidate,fresh,metric,videos,n,mean,median,min,max,win_rate,ci95_low,ci95_high,prob_delta_gt_0,leave_one_out_min,leave_one_out_max
candidate_s2_1000,fresh_s2_1000,PSNR,50,50,0.007088269942250917,-0.028472991415258164,-1.146132389893399,2.5985098967190545,0.42,-0.15706930248309853,0.18730043710318,0.5173,-0.04579788570625528,0.030623385449100916
candidate_s2_1000,fresh_s2_1000,SSIM,50,50,0.0005064574386733023,-6.733085111065851e-05,-0.0073009251056526114,0.02305103355556537,0.42,-0.0006480974551100623,0.001888007855294952,0.7823,4.636404853264784e-05,0.0006657917763126066
candidate_s2_1000,fresh_s2_1000,LPIPS,50,50,-6.19082721338299e-05,8.965250647937316e-05,-0.004051676951348782,0.0038063394216199704,0.58,-0.0004651339401752926,0.0003236745618632993,0.3834,-0.00014085210261860135,1.951557846239359e-05
candidate_s2_1000,fresh_s2_1000,TC,0,0,,,,,,,,,,
candidate_s2_1000,fresh_s2_1000,Ewarp,50,50,-0.02758255714307645,-0.006592293452147846,-0.5298824980854988,0.20106124651172852,0.42,-0.06061716703698018,0.0015161935538661854,0.0335,-0.032248757217664306,-0.017331537940169874
candidate_s2_1000,fresh_s2_1000,strict_mask_PSNR,50,50,0.007088269942251131,-0.02847299141525994,-1.1461323898933955,2.5985098967190563,0.42,-0.1570693024830987,0.18730043710318006,0.5173,-0.0457978857062551,0.03062338544910106
candidate_s2_1000,fresh_s2_1000,mask_region_SSIM,50,50,0.002620494713062761,-0.001050352133878607,-0.07327832993147154,0.14913629241477622,0.46,-0.006520067625721743,0.012976968615301955,0.6924,-0.0003696236073803708,0.004169450318053257
candidate_s2_1000,fresh_s2_1000,boundary_PSNR,50,50,-0.025035682886450132,-0.02411348531278179,-0.49327662871497324,0.6173387949527722,0.44,-0.09514068213910969,0.047332934478512945,0.241,-0.03814536610765875,-0.015479745216480273
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,PSNR,50,50,0.07053128731265929,0.07206510112270514,-1.023734485371346,1.0397030651797365,0.62,-0.057706180685188846,0.19790291566587676,0.8607,0.050752271437820975,0.09286324185723083
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,SSIM,50,50,0.00047593188769851525,9.474915672424977e-05,-0.008668008875817756,0.010507658601304204,0.58,-0.0004332509305348978,0.0013917036140398485,0.8549,0.00027120277109431753,0.0006625429236886433
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,LPIPS,50,50,-0.00039115349548713617,-5.4180719113598556e-05,-0.0036486935180922338,0.0027859252877533436,0.4,-0.0007489565139646099,-6.013669557675416e-05,0.0102,-0.0004559918380022481,-0.0003246730868625423
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,TC,0,0,,,,,,,,,,
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,Ewarp,50,50,0.015000149192612172,0.0006207796421060507,-0.1554413010244815,0.80347785969143,0.52,-0.012045269037353935,0.05373217543693312,0.7891,-0.0010912326543024793,0.018478546135818164
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,strict_mask_PSNR,50,50,0.07053128731265758,0.07206510112270514,-1.023734485371346,1.039703065179733,0.62,-0.057706180685188464,0.197902915665874,0.8607,0.05075227143781931,0.09286324185722908
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,mask_region_SSIM,50,50,0.0046537910246483224,0.00201054382942345,-0.0612616200611793,0.07902823648564661,0.6,-0.002350832825030411,0.011706276276554364,0.9042,0.003135945198913664,0.005999003495787662
candidate_stage1_1000_sft_s2,fresh_stage1_1000_sft_s2,boundary_PSNR,50,50,0.06482261179062668,-0.010119828679561849,-0.5458401961172399,1.2852930102238496,0.48,-0.015091055282541456,0.1562907239301847,0.9402,0.03991505263892826,0.07728511807446069
candidate_s2_1500,fresh_s2_1500,PSNR,50,50,0.009444424029472315,-0.06151896140836399,-0.9309482347012903,1.901088711969436,0.46,-0.13259681358973618,0.16285951022533166,0.5466,-0.029160561438690207,0.02863611094234502
candidate_s2_1500,fresh_s2_1500,SSIM,50,50,-0.00030971469395284944,-0.0002308419460034239,-0.011635100568244128,0.00747538130925518,0.42,-0.0012304198013066193,0.000565547524973598,0.2555,-0.00046859420422240105,-7.858436998772132e-05
candidate_s2_1500,fresh_s2_1500,LPIPS,50,50,0.00033925913701144365,0.00022521176530669075,-0.004695392679423094,0.005797253611187145,0.58,-0.00012018386687365517,0.000803148564998992,0.9273,0.00022787149468132736,0.00044200713326520975
candidate_s2_1500,fresh_s2_1500,TC,0,0,,,,,,,,,,
candidate_s2_1500,fresh_s2_1500,Ewarp,50,50,0.04487434255323663,-0.0009899807122091264,-0.24741149062047807,0.7162666272210068,0.5,0.005248536893581886,0.09210770404593956,0.9892,0.031172459192669897,0.05083935955678183
candidate_s2_1500,fresh_s2_1500,strict_mask_PSNR,50,50,0.009444424029472528,-0.06151896140836399,-0.9309482347012903,1.9010887119694324,0.46,-0.13259681358973596,0.16285951022533166,0.5466,-0.02916056143868992,0.02863611094234524
candidate_s2_1500,fresh_s2_1500,mask_region_SSIM,50,50,-0.0017419118662570965,-0.0031835077164393544,-0.06399194938225594,0.08295649216190348,0.42,-0.008051546564625721,0.004940187100038737,0.2982,-0.0034704507239746592,-0.0004715029373591609
candidate_s2_1500,fresh_s2_1500,boundary_PSNR,50,50,6.0973932198393754e-05,0.041207716916181525,-0.9262292692560266,0.5203687977635667,0.56,-0.07868547341408426,0.0728104093260546,0.5028,-0.010557553084768306,0.0189648564462438
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,PSNR,50,50,-0.09351447484255992,-0.0415438593158477,-1.910242361510619,1.853479827011963,0.46,-0.24386081729365228,0.05621876660792238,0.109,-0.13324905243142773,-0.056438395522803615
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,SSIM,50,50,-0.0006110365881313728,-0.00033709898933154125,-0.01087425235005135,0.010726886328969787,0.44,-0.001550840367523043,0.00032397144255672775,0.0999,-0.0008424227701130291,-0.0004015832052350468
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,LPIPS,50,50,2.6426716552425436e-06,8.331994952944476e-05,-0.004162310156971216,0.004534936898077525,0.52,-0.00040666702573556287,0.0004224850042810427,0.4997,-8.985312888398772e-05,8.764170897414987e-05
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,TC,0,0,,,,,,,,,,
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,Ewarp,50,50,-0.002097385054778167,0.0005128917426030499,-0.5400018645045552,0.37388521773011973,0.5,-0.034899902971633534,0.028532193504203277,0.4542,-0.009770499397327104,0.008880257382972385
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,strict_mask_PSNR,50,50,-0.09351447484256127,-0.0415438593158477,-1.910242361510619,1.8534798270119612,0.46,-0.2438608172936547,0.05621876660792151,0.109,-0.13324905243142907,-0.05643839552280499
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,mask_region_SSIM,50,50,-0.004664571409660934,-0.0032676033867466425,-0.13743549283997425,0.132530385240903,0.44,-0.014278901082783835,0.004616069147797945,0.158,-0.007464468484162238,-0.001954960768225968
candidate_stage1_1500_sft_s2,fresh_stage1_1500_sft_s2,boundary_PSNR,50,50,-0.05811651853331405,0.0049531683853825115,-0.7913954388916515,0.6047621383916812,0.52,-0.14167483046066343,0.02401773581784686,0.0836,-0.0716446543889262,-0.04315164260763369
candidate_s2_2000,fresh_s2_2000,PSNR,50,50,0.10338881811077989,0.058087314647263355,-1.5921085278726856,1.7224896438076343,0.62,-0.047640676790070106,0.2608323936045569,0.9091,0.07034594411696654,0.13799080476350367
candidate_s2_2000,fresh_s2_2000,SSIM,50,50,0.000832639095889014,0.00028168605853640116,-0.006156306944204881,0.013796384438961584,0.64,-6.714163993556366e-05,0.0018435564911410292,0.9624,0.0005680728643977371,0.0009752706477276649
candidate_s2_2000,fresh_s2_2000,LPIPS,50,50,0.00018065198693269227,3.741034015547441e-05,-0.0024290135285506657,0.005495299701578913,0.52,-0.00014795108314622963,0.0005313661649706771,0.8493,7.218978867460611e-05,0.00023391046684051589
candidate_s2_2000,fresh_s2_2000,TC,0,0,,,,,,,,,,
candidate_s2_2000,fresh_s2_2000,Ewarp,50,50,-0.03382957327868002,-0.003186823881190737,-0.45109730031665407,0.09988855732523838,0.36,-0.0596037453986989,-0.012103953163402712,0.0004,-0.036558514719576315,-0.025313905379945854
candidate_s2_2000,fresh_s2_2000,strict_mask_PSNR,50,50,0.1033888181107795,0.05808731464726513,-1.592108527872682,1.7224896438076343,0.62,-0.0476406767900695,0.2608323936045571,0.9091,0.07034594411696614,0.1379908047635032
candidate_s2_2000,fresh_s2_2000,mask_region_SSIM,50,50,0.00732342897312906,0.0025456709639099517,-0.05567293549071506,0.06837719723777946,0.6,0.000670764037590422,0.014415044724096836,0.985,0.006077433702421909,0.00860906906422792
candidate_s2_2000,fresh_s2_2000,boundary_PSNR,50,50,0.0005029268671226106,0.039739980489427396,-1.4292848523059547,0.8596280793158293,0.56,-0.09735197461684154,0.08621572766105833,0.5188,-0.01703023950938161,0.029682269299226228
candidate_stage1_2000_sft_s2,fresh_stage1_2000_sft_s2,PSNR,50,50,-0.04498103685774204,0.04977427690309355,-2.2550977552931286,1.8164686893358706,0.56,-0.2276529679087589,0.13114306373777396,0.3144,-0.08296980678006066,0.00012338596746993037
