model,case_id,split,checkpoint_a,checkpoint_b,file_path_on_hal,file_type,metric_summary,visual_reason,recommended_for_slide,notes,source_path_original
DiffuEraser,selected_8,DAVIS50/YTVOS visual evidence,SFT-48000,Exp11 outer b0.75 S2,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/diffueraser/selected_8/exp11_outer_b075_s2_selected_visuals,directory,"Selected visual evidence complete: 8 side-by-side MP4, frames/contact sheets per report",Best quick starting point; includes strong and cautionary cases,yes,Open this first for DiffuEraser examples,/home/hj/dpo-2-1-exp/this_week_exp11_exp12/visual_evidence/exp11_outer_b075_s2_selected_visuals
DiffuEraser,final_20,paper visual cases,SFT-48000,Exp11 outer b0.75 S2,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/diffueraser/final_20/final_20_visual_cases_for_paper,directory,20 paper-facing visual cases if available locally,Broader paper case bank,yes,Use after selected_8,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper
DiffuEraser,davis50_side_by_side,DAVIS50,SFT-48000,Exp11 outer b0.75 S2,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/diffueraser/davis50_side_by_side/exp15_or_benchmark_davis50_visuals_fixed,directory,DAVIS50 side-by-side visuals,Good for eval-set discussion,yes,Local HAL copy/symlink used,/home/hj/dpo-2-1-exp/exp15_or_benchmark_davis50_visuals_fixed
DiffuEraser,teacher_question1_report,paper explanation,SFT-48000,Exp11 outer b0.75 S2,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/diffueraser/reports/teacher_question1_visual_metric_relationship_20260617.md,md,Explains visual/metric relationship for teacher question,Open when explaining why metrics and visuals both matter,yes,Report only,/home/hj/H20_Video_inpainting_DPO_hal/reports/teacher_question1_visual_metric_relationship_20260617.md
VideoPainter,vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step0,search-dev,step0,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step0_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step2000,search-dev,step2000,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step2000_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step2000/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step50,search-dev,step50,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV242_00112_002_03_step50_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step50/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step0,search-dev,step0,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step0_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step2000,search-dev,step2000,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step2000_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step2000/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step50,search-dev,step50,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step50_searchdev/vp2_vor_bg_49f_REAL_ENV800_00003_001_02_step50_side_by_side.mp4,mp4,Exp31 shows Step2000/Step50 improvements in aggregate reports,Search-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step50/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4
