experiment,registry,rows,flags,dpo_diag_csv,dpo_loss_mean,dpo_loss_p50,dpo_loss_p90,dpo_loss_max,implicit_acc_mean,implicit_acc_p50,implicit_acc_p90,implicit_acc_max,win_gap_mean,win_gap_p50,win_gap_p90,win_gap_max,lose_gap_mean,lose_gap_p50,lose_gap_p90,lose_gap_max,raw_win_gap_mean,raw_win_gap_p50,raw_win_gap_p90,raw_win_gap_max,raw_lose_gap_mean,raw_lose_gap_p50,raw_lose_gap_p90,raw_lose_gap_max,norm_win_gap_mean,norm_win_gap_p50,norm_win_gap_p90,norm_win_gap_max,norm_lose_gap_mean,norm_lose_gap_p50,norm_lose_gap_p90,norm_lose_gap_max,norm_lose_gap_clipped_mean,norm_lose_gap_clipped_p50,norm_lose_gap_clipped_p90,norm_lose_gap_clipped_max,winner_abs_reg_mean,winner_abs_reg_p50,winner_abs_reg_p90,winner_abs_reg_max,winner_gap_reg_mean,winner_gap_reg_p50,winner_gap_reg_p90,winner_gap_reg_max,mse_w_over_ref_mse_w_mean,mse_w_over_ref_mse_w_p50,mse_w_over_ref_mse_w_p90,mse_w_over_ref_mse_w_max,mse_l_over_ref_mse_l_mean,mse_l_over_ref_mse_l_p50,mse_l_over_ref_mse_l_p90,mse_l_over_ref_mse_l_max,sigma_term_mean,sigma_term_p50,sigma_term_p90,sigma_term_max,kl_divergence_mean,kl_divergence_p50,kl_divergence_p90,kl_divergence_max,loser_dominant_ratio_mean,loser_dominant_ratio_p50,loser_dominant_ratio_p90,loser_dominant_ratio_max,grad_norm_mean,grad_norm_p50,grad_norm_p90,grad_norm_max,prior_loss_mean,prior_loss_p50,prior_loss_p90,prior_loss_max,boundary_loss_mean,boundary_loss_p50,boundary_loss_p90,boundary_loss_max,flow_loss_mean,flow_loss_p50,flow_loss_p90,flow_loss_max
exp5,exp05_old_plain,2082,COLLAPSE_RISK;DPO_SATURATED;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260526_172044_exp5_d2_comp_k4_stage1_full/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260527_181634_exp5_d2_comp_k4_stage2_full/dpo_diagnostics.csv,0.038973,2.482e-12,0.00476,7.943036,0.992795,1,1,1,0.48734,0.468997,0.776293,1.320533,0.629038,0.622118,0.948834,1.381771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98545,1,1,1,0.279094,0.273492,0.429904,0.675576,0.998894,1,1,1,3.164398,0.000518,8.843862,175.504849,,,,,,,,,,,,
newexp5,exp05_new_wingap_comp,802,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage2/dpo_diagnostics.csv,0.521324,0.663029,0.693026,5.736185,0.922382,1,1,1,0.010292,-0.000127,0.006985,1.608719,0.734733,0.070938,2.730976,3.699698,,,,,,,,,,,,,,,,,,,,,0.122202,0.066639,0.302618,1.648957,0.012655,0.000119,0.007946,1.608719,1.227844,0.993688,1.068199,40.979805,10.809275,2.500751,29.90877,204.150742,0.636738,0.516793,0.967509,0.99066,0.186256,0.017753,0.693942,0.923994,0.688797,0.857143,1,1,7.605838,2.977777,15.135008,211.704636,,,,,,,,,,,,
newexp6,exp06_new_wingap_nocomp,802,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO_exp09_10_11_pai_sync/reports/dpo_diag_snapshots/exp06_new_stage1_dpo_diagnostics.csv;/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO_exp09_10_11_pai_sync/reports/dpo_diag_snapshots/exp06_new_stage2_dpo_diagnostics.csv,0.314314,0.027647,0.690621,17.319733,0.960308,1,1,1,0.036413,-0.000664,0.007379,4.660285,2.780187,3.123741,5.338371,6.196559,,,,,,,,,,,,,,,,,,,,,0.145762,0.070861,0.30848,4.670134,0.037992,7.11e-05,0.008091,4.660285,6.034929,0.988949,1.154925,1397,103.48356,30.725414,274.505646,1688,0.834513,0.974745,0.998742,0.999572,0.70415,0.787237,1.344716,2.36141,0.899917,1,1,1,51.222993,2.844719,109.429809,2291,,,,,,,,,,,,
exp7a-1,exp07a_1_stage1dpo_sftstage2,151,LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage1/dpo_diagnostics.csv,0.503999,0.667897,0.693125,1.301917,0.898179,1,1,1,0.006409,0.000323,0.015563,0.233819,0.598617,0.050862,2.035343,2.684299,,,,,,,,,,,,,,,,,,,,,0.053973,0.039775,0.125375,0.309829,0.006851,0.000453,0.015676,0.233819,1.203876,1.02165,1.543019,4.076163,13.750707,3.588212,33.059013,156.025803,0.630634,0.513097,0.924159,0.965491,0.151257,0.012032,0.511699,0.672273,0.931488,1,1,1,13.270631,5.512669,29.588251,173.418631,,,,,,,,,,,,
exp7a-2,exp07a_2_stage1dpo_stage2dpo,302,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage2/dpo_diagnostics.csv,0.422761,0.485081,0.693424,1.301917,0.879553,1,1,1,0.010214,0.002821,0.021251,0.233819,0.876965,0.448459,2.375156,2.867071,,,,,,,,,,,,,,,,,,,,,0.046853,0.028449,0.109957,0.309829,0.010435,0.002836,0.021265,0.233819,1.6538,1.181805,2.460632,38.848175,40.80874,15.954101,107.698891,457.9263,0.686272,0.622235,0.946639,0.971508,0.221795,0.114193,0.595408,0.719499,0.965744,1,1,1,9.445331,3.49059,18.361355,173.418631,,,,,,,,,,,,
exp8a-1,exp08a_1_stage1dpo_sftstage2_davis,201,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260605_142442_exp08_d3_comp_fullloss_wingap_lose025_s1_2000_davis_pai/dpo_diagnostics.csv,0.441029,0.546279,0.693204,1.158791,0.906183,1,1,1,0.01324,0.001608,0.028909,0.222248,0.894675,0.502587,2.408505,3.089099,,,,,,,,,,,,,,,,,,,,,0.066965,0.045101,0.173641,0.31722,0.013303,0.001683,0.028909,0.222257,2.274324,1.040103,2.41145,72.704865,30.565873,16.106596,78.609283,300.585236,0.683815,0.61707,0.94945,0.978703,0.226979,0.135253,0.624304,0.773959,0.957652,1,1,1,18.441307,7.640489,44.781596,405.044144,,,,,,,,,,,,
exp8a-2,exp08a_2_stage1dpo_stage2dpo_davis,402,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260605_142442_exp08_d3_comp_fullloss_wingap_lose025_s1_2000_davis_pai/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260606_070556_exp08_d3_comp_fullloss_wingap_lose025_s2_2000_davis_pai/dpo_diagnostics.csv,0.384083,0.359237,0.693595,1.158791,0.869447,1,1,1,0.010664,0.003567,0.019219,0.222248,1.064249,0.885461,2.494966,3.089099,,,,,,,,,,,,,,,,,,,,,0.057541,0.036261,0.143367,0.31722,0.010695,0.003567,0.019219,0.222257,1.817705,1.180213,1.712155,72.704865,41.876034,23.03742,108.842194,567.334473,0.721313,0.744192,0.954778,0.978703,0.268728,0.22314,0.627844,0.773959,0.946488,1,1,1,11.475752,3.933429,29.10891,405.044144,,,,,,,,,,,,
exp8c-1,exp08c_1_gtwin_stage1dpo_sftstage2_davis,219,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260606_144527_exp08c_youtubevos_gtwin_d3comp_fullloss_wingap_lose025_s1_2000_davis_pai/dpo_diagnostics.csv,0.347569,0.228153,0.692382,4.206883,0.941129,1,1,1,0.014812,0.000617,0.005379,1.206849,1.323839,1.206956,2.978889,3.860331,,,,,,,,,,,,,,,,,,,,,0.07013,0.039284,0.155185,1.207721,0.014918,0.000683,0.005379,1.206849,10.570405,1.025425,1.464079,1385,15.430525,4.55691,29.528479,297.101501,0.754868,0.80719,0.976459,0.988891,0.334663,0.301868,0.744643,0.981912,0.999429,1,1,1,58.789331,7.896222,214.900149,598.075086,,,,,,,,,,,,
exp8c-2,exp08c_2_gtwin_stage1dpo_stage2dpo_davis,450,COLLAPSE_RISK;LOSER_DOMINANT;WIN_GAP_EXPLODED,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260606_144527_exp08c_youtubevos_gtwin_d3comp_fullloss_wingap_lose025_s1_2000_davis_pai/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260606_144527_exp08c_youtubevos_gtwin_d3comp_fullloss_wingap_lose025_s2_2000_davis_pai/dpo_diagnostics.csv,0.262079,0.092837,0.691041,4.206883,0.94754,1,1,1,0.013662,0.001452,0.006243,1.206849,1.993824,2.180007,3.573192,3.860331,,,,,,,,,,,,,,,,,,,,,0.059916,0.03535,0.139054,1.207721,0.013714,0.001452,0.006243,1.206849,6.620361,1.063169,1.854456,1385,22.617287,8.36065,61.903423,297.101501,0.826348,0.934268,0.988479,0.991184,0.501872,0.553784,0.894242,1.116555,0.999722,1,1,1,28.720304,0.283812,68.630971,598.075086,,,,,,,,,,,,
exp9-1,exp09_1,201,LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_025331_d3n16_val24_exp9_logratio_gap_dpo_s1_2000_davis_pai/dpo_diagnostics.csv,0.407822,0.376534,0.623161,0.963293,0.988628,1,1,1,-0.018877,-0.016028,-0.002874,0.120385,0.544481,0.590892,1,1,-0.00073,-0.000469,-1.564e-05,0.002303,0.354853,0.189971,1.041332,1.734396,-0.018877,-0.016028,-0.002874,0.120385,0.618533,0.590918,1.253799,1.816505,0.544481,0.590892,1,1,0.053875,0.035972,0.134901,0.316689,0.003908,0.000223,0.005978,0.134045,0.983935,0.984186,0.997061,1.344791,2.10416,1.896678,3.501266,6.147457,0.676772,0.688147,0.792471,0.849295,0.088531,0.047548,0.259572,0.433246,0.975124,1,1,1,12.737051,3.456027,27.198867,249.463843,,,,,,,,,,,,
exp9-2,exp09_2,402,LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_025331_d3n16_val24_exp9_logratio_gap_dpo_s1_2000_davis_pai/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260609_025331_d3n16_val24_exp9_logratio_gap_dpo_s2_2000_davis_pai/dpo_diagnostics.csv,0.39716,0.341995,0.630648,0.963293,0.979744,1,1,1,-0.011181,-0.009926,0.006054,0.120385,0.60163,0.681381,1,1,-0.000404,-0.000132,0.000103,0.002303,0.432811,0.253504,1.161061,2.004674,-0.011181,-0.009926,0.006054,0.120385,0.697,0.712532,1.274978,2.108499,0.60163,0.681381,1,1,0.045513,0.026483,0.111366,0.316689,0.004377,0.001376,0.010402,0.134045,0.990262,0.990246,1.006415,1.344791,2.310323,2.263231,3.567787,8.227013,0.683578,0.715301,0.784548,0.849295,0.108102,0.063407,0.290068,0.501088,0.98543,1,1,1,8.825244,3.207073,16.887006,249.463843,,,,,,,,,,,,
exp10-1,exp10_1,201,COLLAPSE_RISK;LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_1608_exp10_n16_gpus4_7_scratch_exp10_region_local_dpo_s1_2000_davis_pai/dpo_diagnostics.csv,0.455818,0.471578,0.646788,3.442898,0.976368,1,1,1,-0.000553,-0.009112,0.015889,0.839057,0.544708,0.468214,1,1,-0.000787,-0.000726,0.000534,0.058387,0.387997,0.105564,1.218417,2.128723,-0.000553,-0.009112,0.015889,0.839057,0.739509,0.470834,1.650418,2.029765,0.544708,0.468214,1,1,0.145188,0.090933,0.36544,0.742955,0.014154,0.001247,0.022911,0.839391,1.008382,0.990758,1.015832,3.05367,2.628646,1.804211,5.238521,7.388337,0.656076,0.628542,0.793335,0.814276,0.096803,0.026617,0.304915,0.530931,0.992537,1,1,1,42.792656,6.756753,67.257269,1460,,,,,,,,,,,,
exp10-2,exp10_2,402,COLLAPSE_RISK;LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_1608_exp10_n16_gpus4_7_scratch_exp10_region_local_dpo_s1_2000_davis_pai/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260609_1608_exp10_n16_gpus4_7_scratch_exp10_region_local_dpo_s2_2000_davis_pai/dpo_diagnostics.csv,0.42307,0.367565,0.643548,3.442898,0.981965,1,1,1,0.006685,-0.00386,0.026959,0.839057,0.655429,0.926975,1,1,0.001997,-0.00014,0.001621,0.331279,0.487326,0.206193,1.390401,2.128723,0.006685,-0.00386,0.026959,0.839057,0.970025,1.132162,1.797368,2.460637,0.655429,0.926975,1,1,0.120419,0.072253,0.299275,0.980958,0.017345,0.002715,0.029918,0.839391,1.014728,0.996237,1.030044,3.05367,3.36575,3.241859,5.972056,11.690132,0.678128,0.722665,0.787765,0.814276,0.122331,0.051373,0.347594,0.531676,0.995647,1,1,1,23.781061,4.277386,22.777389,1460,,,,,,,,,,,,
exp11-1,exp11_1,201,COLLAPSE_RISK;LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_2331_exp11_n16_gpus4_7_scratch_exp11_flow_prior_consistency_dpo_s1_2000_davis_pai/dpo_diagnostics.csv,0.481473,0.481977,0.654175,3.679688,0.972637,1,1,1,0.007266,-0.009219,0.014063,0.926732,0.544546,0.456565,1,1,0.000192,-0.000666,0.000356,0.179252,0.384245,0.111847,1.219874,2.130708,0.007266,-0.009219,0.014063,0.926732,0.74242,0.471969,1.645991,2.03959,0.544546,0.456565,1,1,0.146166,0.097476,0.365289,0.742996,0.021923,0.001068,0.025214,0.926732,1.020948,0.99063,1.015345,2.852679,2.641681,1.770575,5.17882,7.456759,0.648005,0.625731,0.793304,0.812856,0.096109,0.028603,0.303918,0.531449,0.997512,1,1,1,52.380193,6.541419,53.075961,1472,0.005192,0.003106,0.007853,0.211904,0.004798,0.003121,0.011154,0.030064,0.006263,0.004091,0.010572,0.130897
exp11-2,exp11_2,402,COLLAPSE_RISK;LOSER_DOMINANT,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260609_2331_exp11_n16_gpus4_7_scratch_exp11_flow_prior_consistency_dpo_s1_2000_davis_pai/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260609_2331_exp11_n16_gpus4_7_scratch_exp11_flow_prior_consistency_dpo_s2_2000_davis_pai/dpo_diagnostics.csv,0.421345,0.321039,0.633955,3.679688,0.982587,1,1,1,0.001933,-0.00578,0.011027,0.926732,0.633771,0.857873,1,1,7.75e-06,-0.000305,0.000262,0.179252,0.467886,0.191233,1.381408,2.130708,0.001933,-0.00578,0.011027,0.926732,0.921948,1.008039,1.745806,2.37171,0.633771,0.857873,1,1,0.118429,0.071122,0.299345,0.742996,0.013182,0.001718,0.016214,0.926732,1.008837,0.994419,1.012117,2.852679,3.204454,2.939457,5.7226,10.435728,0.677466,0.737518,0.787977,0.812856,0.116973,0.047622,0.345185,0.531449,0.998134,1,1,1,28.288247,3.674168,21.980754,1472,0.003495,0.001909,0.006034,0.211904,0.003352,0.00196,0.008355,0.030064,0.004521,0.00281,0.008804,0.130897
