sample_id,model,video_path,contact_sheet,reviewed_frames,classification,temporal_artifact,spatial_artifact,reason,reviewer_pass,visual_review_status,status,frame_count,full_psnr,mask_psnr,full_ssim,temporal_absdiff_mean,temporal_absdiff_max,black_frame_ratio,mask_profile,area_bucket,motion_bucket,evidence_sheet,crop_sheet
vp2_vor_bg_49f_REAL_ENV242_00112_002_03,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,0 24 26 41 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,27.298827242903663,21.135581783813326,0.7956986597606114,8.145985496540865,11.345314025878906,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV242_00112_002_03.jpg
vp2_vor_bg_49f_REAL_ENV800_00003_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,0 24 48,hard-plausible,possible temporal artifact,strong local mismatch,strong but finite local/temporal defect; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,15.824530959700532,10.373533885062294,0.6627492868170446,2.3788562963406243,13.47546100616455,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV800_00003_001_02.jpg
vp2_vor_bg_49f_REAL_ENV246_00108_004_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,0 24 25 45 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,24.33057499995568,19.217992086496086,0.8054620295154805,15.81822600464026,22.209444046020508,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV246_00108_004_05.jpg
vp2_vor_bg_49f_REAL_ENV029_00002_006_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,0 24 27 32 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,22.972383241361428,12.650742522504407,0.9491311384707081,1.9766593041519325,5.055961608886719,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV029_00002_006_01.jpg
vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,0 16 23 24 48,hard-plausible,possible temporal artifact,strong local mismatch,strong but finite local/temporal defect; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,11.6119744406385,6.177996780227063,0.6931933383552396,2.4873354993760586,31.161239624023438,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_BLENDER_WAREHOUSE023_00011.jpg
vp2_vor_bg_49f_REAL_ENV231_00003_003_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,0 23 24 32 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,23.4408686654815,19.48628959257285,0.7420370590930082,7.235598750412464,10.903848648071289,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV231_00003_003_01.jpg
vp2_vor_bg_49f_REAL_ENV248_00114_005_05,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,0 24 40 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,28.09348277068717,20.90941592112473,0.8628778433313176,7.5697543534139795,12.281073570251465,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV248_00114_005_05.jpg
vp2_vor_bg_49f_REAL_ENV097_00001_001_02,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,0 24 28 30 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,28.124204204121895,22.24052497382174,0.9609266726338134,3.6399931460618973,5.11386775970459,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV097_00001_001_02.jpg
vp2_vor_bg_49f_REAL_ENV207_00002_001_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,0 24 28 34 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,25.15475012492217,19.878768267087324,0.9057934624808175,3.2947367702921233,5.323713302612305,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV207_00002_001_01.jpg
vp2_vor_bg_49f_REAL_ENV227_00001_005_01,VideoPainter_official,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/official_generation/contact_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,0 23 24 32 48,medium-hard,checked_by_frame_diffs,localized in mask/near boundary,finite visible defect without technical collapse; Codex reviewed dense temporal evidence sheets and crop sheets on 2026-06-25; no decode/frame-order/systematic blocker observed.,true,TEMPORAL_REVIEW_PASS_DENSE_EVIDENCE,OK,49,22.143742911779263,16.140679443294193,0.79894385532457,3.0156890054543815,4.626204490661621,0.0,,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/evidence_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/searchdev_step0_official_20260625_131957/step0_review/crop_sheets/vp2_vor_bg_49f_REAL_ENV227_00001_005_01.jpg
