smoke16_index,sample_id,scene_group,source_type,mask_bucket,effect_type,condition_member_path,winner_member_path,mask_member_path,selection_reason
0,BLENDER_CARTOON006_00001,BLENDER_CARTOON006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_CARTOON006_00001.mp4,VOR-Train/BG/BLENDER_CARTOON006_00001.mp4,MASK/BLENDER_CARTOON006_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
1,REAL_ENV044_00004_001_01,REAL_ENV044_00004,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV044_00004_001_01.mp4,VOR-Train/BG/REAL_ENV044_00004_001_01.mp4,MASK/REAL_ENV044_00004_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
2,BLENDER_FOREST006_00001,BLENDER_FOREST006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST006_00001.mp4,VOR-Train/BG/BLENDER_FOREST006_00001.mp4,MASK/BLENDER_FOREST006_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
3,REAL_ENV044_00005_001_01,REAL_ENV044_00005,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV044_00005_001_01.mp4,VOR-Train/BG/REAL_ENV044_00005_001_01.mp4,MASK/REAL_ENV044_00005_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
4,BLENDER_FOREST007_00001,BLENDER_FOREST007,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST007_00001.mp4,VOR-Train/BG/BLENDER_FOREST007_00001.mp4,MASK/BLENDER_FOREST007_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
5,REAL_ENV045_00001_001_01,REAL_ENV045_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00001_001_01.mp4,VOR-Train/BG/REAL_ENV045_00001_001_01.mp4,MASK/REAL_ENV045_00001_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
6,BLENDER_FOREST008_00001,BLENDER_FOREST008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST008_00001.mp4,VOR-Train/BG/BLENDER_FOREST008_00001.mp4,MASK/BLENDER_FOREST008_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
7,REAL_ENV045_00002_001_01,REAL_ENV045_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00002_001_01.mp4,VOR-Train/BG/REAL_ENV045_00002_001_01.mp4,MASK/REAL_ENV045_00002_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
8,BLENDER_FOREST015_00001,BLENDER_FOREST015,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST015_00001.mp4,VOR-Train/BG/BLENDER_FOREST015_00001.mp4,MASK/BLENDER_FOREST015_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
9,REAL_ENV045_00003_001_01,REAL_ENV045_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00003_001_01.mp4,VOR-Train/BG/REAL_ENV045_00003_001_01.mp4,MASK/REAL_ENV045_00003_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
10,BLENDER_FOREST016_00001,BLENDER_FOREST016,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST016_00001.mp4,VOR-Train/BG/BLENDER_FOREST016_00001.mp4,MASK/BLENDER_FOREST016_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
11,REAL_ENV046_00001_001_01,REAL_ENV046_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00001_001_01.mp4,VOR-Train/BG/REAL_ENV046_00001_001_01.mp4,MASK/REAL_ENV046_00001_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
12,BLENDER_FOREST017_00001,BLENDER_FOREST017,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST017_00001.mp4,VOR-Train/BG/BLENDER_FOREST017_00001.mp4,MASK/BLENDER_FOREST017_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
13,REAL_ENV046_00002_001_01,REAL_ENV046_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00002_001_01.mp4,VOR-Train/BG/REAL_ENV046_00002_001_01.mp4,MASK/REAL_ENV046_00002_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
14,BLENDER_FOREST018_00001,BLENDER_FOREST018,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST018_00001.mp4,VOR-Train/BG/BLENDER_FOREST018_00001.mp4,MASK/BLENDER_FOREST018_00001.mp4,deterministic_balanced_source_type_from_source_pool_v2
15,REAL_ENV046_00003_001_01,REAL_ENV046_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00003_001_01.mp4,VOR-Train/BG/REAL_ENV046_00003_001_01.mp4,MASK/REAL_ENV046_00003_001_01.mp4,deterministic_balanced_source_type_from_source_pool_v2
