category,split,sample_id,final_class,condition_path,winner_path,step0_path_or_sheet,step50_path_or_sheet,mask_or_crop_evidence,primary_metric_delta,lpips_delta,ewarp_delta,failure_or_success_mode,one_sentence_human_explanation,local_asset_hint
clearly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
clearly_better,shadow-dev,vp2_vor_bg_49f_BLENDER_FOREST015_00002,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_FOREST015_00002_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
clearly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV193_00001_002_02_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
clearly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV179_00002_003_04_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
clearly_better,shadow-dev,vp2_vor_bg_49f_BLENDER_RIVER016_00009,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_BLENDER_RIVER016_00009_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
clearly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,STEP50_CLEARLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV163_00012_003_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV163_00012_003_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV163_00012_003_02_anonymous.jpg,,,,minor_or_no,Step50 removes the Step0 translucent oval/ring residual without a visible new artifact.,
slightly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,STEP50_SLIGHTLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV171_00001_001_01_anonymous.jpg,,,,minor_or_no,"Step50 reduces the local residual, with only mild texture or color tradeoff.",
slightly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,STEP50_SLIGHTLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV135_00001_006_02_anonymous.jpg,,,,minor_or_no,"Step50 reduces the local residual, with only mild texture or color tradeoff.",
slightly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,STEP50_SLIGHTLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV191_00012_006_04_anonymous.jpg,,,,minor_or_no,"Step50 reduces the local residual, with only mild texture or color tradeoff.",
slightly_better,shadow-dev,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,STEP50_SLIGHTLY_BETTER,,,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV187_00002_001_05_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV187_00002_001_05_informed.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/shadowdev_confirmatory_20260625/visual_review_step0_vs_step50/per_sample/vp2_vor_bg_49f_REAL_ENV187_00002_001_05_anonymous.jpg,,,,minor_or_no,"Step50 reduces the local residual, with only mild texture or color tradeoff.",
