recipe,recipe_name,sample_id,source_group,review_method,reviewed_frames,classification,counts_as_better,counts_as_worse,spatial_artifact,temporal_artifact,outside_damage,reason,step0_vs_step10_strip,step0_raw_output_mp4,step10_raw_output_mp4,delta_full_psnr,delta_mask_psnr,delta_boundary_psnr,delta_outside_psnr,delta_outside_mae,delta_temporal_diff_mae,pixel_diff_mean_review_frames
R1,LocalDPO-Linear-HardNoise,BLENDER_RIVER016_00001,BLENDER_RIVER016,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,yes,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_RIVER016_00001/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_RIVER016_00001/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_RIVER016_00001/step10/evidence/raw_output.mp4,-0.13930612847941148,-0.2626032794865587,-0.035677429811572736,-0.05998553946264806,0.29279234830071044,-0.2754983752965927,2.5812250773111978
R1,LocalDPO-Linear-HardNoise,BLENDER_STREET006_00002,BLENDER_STREET006,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,TIE_NO_MEANINGFUL_CHANGE,false,false,none obvious beyond subtle local shift,no new collapse; temporal changes mostly mild drift/blur,yes,Step10 changes are too small to support a visual win.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_STREET006_00002/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_STREET006_00002/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_STREET006_00002/step10/evidence/raw_output.mp4,-0.05062846212568317,-0.12579685206711133,-0.16947635721895793,-0.0061335101592590036,0.4450433394488167,-0.04202715680003166,1.2222654819488525
R1,LocalDPO-Linear-HardNoise,REAL_ENV103_00001_001_01,REAL_ENV103_00001,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_LOCAL_TRADEOFF_NOT_BETTER,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,no_systematic,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00001_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00001_001_01/step10/evidence/raw_output.mp4,0.5637945563386353,0.6152900719001089,-0.5810475864518772,0.18490740964742258,-0.10891588996438406,-0.035678695887327194,1.5980314413706462
R1,LocalDPO-Linear-HardNoise,REAL_ENV089_00001_001_01,REAL_ENV089_00001,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_LOCAL_TRADEOFF_NOT_BETTER,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,yes,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV089_00001_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV089_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV089_00001_001_01/step10/evidence/raw_output.mp4,0.1926998984161692,0.35847082935532093,-0.13228010866040307,-0.1229483714048385,0.5257155474494475,-0.422095462679863,4.209424654642741
R1,LocalDPO-Linear-HardNoise,REAL_ENV103_00002_001_02,REAL_ENV103_00002,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,yes,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00002_001_02/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00002_001_02/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00002_001_02/step10/evidence/raw_output.mp4,-0.2268825214728416,-0.12418683583658563,-0.9476197483234046,-0.8168310767696987,0.5167629017549409,-0.10570301488041878,2.553285201390584
R1,LocalDPO-Linear-HardNoise,REAL_ENV103_00003_001_01,REAL_ENV103_00003,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,yes,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00003_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00003_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00003_001_01/step10/evidence/raw_output.mp4,-0.12258394269605688,-0.04490348163083979,-0.0395923824142983,-0.2730922417577055,0.39492169548483425,-0.058713629841804504,2.1922257741292315
R1,LocalDPO-Linear-HardNoise,REAL_ENV093_00001_001_01,REAL_ENV093_00001,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,TIE_LOCAL_NUMERIC_GAIN,false,false,none obvious beyond subtle local shift,no new collapse; temporal changes mostly mild drift/blur,no_systematic,"Small local/background cleanup is visible, but the difference is subtle and not enough to count as a clear visual win.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV093_00001_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV093_00001_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV093_00001_001_01/step10/evidence/raw_output.mp4,0.1561362500236001,0.042891155769298805,0.20235753754629826,0.2932110665772285,-0.9393027810489443,-0.5011321902275085,3.9335772196451826
R1,LocalDPO-Linear-HardNoise,REAL_ENV103_00004_001_01,REAL_ENV103_00004,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_LOCAL_TRADEOFF_NOT_BETTER,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,yes,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00004_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00004_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00004_001_01/step10/evidence/raw_output.mp4,0.08052419026611801,0.1790363866294271,-0.3543700181061702,-0.2444404826313722,0.10444685992072689,-0.03613526001572609,2.3282305399576826
R1,LocalDPO-Linear-HardNoise,REAL_ENV095_00002_001_01,REAL_ENV095_00002,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,TIE_LOCAL_NUMERIC_GAIN,false,false,none obvious beyond subtle local shift,no new collapse; temporal changes mostly mild drift/blur,no_systematic,R1 gives mild local numeric movement without a clear strip-level visual improvement; not counted as better.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00002_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00002_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00002_001_01/step10/evidence/raw_output.mp4,0.07251070851076591,0.010355967536403554,0.03622671307069325,0.0926443292791106,0.12882288764505034,-0.2907019257545471,3.3657710552215576
R1,LocalDPO-Linear-HardNoise,REAL_ENV095_00003_001_01,REAL_ENV095_00003,Codex opened full montage plus representative high-diff/ambiguous individual 16-frame temporal strips; all 39 rows reviewed by temporal strip evidence; no positive promotion without mp4 playback.,16-strip frames per row,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,false,true,over-erasure/local blur/boundary softening,no new collapse; temporal changes mostly mild drift/blur,no_systematic,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00003_001_01/step0_vs_step10_strip.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00003_001_01/step0/evidence/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00003_001_01/step10/evidence/raw_output.mp4,-0.06316246338741394,-0.092474764289328,-0.044642933494927206,-0.04210374666189054,0.20320572572595808,-0.2879774272441864,3.6456726392110186
