frame_range,variant,comparison,metric,n,mean_delta,median_delta,min_delta,max_delta,win_rate,bootstrap_ci_low,bootstrap_ci_high,probability_improved,leave_one_out_min,leave_one_out_max
all49,raw,step10-step0,whole_video_psnr,32,-3.7936896761974825,-3.623106552300749,-11.314708757725203,16.262065273358044,0.21875,-5.658716409924528,-1.7111801218963314,0.0004,-4.4406495132799195,-3.5510761574385237
all49,raw,step10-step0,whole_video_ssim,32,-0.11941449364277504,-0.13134458955846479,-0.36045532497204424,0.1775418002259158,0.09375,-0.15222784859317512,-0.08537963986707538,0.0,-0.12899372892886185,-0.1116389829547341
all49,raw,step10-step0,whole_video_lpips,32,0.09885775799119408,0.09645352566766799,-0.012562822132390378,0.1559025648297096,0.03125,0.08578933134695221,0.1113879736149844,0.0,0.09701760293188712,0.10245197025324518
all49,raw,step10-step0,strict_mask_pixel_psnr,32,0.45256911282880585,-0.9362551587768246,-8.128297092482416,19.909615003684554,0.40625,-1.5293003540531294,2.6505390712187853,0.6521,-0.17507752881170202,0.7293712484840068
all49,raw,step10-step0,boundary_pixel_psnr,32,2.8177288301397514,2.7952737467124535,-6.488234931625641,23.91818907395666,0.65625,0.8534599670228215,4.9707205469599645,0.999,2.13706882227469,3.1179212095515383
all49,raw,step10-step0,boundary_psnr,32,-0.24665670766567271,-1.6633788934741967,-8.416131506666392,19.648795416056398,0.375,-2.2483147667331544,1.9715741051959614,0.3951,-0.8884454858502555,0.01687473746338282
all49,raw,step10-step0,boundary_ssim,32,0.04110908142975451,-0.045696754685276786,-0.3160474744761266,0.7192434256617845,0.4375,-0.04083503996144969,0.13080410315005866,0.8309,0.019233780002914837,0.05263026065252488
all49,raw,step10-step0,outside_diff_mean,32,15.925729107947982,12.966814902363991,4.130522620921232,30.69469613445048,0.0,13.564295529289058,18.388492410797248,0.0,15.449310816770483,16.306219639787557
all49,raw,step10-step0,outside_diff_max,32,44.69961734693878,56.44897959183674,-112.48979591836735,95.22448979591837,0.125,28.943271683673473,58.27388392857143,0.0,43.06978275181041,49.77024358130349
all49,raw,step10-step0,ewarp_mask_region,32,-4.154263070674346,1.3372180339956687,-66.29844736380619,9.43381122002999,0.4375,-9.804581133975294,0.3687205808649423,0.9603,-4.592588047793842,-2.149611964444287
all49,raw,step30-step0,whole_video_psnr,32,1.5710954387782614,0.5871004485035485,-6.52165845266925,23.170113212434014,0.5,-0.4439591123341755,3.863973857913667,0.9282,0.8743529299506567,1.8321520159217297
all49,raw,step30-step0,whole_video_ssim,32,0.04962054165022831,0.03276622942573287,-0.09613511637660233,0.28233049431538415,0.625,0.022066585675314065,0.07932845970062961,1.0,0.04211376898361038,0.05432233707044866
all49,raw,step30-step0,whole_video_lpips,32,-0.003564798676442088,-0.0007290367455202659,-0.10600826216443461,0.08215050505740301,0.5,-0.01785896032885589,0.009912867481776926,0.6829,-0.0063298084743080565,-0.00026017082199071697
all49,raw,step30-step0,strict_mask_pixel_psnr,32,4.931478801879093,3.8166113894666456,-6.235814392263244,31.278719023100194,0.6875,2.4146437768966083,7.728401659362252,1.0,4.081567827000993,5.291714066206265
all49,raw,step30-step0,boundary_pixel_psnr,32,7.473229335281855,7.017097185367031,-3.7426634956827023,29.103050769216537,0.90625,5.3632444815834885,9.77251385896582,1.0,6.775493159993639,7.835032329829099
all49,raw,step30-step0,boundary_psnr,32,4.485648442908108,3.282423895107369,-6.129175356013658,30.595902676373104,0.65625,2.034802545196868,7.214364484219661,1.0,3.6433821773124624,4.828062113841069
all49,raw,step30-step0,boundary_ssim,32,0.25860301351602255,0.17001777273900953,-0.1751877154517807,0.8707248972654058,0.875,0.16225859078161434,0.3593611886172862,1.0,0.23885714629830057,0.2725962628375646
all49,raw,step30-step0,outside_diff_mean,32,4.907957072008629,4.930037853669147,0.38609792748276117,11.153396314504194,0.0,3.9256755243720756,5.917598724460267,0.0,4.706491289992643,5.0538234960255926
all49,raw,step30-step0,outside_diff_max,32,-8.965561224489797,-0.7448979591836746,-117.06122448979592,38.551020408163254,0.5,-22.25848214285714,3.19021045918367,0.9177,-10.49835418038183,-5.478604344963792
all49,raw,step30-step0,ewarp_mask_region,32,-9.239170237449912,-3.0439742461301953,-68.5614235939435,0.2809143528187028,0.96875,-14.702956403702228,-4.860356894662222,1.0,-9.546269740361804,-7.32554916143399
all49,raw,step50-step0,whole_video_psnr,32,-0.45086808236680803,-1.501646878012405,-6.083882236874505,11.390394335994792,0.375,-1.9759045472083718,1.1855702297120074,0.2804,-0.8328442894107305,-0.26915794835043066
all49,raw,step50-step0,whole_video_ssim,32,0.02120587698689806,0.011501322660913915,-0.2388344636567169,0.2732261482941065,0.5625,-0.00957235693637122,0.051699116903486504,0.9158,0.013076190815697785,0.029594275072175963
all49,raw,step50-step0,whole_video_lpips,32,-0.00040757923199301067,0.0019581990354523363,-0.1154561774539096,0.05849973522886939,0.4375,-0.012721396594594009,0.011047224918878114,0.5158,-0.002307815182343409,0.0033036658719397833
all49,raw,step50-step0,strict_mask_pixel_psnr,32,5.192647486647521,4.79701210361677,-6.391791545676252,29.140544154234366,0.78125,2.7870863344677543,7.821111956220303,1.0,4.420134690918912,5.566339068335386
all49,raw,step50-step0,boundary_pixel_psnr,32,9.774081276655668,9.736975682351645,-0.2787383123638705,23.783278524293745,0.9375,7.928877049089306,11.682668565282691,1.0,9.32217168802218,10.098365779527265
all49,raw,step50-step0,boundary_psnr,32,4.198696969389615,4.009982218729995,-6.237361591745149,25.28932814920774,0.71875,1.9770761651311257,6.602491864425415,0.9999,3.5183540281051595,4.535344019748801
all49,raw,step50-step0,boundary_ssim,32,0.2414984267590027,0.17222701438219262,-0.12564098917024735,0.867206447584766,0.8125,0.1553853473644078,0.33497481029389276,1.0,0.2213142970549458,0.2533416337244624
all49,raw,step50-step0,outside_diff_mean,32,9.880223741488798,9.170597528924748,4.938292094639369,17.636889944271168,0.0,8.796423766891264,11.029980392381548,0.0,9.630008702689365,10.039640891387164
all49,raw,step50-step0,outside_diff_max,32,-6.598214285714286,5.897959183673478,-130.57142857142858,35.9795918367347,0.34375,-20.31128826530612,5.720216836734692,0.8334,-7.971691902567481,-2.5990783410138243
all49,raw,step50-step0,ewarp_mask_region,32,-9.335024909900014,-3.121510636333369,-68.37382232178395,-0.014861502374212243,1.0,-14.752657337932629,-4.987996903282666,1.0,-9.63567534240085,-7.43054757403279
all49,comp,step10-step0,whole_video_psnr,32,0.4712318634498498,-0.9172850203060054,-7.952083859489218,19.498995477796292,0.40625,-1.459366193040539,2.6126570530752113,0.6625,-0.14256696281939038,0.7429517254801422
all49,comp,step10-step0,whole_video_ssim,32,0.02004227573316203,0.0058189047500984414,-0.09834977262542721,0.2473014945666241,0.5625,-0.0031003430088536255,0.044988554175872844,0.9555,0.012711333190147124,0.02386137406731007
