video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,mode,residual_scale,confidence_exponent,psnr_delta_vs_exp11,ewarp_delta_vs_exp11,lpips_delta_vs_exp11
car-roundabout,real,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,real,0.5,2.0,0.0,0.0,0.0
dance-jump,real,34.437366367432254,0.9820352502449291,26.34003471276341,22.710251183389246,26.723436745722015,0.01116113259922713,4.111703930665617,real,0.5,2.0,0.0005889014577746821,-0.00013507214253394295,6.137803817782977e-07
dog-agility,real,27.036961413971994,0.957453623929781,20.366953431362223,17.3359792473826,26.65546275336021,0.023933116268987458,23.18320018441781,real,0.5,2.0,0.0003473856477533843,-0.00046505390301732064,-5.726896536845799e-06
flamingo,real,33.9649818930584,0.9882894957515292,22.650886631189973,20.114344447998217,23.97380896487905,0.008092804385038713,3.624289205459797,real,0.5,2.0,0.0007514050182351184,-6.983907002444667e-05,-6.688060238957405e-08
blackswan,real,32.895124583152985,0.9673484334342327,24.49097288231165,21.856140602260325,27.19333133038602,0.017292497175124783,4.843435898099257,real,0.5,2.0,8.649143295968997e-05,4.849963537978397e-05,-7.081854467592963e-06
car-roundabout,zero,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,zero,0.5,2.0,0.0,0.0,0.0
dance-jump,zero,34.436368108484295,0.9820310933194302,26.339036453815453,22.70925292444129,26.723214289004403,0.011162510995442668,4.111906017541238,zero,0.5,2.0,-0.00040935749018444767,6.701473308723394e-05,1.9921765973159034e-06
dog-agility,zero,27.03604342792544,0.9574460062062485,20.366035445315674,17.33506126133605,26.65540414375667,0.02394039835780859,23.183946416753788,zero,0.5,2.0,-0.0005706003988024122,0.00028117843296016076,1.5551922842860222e-06
flamingo,zero,33.96505682462679,0.988290346972008,22.65096156275837,20.114419379566616,23.973600277360006,0.008090413291938603,3.624309856525582,zero,0.5,2.0,0.0008263365866270078,-4.918800423947545e-05,-2.4579737024996856e-06
blackswan,zero,32.89469844760089,0.9673479061160354,24.490546746759552,21.855714466708232,27.193305991349693,0.017295342016344268,4.843490360223729,zero,0.5,2.0,-0.0003396441191370059,0.0001029617598522492,-4.237013248108157e-06
car-roundabout,shuffled,33.871801792412334,0.995086547086872,21.530969732078656,19.58184992338764,23.165769654470676,0.005251743093443413,15.081071942720724,shuffled,0.5,2.0,-0.001115493208629914,0.0002071990267094037,-1.5203161941226145e-06
dance-jump,shuffled,34.437297515942014,0.9820343558023232,26.339965861273168,22.710182331898995,26.723769553943853,0.011161396202320853,4.111838243577791,shuffled,0.5,2.0,0.0005200499675339643,-7.592303594705641e-07,8.773834755011756e-07
dog-agility,shuffled,27.036360048240965,0.9574420785801352,20.3663520656312,17.335377881651578,26.656317664905895,0.02393605940354367,23.184122679674108,shuffled,0.5,2.0,-0.00025398008327570665,0.00045744135328007474,-2.7837619806340974e-06
flamingo,shuffled,33.96447343990672,0.9882887146723988,22.65037817803829,20.113835994846536,23.97351935235245,0.0080912194486397,3.624312113970518,shuffled,0.5,2.0,0.00024295186655365342,-4.6930559303159924e-05,-1.651817001402378e-06
blackswan,shuffled,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,shuffled,0.5,2.0,0.0,0.0,0.0
car-roundabout,reversed,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,reversed,0.5,2.0,0.0,0.0,0.0
dance-jump,reversed,34.43703944013435,0.9820339685437801,26.339707785465507,22.709924256091345,26.723286704930654,0.01116184110287577,4.111820740787231,reversed,0.5,2.0,0.00026197415986928263,-1.8262020919479482e-05,1.322284030417023e-06
dog-agility,reversed,27.036585018590614,0.9574476907247319,20.366577035980843,17.33560285200122,26.65655129416,0.023937653245714802,23.183689412215482,reversed,0.5,2.0,-2.900973362685022e-05,2.4173894654921924e-05,-1.1899198095015329e-06
flamingo,reversed,33.964642944002,0.9882886504496854,22.650547682133567,20.114005498941815,23.973429171188872,0.00809115933952853,3.6242883348756507,reversed,0.5,2.0,0.0004124559618361445,-7.07096541705532e-05,-1.7119261125717739e-06
blackswan,reversed,32.89421008151418,0.9673436509221999,24.49005838067284,21.855226100621522,27.1930591191539,0.017302223985704284,4.843421442353208,reversed,0.5,2.0,-0.0008280102058435546,3.404388933070379e-05,2.644956111907959e-06
car-roundabout,disabled,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,disabled,0.5,2.0,0.0,0.0,0.0
dance-jump,disabled,34.43677746597448,0.9820325647871025,26.339445811305634,22.709662281931468,26.724128110059045,0.011160518818845352,4.111839002808151,disabled,0.5,2.0,0.0,0.0,0.0
dog-agility,disabled,27.03661402832424,0.9574493071279648,20.366606045714473,17.33563186173485,26.656202544663557,0.023938843165524304,23.183665238320827,disabled,0.5,2.0,0.0,0.0,0.0
flamingo,disabled,33.964230488040165,0.988288022254174,22.65013522617174,20.113593042979986,23.972636321068222,0.008092871265641103,3.6243590445298213,disabled,0.5,2.0,0.0,0.0,0.0
blackswan,disabled,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,disabled,0.5,2.0,0.0,0.0,0.0
