ema_drift,grad_loser_loss,grad_winner_loss,loss,sample_id,source_state,timestep,utility
1.1920928955078125e-07,-0.5,0.5,-0.5525620579719543,youtubevos_000000_003234408d,S0,50,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.3590070307254791,youtubevos_000000_003234408d,S0,250,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.11324992030858994,youtubevos_000000_003234408d,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.01973777823150158,youtubevos_000000_003234408d,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.11789706349372864,youtubevos_000001_0043f083b5,S0,50,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.07187849283218384,youtubevos_000001_0043f083b5,S0,250,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.021560586988925934,youtubevos_000001_0043f083b5,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.0035321242175996304,youtubevos_000001_0043f083b5,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.30357158184051514,youtubevos_000002_0044fa5fba,S0,50,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.18279288709163666,youtubevos_000002_0044fa5fba,S0,250,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.061640508472919464,youtubevos_000002_0044fa5fba,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.01066833920776844,youtubevos_000002_0044fa5fba,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.08320150524377823,youtubevos_000003_005a527edd,S0,50,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.0439222976565361,youtubevos_000003_005a527edd,S0,250,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.009953886270523071,youtubevos_000003_005a527edd,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.0016543730162084103,youtubevos_000003_005a527edd,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.5454978346824646,youtubevos_000004_0065b171f9,S0,50,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.38311102986335754,youtubevos_000004_0065b171f9,S0,250,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.13248313963413239,youtubevos_000004_0065b171f9,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.023534435778856277,youtubevos_000004_0065b171f9,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.34464043378829956,youtubevos_000005_00917dcfc4,S0,50,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.1828535497188568,youtubevos_000005_00917dcfc4,S0,250,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.06142193824052811,youtubevos_000005_00917dcfc4,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.011060303077101707,youtubevos_000005_00917dcfc4,S0,750,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.48139098286628723,youtubevos_000006_00a23ccf53,S0,50,0.009999999776482582
1.1920928955078125e-07,-0.5,0.5,-0.2704543173313141,youtubevos_000006_00a23ccf53,S0,250,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.0722605511546135,youtubevos_000006_00a23ccf53,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.013029985129833221,youtubevos_000006_00a23ccf53,S0,750,0.009999999776482582
8.940696716308594e-08,-0.5,0.5,-0.09740645438432693,youtubevos_000007_00ad5016a4,S0,50,0.009999999776482582
1.043081283569336e-07,-0.5,0.5,-0.047118179500103,youtubevos_000007_00ad5016a4,S0,250,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.012224415317177773,youtubevos_000007_00ad5016a4,S0,500,0.009999999776482582
1.0058283805847168e-07,-0.5,0.5,-0.0021324956323951483,youtubevos_000007_00ad5016a4,S0,750,0.009999999776482582
