sample_id,classification,selection_decision,area_bucket,motion_bucket,mask_profile,full_psnr,mask_psnr,final_loser_type,win_video_path,final_loser_video_path,mask_path,human_note
vp2_gate64_000_REAL_ENV800_00019_006_05,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,small,low,irregular_freeform,23.58782556214314,13.415510039810362,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_000_REAL_ENV800_00019_006_05/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_000_REAL_ENV800_00019_006_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_000_REAL_ENV800_00019_006_05/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_001_REAL_ENV800_00018_006_04,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,medium,medium,irregular_freeform,26.464832969373447,26.67338225526991,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_001_REAL_ENV800_00018_006_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_001_REAL_ENV800_00018_006_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_001_REAL_ENV800_00018_006_04/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_002_REAL_ENV158_00005_001_04,hard-plausible,ELIGIBLE_AFTER_VISUAL_REVIEW,medium,high,irregular_freeform,15.421734704922324,7.117992908999923,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/materialized_49f/vp2_gate64_002_REAL_ENV158_00005_001_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/comp_frames/vp2_gate64_002_REAL_ENV158_00005_001_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/masks/vp2_gate64_002_REAL_ENV158_00005_001_04/masks,reviewed evidence/crop sheets: localized dark textureless patch over pavement; outside frame stable; hard but finite defect
vp2_gate64_004_REAL_ENV222_00105_004_01,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,small,low,irregular_freeform,21.93618469177448,14.427063977108675,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_004_REAL_ENV222_00105_004_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_004_REAL_ENV222_00105_004_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_004_REAL_ENV222_00105_004_01/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_005_REAL_ENV233_00101_005_05,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,medium,medium,irregular_freeform,25.50925082945511,20.94630989515092,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/materialized_49f/vp2_gate64_005_REAL_ENV233_00101_005_05/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/comp_frames/vp2_gate64_005_REAL_ENV233_00101_005_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/masks/vp2_gate64_005_REAL_ENV233_00101_005_05/masks,"reviewed evidence/crop sheets: translucent seam/ghost over grass and curb, finite localized defect"
vp2_gate64_006_BLENDER_BEACH039_00033,hard-plausible,ELIGIBLE_AFTER_VISUAL_REVIEW,large,high,irregular_freeform,14.032001959764884,7.6712101446201,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_006_BLENDER_BEACH039_00033/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_006_BLENDER_BEACH039_00033,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_006_BLENDER_BEACH039_00033/masks,strong but finite local artifact/residual; keep only with balanced defect sampling
vp2_gate64_008_BLENDER_BEACH012_00001,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,small,low,irregular_freeform,23.16697829278715,15.890036728179753,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_008_BLENDER_BEACH012_00001/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_008_BLENDER_BEACH012_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_008_BLENDER_BEACH012_00001/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_009_REAL_ENV169_00002_005_04,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,medium,medium,irregular_freeform,24.70128661456582,17.585691724401002,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_009_REAL_ENV169_00002_005_04/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_009_REAL_ENV169_00002_005_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_009_REAL_ENV169_00002_005_04/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_010_REAL_ENV166_00009_005_03,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,medium,high,irregular_freeform,20.800094060642394,12.715523203268736,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_010_REAL_ENV166_00009_005_03/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_010_REAL_ENV166_00009_005_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_010_REAL_ENV166_00009_005_03/masks,visible finite local defect without global collapse; candidate pool eligible
vp2_gate64_011_REAL_ENV013_00001_005_01,medium-hard,ELIGIBLE_AFTER_VISUAL_REVIEW,large,medium,irregular_freeform,28.200809143406246,25.854848984398497,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/materialized_49f/vp2_gate64_011_REAL_ENV013_00001_005_01/frames,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_011_REAL_ENV013_00001_005_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/masks/vp2_gate64_011_REAL_ENV013_00001_005_01/masks,visible finite local defect without global collapse; candidate pool eligible
