source_group,bucket,priority,goal,existing_success_rows,existing_failure_rows,existing_samples,auto_counts,visual_counts,initial_new_candidate_budget,max_new_candidate_budget,seed_rule,timestep_noise_rule,status_before_mining
BLENDER_FOREST026,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,2,2,BLENDER_FOREST026_00020,"{""MEDIUM_HARD_REMOVAL"": 2, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 2}","{""MEDIUM_HARD_FAILURE_SIGNAL_VISUALLY_PLAUSIBLE"": 2, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 2}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
BLENDER_GRASS001,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,3,1,BLENDER_GRASS001_00001,"{""MEDIUM_HARD_REMOVAL"": 1, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 3}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 1, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 3}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
BLENDER_MOUNTAIN002,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,3,1,BLENDER_MOUNTAIN002_00001,"{""MEDIUM_HARD_REMOVAL"": 1, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 3}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 1, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 3}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
REAL_ENV059_00001,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,2,2,REAL_ENV059_00001_001_01,"{""MEDIUM_HARD_REMOVAL"": 2, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 2}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 2, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 2}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
REAL_ENV068_00002,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,1,3,REAL_ENV068_00002_001_01,"{""MEDIUM_HARD_REMOVAL"": 3, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 1}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 3, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 1}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
REAL_ENV097_00001,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,2,1,REAL_ENV097_00001_002_02,"{""FOGGING_OVER_ERASURE"": 1, ""MEDIUM_HARD_REMOVAL"": 1, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 2}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 1, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 2}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
REAL_ENV105_00001,C_existing_overlap_strengthen,1,increase clean success/failure density and relabel purity,2,2,REAL_ENV105_00001_001_03,"{""MEDIUM_HARD_REMOVAL"": 2, ""SUCCESSFUL_REMOVAL_CANDIDATE"": 2}","{""AUTO_FAILURE_LABEL_NOISY_BORDERLINE"": 2, ""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 2}",8,16,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
BLENDER_DESERT004,A_success_only_find_failure,2,mine same-source medium-hard failure candidates,4,0,BLENDER_DESERT004_00001,"{""SUCCESSFUL_REMOVAL_CANDIDATE"": 4}","{""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 4}",12,24,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
BLENDER_FOREST009,A_success_only_find_failure,2,mine same-source medium-hard failure candidates,2,0,BLENDER_FOREST009_00013,"{""SUCCESSFUL_REMOVAL_CANDIDATE"": 2, ""TOO_CLOSE"": 2}","{""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 2}",12,24,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
BLENDER_FOREST017,A_success_only_find_failure,2,mine same-source medium-hard failure candidates,4,0,BLENDER_FOREST017_00001,"{""SUCCESSFUL_REMOVAL_CANDIDATE"": 4}","{""SUCCESSFUL_REMOVAL_SIGNAL_VISUALLY_PLAUSIBLE"": 4}",12,24,start at 2026062900 + stable hash(source_group) modulo 100000; enumerate deterministic offsets,official inference seed/noise state only unless official runner exposes additional deterministic schedule state; no training-outcome-dependent sampling,LOCKED_FOR_EXP44_TARGETED_MINING
