bf16_supported,case,cuda,cuda_available,finite,grad_norm,hostname,local_rank,loss,max_memory_allocated,optimizer_step,precision_policy,rank,seed,started_at,status,torch,training_run,world_size,decoded_finite,decoded_shape,dtype,latent_finite,latent_shape,model_dir,sample_id,backward,checkpoint_path,checkpoint_status,ddp,diag_loss,finite_loss,grad_finite,region_weight_max,region_weight_mean,t
True,P0,12.4,True,True,2.831369161605835,instance-afs92r3e,0,2050.82861328125,134218752,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:53:13+0800,PASS,2.5.1+cu124,False,1,,,,,,,,,,,,,,,,,
True,P1,12.4,True,True,,instance-afs92r3e,0,,6564385792,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:53:30+0800,PASS,2.5.1+cu124,False,1,True,"[1, 3, 17, 512, 512]",torch.float32,True,"[1, 16, 5, 64, 64]",/home/nvme01/H20_Video_inpainting_DPO/weights/minimax_remover/current,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,,,,,,,,,,
True,P2,12.4,True,,0.0,instance-afs92r3e,0,0.1915583312511444,7628011008,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:54:06+0800,PASS,2.5.1+cu124,False,1,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,False,,not_requested,False,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P3,12.4,True,,0.0,instance-afs92r3e,0,0.1915583312511444,7628011008,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:55:02+0800,PASS,2.5.1+cu124,False,1,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,False,,not_requested,False,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P4,12.4,True,,2.066658728161611,instance-afs92r3e,0,0.1915583312511444,62842241024,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:55:57+0800,PASS,2.5.1+cu124,False,1,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,True,,not_requested,False,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P5,12.4,True,,2.066658728161611,instance-afs92r3e,0,0.1915583312511444,62842241024,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:56:58+0800,PASS,2.5.1+cu124,False,1,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,True,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/exp46_h20_minimax_pseudosuccess_sft/bf16_preflight_20260630_005259/P5/checkpoint-dry-run,PASS,False,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P6,12.4,True,,2.071865093266925,instance-afs92r3e,0,0.1915583312511444,65102424576,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:58:16+0800,PASS,2.5.1+cu124,False,2,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,True,,not_requested,True,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P6,12.4,True,,2.071865093266925,instance-afs92r3e,1,0.1976272612810135,65102424576,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",1,20260629,2026-06-30T00:58:17+0800,PASS,2.5.1+cu124,False,2,,,torch.bfloat16,,,,pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,True,,not_requested,True,0.1976272612810135,True,True,2.616276502609253,0.3118424117565155,0.41
True,P7,12.4,True,,2.0687390765518066,instance-afs92r3e,0,0.1915583312511444,65102424576,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",0,20260629,2026-06-30T00:59:38+0800,PASS,2.5.1+cu124,False,8,,,torch.bfloat16,,,,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,True,,not_requested,True,0.1915583312511444,True,True,2.658475637435913,0.31149497628211975,0.41
True,P7,12.4,True,,2.0687390765518066,instance-afs92r3e,1,0.1976272612810135,65102424576,False,"{'disable_flash_sdp': True, 'disable_mem_efficient_sdp': True, 'disable_xformers': True, 'enable_math_sdp': True, 'grad_norm_dtype': 'fp32', 'loss_dtype': 'fp32', 'name': 'bf16_safe', 'reduction_dtype': 'fp32', 'silent_fallback_allowed': False, 'timestep_max': 0.95, 'timestep_min': 0.05, 'transformer_dtype': 'bf16', 'use_grad_scaler': False, 'vae_dtype': 'fp32'}",1,20260629,2026-06-30T00:59:40+0800,PASS,2.5.1+cu124,False,8,,,torch.bfloat16,,,,pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,True,,not_requested,True,0.1976272612810135,True,True,2.616276502609253,0.3118424117565155,0.41
