trial_id,family,radius_mode,radius_value,adaptive_k,boundary_contribution,aggregation,seed,train_steps,psnr,ssim,lpips,vfid_or_fvd,tc,ewarp,mask_psnr,boundary_psnr,delta_vs_sft,delta_vs_exp11_s1,delta_vs_exp11_s2,loser_degrade_ratio,max_grad_norm,target_reached,status,checkpoint_path
F18,second_fixed_roots,,,,,,,,29.358250933090893,0.9687231797377511,0.018458197725825205,0.2305875898404084,0.9759058136007059,11.958543041818421,17.052939640578465,22.943761881083528,0.18491493309089435,0.024709933090893088,0.0028789330908942645,,,False,,
F02,second_fixed_roots,fixed_image_px,12.0,0.0,2.0,legacy_global_weighted_mean,20260619,,29.356832844724483,0.9688941632894954,0.017972663859230426,0.22766929624474042,0.9761493309684423,12.014072676285412,17.051521552212055,22.917449088647377,0.18349684472448402,0.023291844724482758,0.001460844724483934,1.0,10.488128885911214,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F02_49618e0880c07715/last_weights
F17,second_fixed_roots,,,,,,,,29.35406952435012,0.9687714486668775,0.018374438524309276,0.22957519607725363,0.9759854224065077,11.978039477625039,17.048758231837688,22.89784354676839,0.1807335243501207,0.020528524350119426,-0.0013024756498793977,,,False,,
F01,second_fixed_roots,fixed_image_px,12.0,0.0,1.5,legacy_global_weighted_mean,20260619,,29.35228557806697,0.9688799870783602,0.01792757182920468,0.2269682175292167,0.9761271055625832,12.019572109317739,17.04697428555454,22.910651729690112,0.17894957806696965,0.018744578066968387,-0.0030864219330304365,1.0,11.164575060577816,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F01_e01f93aa6fd1d630/last_weights
F15,second_fixed_roots,,,,,,,,29.351988439972242,0.9688020642621411,0.018206314853766038,0.22849830115398984,0.9761346685497658,11.99327826401239,17.046677147459814,22.902962282141186,0.17865243997224312,0.018447439972241853,-0.003383560027756971,,,False,,
F08,second_fixed_roots,,,,,,,,29.35178692443649,0.9688347512089348,0.018061846976706875,0.2279377860710614,0.9761627060563669,12.0055228140779,17.046475631924057,22.911348261507616,0.1784509244364898,0.018245924436488536,-0.003585075563510287,,,False,,
F16,second_fixed_roots,,,,,,,,29.351476560105176,0.9687935523629242,0.01823403256579089,0.22860853445659624,0.9760905282328958,11.991671809561883,17.046165267592748,22.900416527770776,0.17814056010517731,0.01793556010517605,-0.003895439894822772,,,False,,
F12,second_fixed_roots,,,,,,,,29.348163769985135,0.9688141401340765,0.018076215872497414,0.22779065554626365,0.9761174287161102,12.005444907829414,17.042852477472703,22.903992939945972,0.17482776998513572,0.014622769985134454,-0.00720823001486437,,,False,,
F11,second_fixed_roots,,,,,,,,29.347309186442736,0.9688077714222711,0.018066760398141923,0.22762725128332129,0.9761004896591539,12.006892779462088,17.04199789393031,22.903439076687427,0.17397318644273696,0.013768186442735697,-0.008062813557263127,,,False,,
F14,second_fixed_roots,,,,,,,,29.346736022955312,0.9687761701909112,0.01816675890161908,0.2284043065077901,0.9760006677521311,11.99651135108149,17.041424730442884,22.898583022064955,0.1734000229553132,0.013195022955311941,-0.008635977044686882,,,False,,
F13,second_fixed_roots,,,,,,,,29.346528223169372,0.9687803282865898,0.018144283910563292,0.22848416919290537,0.9759907584799372,11.998328104512083,17.041216930656944,22.900540980153398,0.173192223169373,0.012987223169371731,-0.008843776830627093,,,False,,
F09,second_fixed_roots,,,,,,,,29.34233374783954,0.9687905419156989,0.018013712423756566,0.22760594288421254,0.9761471753211125,12.01311181340197,17.03702245532711,22.897969807279928,0.16899774783954058,0.008792747839539317,-0.013038252160459507,,,False,,
F07,second_fixed_roots,,,,,,,,29.341753896293113,0.9687623132096022,0.018062867827514612,0.22827752789145972,0.9760698248510776,12.004583488503513,17.03644260378068,22.902082994969195,0.1684178962931142,0.008212896293112948,-0.013618103706885876,,,False,,
F04,second_fixed_roots,,,,,,,,29.340767474046537,0.9687860819242803,0.01795201031078856,0.22720018538926823,0.9761702829728955,12.01733929693823,17.03545618153411,22.900142689984968,0.1674314740465377,0.007226474046536424,-0.0146045259534624,,,False,,
F10,second_fixed_roots,,,,,,,,29.340101663273522,0.9687183715918694,0.018149861485047342,0.22881143285341032,0.9760953132872996,11.990853866455321,17.034790370761094,22.90314173591435,0.16676566327352305,0.006560663273521783,-0.01527033672647704,,,False,,
F06,second_fixed_roots,,,,,,,,29.338728971488816,0.9687607229857766,0.018000676551916207,0.22768296278484623,0.976128818548244,12.012933315576369,17.033417678976388,22.897044807520484,0.16539297148881715,0.00518797148881589,-0.016643028511182933,,,False,,
F05,second_fixed_roots,,,,,,,,29.338527760373854,0.9687750481409161,0.01795729140394542,0.2273567846410658,0.9761348504411137,12.017715940008044,17.03321646786143,22.895326462478444,0.16519176037385463,0.004986760373853372,-0.016844239626145452,,,False,,
F03,second_fixed_roots,fixed_image_px,14.0,0.0,1.5,legacy_global_weighted_mean,20260619,,29.338366617692145,0.9687423017105352,0.01800342980156226,0.2280376299569844,0.9761387940658175,12.006760950617203,17.03305532517972,22.899961251949147,0.1650306176921461,0.004825617692144846,-0.017005382307853978,1.0,11.052141985946916,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F03_bda53f780b22f565/last_weights
