model,sample_id,review_sheet,review_method,classification_auto,classification_final,reason
propainter,BLENDER_FOREST021_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST021_00002_review.jpg,codex_open_review_sheet_required,MEDIUM_HARD_ELIGIBLE,PENDING_CODEX_VISUAL_REVIEW,bounded local defect
diffueraser,BLENDER_FOREST021_00002,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST021_00002_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST022_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST022_00001_review.jpg,codex_open_review_sheet_required,HARD_BUT_PLAUSIBLE,PENDING_CODEX_VISUAL_REVIEW,strong local defect with preserved outside
diffueraser,BLENDER_FOREST022_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST022_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST023_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST023_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,temporal instability
diffueraser,BLENDER_FOREST023_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST023_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST024_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST024_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,BLENDER_FOREST024_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST024_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST025_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST025_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,BLENDER_FOREST025_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST025_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST028_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST028_00001_review.jpg,codex_open_review_sheet_required,MEDIUM_HARD_ELIGIBLE,PENDING_CODEX_VISUAL_REVIEW,bounded local defect
diffueraser,BLENDER_FOREST028_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST028_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST030_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST030_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,BLENDER_FOREST030_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST030_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,BLENDER_FOREST034_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST034_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,BLENDER_FOREST034_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST034_00001_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV046_00006_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV046_00006_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV046_00006_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV046_00006_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
