track,asset,path,exists,realpath,owner,group,mode,hj_read,hj_execute,hj_write,required_for,blocker,suggested_fix
"exp25","diffueraser_converted_weights","/mnt/workspace/hj/nas_hj/weights/diffuEraser/converted_weights_step48000","yes","/mnt/nas/hj/weights/diffuEraser/converted_weights_step48000","ubuntu","root","drwxr-x---","1","1","1","read","yes","grant_hj_read_rX_on_asset"
"exp25","diffueraser_brushnet_config","/mnt/workspace/hj/nas_hj/weights/diffuEraser/converted_weights_step48000/brushnet/config.json","no","","","","","1","1","1","read","yes","path_missing_or_mount_changed"
"exp25","diffueraser_unet_main_config","/mnt/workspace/hj/nas_hj/weights/diffuEraser/converted_weights_step48000/unet_main/config.json","no","","","","","1","1","1","read","yes","path_missing_or_mount_changed"
"exp25","diffueraser_weights_root","/mnt/workspace/hj/nas_hj/weights/diffuEraser","yes","/mnt/nas/hj/weights/diffuEraser","ubuntu","root","drwxr-xr-x","0","0","1","read","no",""
"exp25","exp25_log_output","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data","hj","hj","drwxr-xr-x","0","0","0","rwx","no",""
"exp25","exp25_experiment_output","/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp25_vor_or_preference_data","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp25_vor_or_preference_data","root","root","drwxr-xr-x","0","0","1","rwx","yes","grant_hj_rwx_on_exp_output_dir"
"exp25","exp25_root_cause_manifest","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data/root_cause_matrix_20260625/root_cause_sample12_manifest.jsonl","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data/root_cause_matrix_20260625/root_cause_sample12_manifest.jsonl","hj","hj","-rw-r--r--","0","NA","0","read","no",""
"exp25","exp25_gate32_nas_copy","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data/gate32_dense_review_20260625","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp25_vor_or_preference_data/gate32_dense_review_20260625","hj","hj","drwxr-xr-x","0","0","0","read","no",""
"exp26","exp26_gate64_home","/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155","yes","/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155","hj","hj","drwxr-xr-x","0","0","0","read","no",""
"exp26","exp26_gate64_nas_copy","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155","hj","hj","drwxr-xr-x","0","0","0","read","no",""
"exp26","exp26_log_output","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2","hj","hj","drwxr-xr-x","0","0","0","rwx","no",""
"exp26","exp26_experiment_output","/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp26_videopainter_dpo_v2","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp26_videopainter_dpo_v2","root","root","drwxr-xr-x","0","0","1","rwx","yes","grant_hj_rwx_on_exp_output_dir"
"exp26","videopainter_worktree","/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO_exp26_videopainter","yes","/mnt/nas/hj/H20_Video_inpainting_DPO_exp26_videopainter","root","root","drwxr-xr-x","0","0","1","read","no",""
"exp27","exp27_log_output","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp27_paper_grounded_preference_study","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp27_paper_grounded_preference_study","hj","hj","drwxr-xr-x","0","0","0","rwx","no",""
"exp27","exp27_experiment_output","/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp27_paper_grounded_preference_study","no","","","","","1","1","1","rwx","yes","path_missing_or_mount_changed"
"exp27","localdpo_cache_home","/home/hj/video_dpo_paper_code_cache","no","","","","","1","1","1","read","yes","path_missing_or_mount_changed"
"exp27","localdpo_cache_nas","/mnt/nas/hj/video_dpo_paper_code_cache","yes","/mnt/nas/hj/video_dpo_paper_code_cache","root","root","drwxr-xr-x","0","0","1","read","no",""
"common","base_logs","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch","hj","hj","drwxr-xr-x","0","0","0","rwx","no",""
"common","runtime","/mnt/nas/hj/H20_Video_inpainting_DPO/runtime","yes","/mnt/nas/hj/H20_Video_inpainting_DPO/runtime","hj","hj","drwxr-xr-x","0","0","0","rwx","no",""
