step,sample_id,status,frame_count,raw_whole_eq_winner_mean,raw_mask_eq_winner_mean,raw_outside_eq_winner_mean,comp_mask_eq_winner_mean,raw_mask_mae_to_winner,raw_outside_mae_to_winner,frame0_raw_eq_winner,frames1_48_raw_eq_winner_mean,expected_comp_outside_winner_copy,non_expected_gt_leakage_flag
step0,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,OK,49,0.0003969434996220711,0.00039226382670618935,0.0003956813739532379,0.0028472883786193567,37.734647830327354,5.730357637210768,0.0007002314814814815,0.00039062499999999997,True,False
step0,vp2_vor_bg_49f_BLENDER_FOREST015_00002,OK,49,0.0042348710317460314,1.1814719787564254e-06,0.005090555010861821,0.0008039969435274531,110.38048950831096,5.508919219581449,0.00494212962962963,0.004220136477623457,True,False
step0,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,OK,49,0.0005216600529100528,1.307806871061967e-06,0.0006747562513576698,0.001365946515099345,116.23059686024983,6.023548894998979,0.001495949074074074,0.0005013623649691357,True,False
step0,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,OK,49,0.0038335577286470147,8.097360885646409e-05,0.0045578355417415315,0.0020522004588733023,32.84054505825043,4.872126754449338,0.006391782407407408,0.00378026138117284,True,False
step0,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,OK,49,0.0008529974489795919,0.000937815219565093,0.0008075366474556987,0.002589541467912221,22.30076030890147,5.913862598185637,0.0019386574074074074,0.0008303795331790123,True,False
step0,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,OK,49,0.0007002905328798186,7.077710731439629e-05,0.0007671906011009316,0.0006626522017894433,32.26066239674886,8.74131286387541,0.0008940972222222222,0.0006962528935185187,True,False
step0,vp2_vor_bg_49f_BLENDER_RIVER016_00009,OK,49,0.0006382275132275132,0.00047253113439758485,0.0006788819920718011,0.0011817746347056208,20.53963601589203,5.551974364689419,0.0016753472222222222,0.0006166208526234568,True,False
step0,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,OK,49,0.00047967450869236593,0.00048393302201147465,0.00047803449997027185,0.0013867497741503773,12.545440753300985,7.565787325100023,0.0005902777777777778,0.0004773702739197531,True,False
step0,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,OK,49,0.000715702947845805,0.00010988176504060404,0.0008850989775644384,0.0015103566947031015,24.62465484937032,6.919468529370366,0.0017158564814814814,0.0006948664158950617,True,False
step0,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,OK,49,0.0008795115268329554,0.0004221842904038122,0.0009729411052325919,0.0010019515685953135,14.595351298650106,10.209425789969307,0.0009143518518518518,0.000878785686728395,True,False
