split,row,sample_id,key,path,decode_ok,shape,dtype,min,max,error
exp40_train_h20,1,BLENDER_BEACH030_00003,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_BEACH030_00003.mp4,1,1080x1920x3,uint8,0,244,
exp40_train_h20,1,BLENDER_BEACH030_00003,winner_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEACH030_00003.mp4,1,1080x1920x3,uint8,13,244,
exp40_train_h20,1,BLENDER_BEACH030_00003,mask_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/BLENDER_BEACH030_00003.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,1,BLENDER_BEACH030_00003,raw_output_mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/train/BLENDER_BEACH030_00003/C1_mild_object_texture/evidence/raw_output.mp4,1,512x512x3,uint8,11,245,
exp40_train_h20,2,BLENDER_BEACH036_00001,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_BEACH036_00001.mp4,1,1080x1920x3,uint8,0,198,
exp40_train_h20,2,BLENDER_BEACH036_00001,winner_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEACH036_00001.mp4,1,1080x1920x3,uint8,0,201,
exp40_train_h20,2,BLENDER_BEACH036_00001,mask_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/BLENDER_BEACH036_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,2,BLENDER_BEACH036_00001,raw_output_mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/train/BLENDER_BEACH036_00001/C2_medium_object_texture/evidence/raw_output.mp4,1,512x512x3,uint8,0,196,
exp40_train_h20,3,BLENDER_BEDROOM009_00083,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_BEDROOM009_00083.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,3,BLENDER_BEDROOM009_00083,winner_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_BEDROOM009_00083.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,3,BLENDER_BEDROOM009_00083,mask_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/BLENDER_BEDROOM009_00083.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,3,BLENDER_BEDROOM009_00083,raw_output_mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/train/BLENDER_BEDROOM009_00083/C1_mild_object_texture/evidence/raw_output.mp4,1,512x512x3,uint8,0,255,
exp40_train_h20,4,BLENDER_CARTOON002_00001,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_CARTOON002_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,4,BLENDER_CARTOON002_00001,winner_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_CARTOON002_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,4,BLENDER_CARTOON002_00001,mask_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/BLENDER_CARTOON002_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,4,BLENDER_CARTOON002_00001,raw_output_mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/train/BLENDER_CARTOON002_00001/C3_boundary_seam_mild/evidence/raw_output.mp4,1,512x512x3,uint8,0,255,
exp40_train_h20,5,BLENDER_DESERT004_00001,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_DESERT004_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,5,BLENDER_DESERT004_00001,winner_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/BG/BLENDER_DESERT004_00001.mp4,1,1080x1920x3,uint8,0,235,
exp40_train_h20,5,BLENDER_DESERT004_00001,mask_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train-MASK/MASK/BLENDER_DESERT004_00001.mp4,1,1080x1920x3,uint8,0,255,
exp40_train_h20,5,BLENDER_DESERT004_00001,raw_output_mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp40_minimax_psnr_safe_rescue/localdpo_v3_refs_exact_v3_20260629_042425/outputs/localdpo_v3/outputs/train/BLENDER_DESERT004_00001/C1_mild_object_texture/evidence/raw_output.mp4,1,512x512x3,uint8,0,230,
exp40_train_h20,6,BLENDER_DESERT005_00006,condition_mp4_direct,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/effecterase_vor/extracted/vor_train_audit64_exact_20260623/VOR-Train/VOR-Train/FG_BG/BLENDER_DESERT005_00006.mp4,1,1080x1920x3,uint8,0,255,
