cell,checkpoint,effective_loser_gap,finite,forward_status,loser_gap,loser_policy_loss,loser_reference_loss,loss,max_param_delta_norm,peak_vram_reserved_gib,prediction_type,preference_margin,same_noise,same_timestep,sample_id,split,winner_gap,winner_policy_loss,winner_reference_loss
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.10046549886465073,0.10046549886465073,0.6961632370948792,0.0049606510438025,20.099609375,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07670385390520096,0.07670385390520096
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.11214004456996918,0.11214004456996918,0.6955512762069702,0.0049606510438025,20.099609375,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07776900380849838,0.07776900380849838
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.09782304614782333,0.09782304614782333,0.7001287937164307,0.0049606510438025,20.099609375,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.16660785675048828,0.16660785675048828
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.11033877730369568,0.11033877730369568,0.6977739334106445,0.0049606510438025,20.099609375,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.1057199165225029,0.1057199165225029
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,-0.00012392550706863403,True,FORWARD_MIXED,-0.00012392550706863403,0.08594665676355362,0.08582273125648499,0.6942867040634155,0.0049606510438025,20.099609375,v_prediction,0.00018949434161186218,True,True,BLENDER_CON001_00742,heldout4,6.556883454322815e-05,0.03752334043383598,0.03758890926837921
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,-7.014721632003784e-05,True,FORWARD_MIXED,-7.014721632003784e-05,0.10515718907117844,0.1050870418548584,0.6947973966598511,0.0049606510438025,20.099609375,v_prediction,0.00015728548169136047,True,True,BLENDER_CON001_00744,heldout4,8.713826537132263e-05,0.05956602841615677,0.05965316668152809
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,1.8030405044555664e-06,True,FORWARD_MIXED,1.8030405044555664e-06,0.09094636142253876,0.09094816446304321,0.6959519982337952,0.0049606510438025,20.099609375,v_prediction,-2.566725015640259e-06,True,True,REAL_ENV102_00001_002_02,heldout4,-7.636845111846924e-07,0.05337357148528099,0.053372807800769806
R3_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R3_Q2_T500_S0/checkpoints/R3_Q2_T500_S0_adapter_step1.pt,-4.248321056365967e-05,True,FORWARD_MIXED,-4.248321056365967e-05,0.08695647865533829,0.08691399544477463,0.694791316986084,0.0049606510438025,20.099609375,v_prediction,6.961077451705933e-05,True,True,REAL_ENV200_00001_006_02,heldout4,2.7127563953399658e-05,0.05503761023283005,0.05506473779678345
R4_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R4_Q2_T500_S0/checkpoints/R4_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.10046549886465073,0.10046549886465073,0.0012064232723787427,0.005077866371721029,20.099609375,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07670385390520096,0.07670385390520096
R4_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R4_Q2_T500_S0/checkpoints/R4_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.11214004456996918,0.11214004456996918,0.0009616400930099189,0.005077866371721029,20.099609375,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07776900380849838,0.07776900380849838
R4_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R4_Q2_T500_S0/checkpoints/R4_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.09782304614782333,0.09782304614782333,0.0027926424518227577,0.005077866371721029,20.099609375,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.16660785675048828,0.16660785675048828
R4_Q2_T500_S0,/mnt/nas/hj/H20_Video_inpainting_DPO/runtime/exp54_void_sdpo_linear_pai/outputs/wave1_forward/R4_Q2_T500_S0/checkpoints/R4_Q2_T500_S0_adapter_step1.pt,0.0,,FORWARD_MIXED,0.0,0.11033877730369568,0.11033877730369568,0.001850695232860744,0.005077866371721029,20.099609375,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.1057199165225029,0.1057199165225029
