recipe,step,sample_id,t,winner_policy_loss,loser_policy_loss,winner_reference_loss,loser_reference_loss,win_gap,lose_gap,preference_margin,linear_utility,loss,grad_norm,grad_max_abs,grad_tensors,finite
frozen,1,BLENDER_MOUNTAIN014_00001,0.24,0.9630364775657654,0.9702371954917908,0.9630364775657654,0.9702371954917908,0.0,0.0,0.0,0.5,0.6931471824645996,1.0291674751425297,0.02734375,461,True
frozen,2,BLENDER_FOREST049_00001,0.29000000000000004,0.01612350158393383,0.008337042294442654,0.016127552837133408,0.008348160423338413,4.0512531995773315e-06,1.1118128895759583e-05,-7.066875696182251e-06,0.4999985992908478,0.693149983882904,0.08083233757096323,0.009765625,461,True
frozen,3,BLENDER_OFFICE002_00001,0.34,0.11058644205331802,0.03705735132098198,0.11050073057413101,0.037118759006261826,-8.571147918701172e-05,6.140768527984619e-05,-0.0001471191644668579,0.49997058510780334,0.6932060122489929,0.5677214633634494,0.062255859375,461,True
frozen,4,BLENDER_RIVER005_00001,0.39,0.1478928178548813,0.15010681748390198,0.1480993926525116,0.1503140777349472,0.00020657479763031006,0.00020726025104522705,-6.854534149169922e-07,0.49999985098838806,0.6931474804878235,0.07911295114890864,0.0016478054458275437,461,True
frozen,5,BLENDER_GRASS001_00001,0.44,0.01836492493748665,0.004132067784667015,0.018384141847491264,0.00414337357506156,1.9216910004615784e-05,1.1305790394544601e-05,7.911119610071182e-06,0.5000016093254089,0.6931439638137817,0.07713650373229182,0.01043701171875,461,True
frozen,6,BLENDER_RIVER002_00001,0.49000000000000005,0.060097407549619675,0.03405798226594925,0.06011933833360672,0.034110672771930695,2.1930783987045288e-05,5.269050598144531e-05,-3.0759721994400024e-05,0.49999386072158813,0.6931594610214233,0.5074321128734903,0.039306640625,461,True
frozen,7,BLENDER_MOUNTAIN008_00001,0.54,0.08701132982969284,0.08818259090185165,0.08715850859880447,0.08830449730157852,0.0001471787691116333,0.00012190639972686768,2.5272369384765625e-05,0.5000050663948059,0.6931370496749878,0.043236536386720995,0.002685546875,461,True
frozen,8,BLENDER_MOUNTAIN001_00001,0.5900000000000001,0.01347364205867052,0.003632347332313657,0.013498795218765736,0.0036506105680018663,2.5153160095214844e-05,1.8263235688209534e-05,6.88992440700531e-06,0.5000013709068298,0.6931444406509399,0.05657579796213575,0.00689697265625,461,True
frozen,9,BLENDER_RIVER004_00001,0.64,0.06618054211139679,0.018402252346277237,0.06622298806905746,0.018401790410280228,4.244595766067505e-05,-4.6193599700927734e-07,4.2907893657684326e-05,0.5000085830688477,0.6931300163269043,0.43501233870198075,0.033203125,461,True
frozen,10,BLENDER_MOUNTAIN011_00001,0.69,0.01743772067129612,0.02198517881333828,0.017421722412109375,0.021952012553811073,-1.599825918674469e-05,-3.316625952720642e-05,1.716800034046173e-05,0.500003457069397,0.6931402683258057,0.10979921888035803,0.003570556640625,461,True
ema,1,BLENDER_MOUNTAIN014_00001,0.24,0.9630364775657654,0.9702371954917908,0.9630364775657654,0.9702371954917908,0.0,0.0,0.0,0.5,0.6931471824645996,1.0291811038318481,0.02734375,461,True
ema,2,BLENDER_FOREST049_00001,0.29000000000000004,0.016118057072162628,0.008336077444255352,0.016126452013850212,0.008347953669726849,8.394941687583923e-06,1.1876225471496582e-05,-3.4812837839126587e-06,0.4999993145465851,0.6931485533714294,0.08029990707853843,0.0096435546875,461,True
ema,3,BLENDER_OFFICE002_00001,0.34,0.11057018488645554,0.037102337926626205,0.11054515838623047,0.03711302950978279,-2.502650022506714e-05,1.0691583156585693e-05,-3.571808338165283e-05,0.49999284744262695,0.6931614875793457,0.5683347214672994,0.06201171875,461,True
ema,4,BLENDER_RIVER005_00001,0.39,0.14787063002586365,0.1500561237335205,0.14812521636486053,0.15029413998126984,0.0002545863389968872,0.0002380162477493286,1.6570091247558594e-05,0.5000033378601074,0.6931405067443848,0.10269062417100024,0.004058837890625,461,True
ema,5,BLENDER_GRASS001_00001,0.44,0.01837470382452011,0.004140736069530249,0.018385041505098343,0.004144612699747086,1.0337680578231812e-05,3.876630216836929e-06,6.461050361394882e-06,0.5000013113021851,0.6931445598602295,0.07679532509695296,0.0103759765625,461,True
ema,6,BLENDER_RIVER002_00001,0.49000000000000005,0.06007491424679756,0.03403640165925026,0.06012203171849251,0.03409750759601593,4.711747169494629e-05,6.110593676567078e-05,-1.3988465070724487e-05,0.49999719858169556,0.6931527853012085,0.5068104020950209,0.0390625,461,True
ema,7,BLENDER_MOUNTAIN008_00001,0.54,0.0870036780834198,0.08819540590047836,0.08712965995073318,0.08831353485584259,0.000125981867313385,0.0001181289553642273,7.852911949157715e-06,0.5000015497207642,0.6931440830230713,0.047594996314644776,0.002685546875,461,True
ema,8,BLENDER_MOUNTAIN001_00001,0.5900000000000001,0.013467817567288876,0.0036293044686317444,0.013505480252206326,0.0036505504976958036,3.766268491744995e-05,2.1246029064059258e-05,1.6416655853390694e-05,0.5000032782554626,0.6931406259536743,0.05636129327623416,0.006805419921875,461,True
ema,9,BLENDER_RIVER004_00001,0.64,0.06620863825082779,0.01839304529130459,0.06623642146587372,0.01839541830122471,2.7783215045928955e-05,2.3730099201202393e-06,2.5410205125808716e-05,0.5000050663948059,0.6931370496749878,0.43528874989176725,0.033203125,461,True
ema,10,BLENDER_MOUNTAIN011_00001,0.69,0.017436513677239418,0.021945839747786522,0.017429107800126076,0.021940335631370544,-7.405877113342285e-06,-5.504116415977478e-06,-1.9017606973648071e-06,0.49999961256980896,0.6931479573249817,0.11007622867676964,0.003570556640625,461,True
