package,official_required,old_partial_env_version,official_repair_env_version,old_matches_official,official_env_matches_official
torch,2.7.1,2.6.0+cu126,missing,False,False
torchvision,0.22.1,0.21.0+cu126,missing,False,False
torchdiffeq,0.2.5,0.2.5,missing,True,False
torchsde,0.2.6,0.2.6,missing,True,False
diffusers,0.33.1,0.37.1,missing,False,False
accelerate,1.12.0,1.13.0,missing,False,False
transformers,4.57.1,5.5.4,missing,False,False
safetensors,0.6.2,0.7.0,missing,False,False
peft,0.17.1,0.19.1,missing,False,False
deepspeed,0.17.6,0.18.9,missing,False,False
came-pytorch,0.1.3,0.1.3,missing,True,False
tensorboard,2.20.0,2.20.0,missing,True,False
opencv-python,4.10.0.84,missing,missing,False,False
scikit-image,0.25.2,0.25.2,missing,True,False
imageio,2.37.0,2.37.3,missing,False,False
imageio-ffmpeg,0.6.0,0.6.0,missing,True,False
mediapy,1.2.4,1.2.4,missing,True,False
decord,0.6.0,0.6.0,missing,True,False
kornia,0.8.1,0.8.2,missing,False,False
albumentations,2.0.8,2.0.8,missing,True,False
timm,1.0.19,1.0.27,missing,False,False
tomesd,0.1.3,0.1.3,missing,True,False
Pillow,11.3.0,11.3.0,missing,True,False
numpy,1.26.4,2.1.2,missing,False,False
scipy,1.14.0,1.15.3,missing,False,False
scikit-learn,1.7.2,1.7.2,missing,True,False
datasets,4.0.0,4.0.0,missing,True,False
einops,0.8.0,0.8.2,missing,False,False
omegaconf,2.3.0,2.3.0,missing,True,False
ml_collections,1.1.0,1.1.0,missing,True,False
absl-py,2.3.1,2.4.0,missing,False,False
loguru,0.7.3,0.7.3,missing,True,False
tqdm,4.67.1,4.67.3,missing,False,False
matplotlib,3.10.6,3.10.9,missing,False,False
sentencepiece,0.2.1,0.2.1,missing,True,False
ftfy,6.1.1,6.3.1,missing,False,False
beautifulsoup4,4.13.5,4.13.5,missing,True,False
func-timeout,4.3.5,missing,missing,False,False
requests,2.32.5,2.32.5,missing,True,False
packaging,25.0,26.0,26.2,False,False
fonttools,not_pinned,4.63.0,missing,n/a,n/a
