baseline,open_source,training_code,train_on_youtubevos,eval_on_davis,diffusion_based,can_load_frozen_reference,can_define_mw_ml_mref,diff_dpo_fit,output_level_preference_fit,official_weights,estimated_cost,category,notes,source
ProPainter,yes,yes,yes,yes,no,not_as_noise_ref,yes_output_mse_only,no,yes,yes,medium,B_output_level_preference_adapter,"Official repo has train.py and YouTube-VOS/DAVIS dataset instructions, but model is propagation/transformer rather than diffusion noise prediction; do not call it Diff-DPO without rewriting objective.","https://github.com/sczhou/ProPainter"
E2FGVI,yes,yes,yes,yes,no,not_as_noise_ref,yes_output_mse_only,no,yes,yes,medium,B_output_level_preference_adapter,"Official repo has train.py/configs; non-diffusion flow-guided model, so DPO can only be output-level preference/fine-tune style.","https://github.com/MCG-NKU/E2FGVI"
STTN,yes,yes,yes,yes,no,not_as_noise_ref,yes_output_mse_only,no,yes,yes,medium,B_output_level_preference_adapter,"Official repo has train.py and YouTube-VOS config; transformer inpainting model, not diffusion noise-prediction.","https://github.com/researchmm/STTN"
FloED,yes,no_or_training_free,unclear,yes,yes,no,unclear,no,no,yes,low,C_frozen_baseline,"Repo/project describes training-free optical-flow-guided diffusion inference; use as frozen baseline unless training code is later found.","https://github.com/NevSNev/FloED-main"
FFF-VDI,yes,yes,yes,yes,yes,likely,yes,yes,maybe,not_release_package,high,A_direct_diffusion_adapter_candidate,"Repo has train.py, dataset.py, config.yaml and says train on YouTube-VOS with accelerate; strongest direct diffusion adapter candidate, but training recommends 8x80GB.","https://github.com/Hydragon516/FFF-VDI"
CoCoCo,yes,inference_only_training_under_preparation,unclear,yes,yes,no,unclear,no,no,yes,low,C_frozen_baseline,"Repo labels itself inference code/training-free personalized path and TODO says training code under preparation; not an adapter candidate now.","https://github.com/zibojia/COCOCO"
VideoPainter,yes,yes,yes,yes,yes,likely,yes,yes,maybe,yes,very_high,A_direct_diffusion_adapter_candidate,"Repo now exposes training script for CogVideoX inpainting; viable but expensive and should be gated separately before any run.","https://github.com/TencentARC/VideoPainter"
VACE,yes,inference_only,unclear,yes,yes,no,unclear,no,no,yes,high,C_frozen_baseline,"Repo release note says code of model inference/preprocessing/gradio; no training entry found in README, so use frozen baseline only for now.","https://github.com/ali-vilab/VACE"
MiniMax-Remover,yes,no_training_entry_found,unclear,yes,yes,no,unclear,no,no,yes,low,C_frozen_baseline,"Paper/repo describes a two-stage remover, but current repo search did not expose train command; user explicitly said not to treat MiniMax as trainable.","https://github.com/zibojia/MiniMax-Remover"
RT-Remover,no_public_training_found,no,unclear,unclear,likely,unknown,unknown,no,no,unknown,unknown,D_related_work_only,"Found paper/OpenReview entry but no reliable public training repo; related work only until code is available.","https://openreview.net/forum?id=S5NND3vmrm"
LGVI,yes,inference_only_repo,custom_rovi,custom_rovi,yes,no,unclear,no,maybe,yes,high,C_frozen_baseline,"Repo provides datasets/checkpoints/inference scripts; no train.py in repo listing. Also task is language-driven VI, not our binary-mask BR protocol.","https://github.com/jianzongwu/Language-Driven-Video-Inpainting"
VideoComp,unclear,no_inpainting_training_repo,no,no,no,unknown,unknown,no,no,unknown,unknown,D_related_work_only,"Search points to VideoComp as a compositional/video-text alignment or compositing dataset/task, not a directly trainable BR inpainting baseline for our protocol.","https://arxiv.org/html/2509.02460v1"
