filename,group,expected_size,actual_size,sha256,status
README.md,README,2769,2769,88f54f31b2c941b1db610932fbb5a968aa5899edcee194226c20ea3132b65822,OK
VOR-Eval.tar.gz.part_000,VOR-Eval,237430605,237430605,fca348aba1e082ca336117e766f23c43063637b59806a5c0d4ca538a14fc5614,OK
VOR-Train-MASK.tar.gz.part_000,VOR-Train-MASK,10737418240,10737418240,98834f76581758ef43f4e07b239d60c5a2ea4a4cc558a6d94aaf62c24b9cb5c1,OK
VOR-Train-MASK.tar.gz.part_001,VOR-Train-MASK,10737418240,10737418240,cdc82163875c89a247369aa6f3b71a03971175283b58473d435827d2c8f6f0fb,OK
VOR-Train-MASK.tar.gz.part_002,VOR-Train-MASK,5662130020,5662130020,132af81718d87d30aadb998f68f6054dddeeb24e888ac2c5fbafcd8d952f39fa,OK
VOR-Train.tar.gz.part_000,VOR-Train,10737418240,10737418240,a1800fe2f02aa66f1424cd5342a598a66ce605bf870bf3eae6a05fe7c9756837,OK
VOR-Train.tar.gz.part_001,VOR-Train,10737418240,10737418240,27d95e36699bc14215787209e0fd95948c968b8cddbdbb133aa3012e02358826,OK
VOR-Train.tar.gz.part_002,VOR-Train,10737418240,10737418240,0b7a9db441139e811b42342d5156c86e4432406f3e0d0df88963589b1c594f38,OK
VOR-Train.tar.gz.part_003,VOR-Train,10737418240,10737418240,7f206d3eea0d50cca6e47f9b5e43bedf328f86821c3796ee5612063b0d468d2e,OK
VOR-Train.tar.gz.part_004,VOR-Train,10737418240,10737418240,9ee6a9bf00f41401cec43fb39d702babfa1753e232a7dcf2bf909673cb0c57f7,OK
VOR-Train.tar.gz.part_005,VOR-Train,10737418240,10737418240,18ffd1dcfb912a918a33a91e7a1b12af67827a741abd6078235936cbebe13321,OK
VOR-Train.tar.gz.part_006,VOR-Train,10737418240,10737418240,7d45a07f98371657ebe565eef477ebf2c5657dff5e436095501e581beb257bc2,OK
VOR-Train.tar.gz.part_007,VOR-Train,10737418240,10737418240,2f1ba265d31c71da76ac6cc5cc2fc05dcdb2b814d6a5d776f35f136b9bb7c643,OK
VOR-Train.tar.gz.part_008,VOR-Train,10737418240,10737418240,049d37526af9d4b19e524db621ecb2ce255b47f08525cf074420dcc4c8b92f4f,OK
VOR-Train.tar.gz.part_009,VOR-Train,10737418240,10737418240,29e565b1f3d6ecda8dde923f9e00afaa57697bef4a827ef119243d34d866f734,OK
VOR-Train.tar.gz.part_010,VOR-Train,10737418240,10737418240,e1709646d33fe53df12b648e33b35a694949361f1c8644b8e11102bbe9cd298b,OK
VOR-Train.tar.gz.part_011,VOR-Train,10737418240,10737418240,10f1697fb94882c44b7aa26890b082bdf6f8e692b8a14ab86027bb0842c8446d,OK
VOR-Train.tar.gz.part_012,VOR-Train,10737418240,10737418240,dd1b8355c7da732a0aefa4358a1b484e496618335ac470bdd2d387de37ed139c,OK
VOR-Train.tar.gz.part_013,VOR-Train,10737418240,10737418240,903255970373fadbdd58054eca41cc0505efb29ae742f782b2467257ddf306e5,OK
VOR-Train.tar.gz.part_014,VOR-Train,10737418240,10737418240,432f60f452d74675286bbd10cc1a85eec6d368664a3c15047aefa58650469f13,OK
VOR-Train.tar.gz.part_015,VOR-Train,10737418240,10737418240,3f7fbf694cddcbb58068589c8380b67221715dd3665fa451e491da01855e4545,OK
VOR-Train.tar.gz.part_016,VOR-Train,10737418240,10737418240,04896b47c3e73ceba999902ac43b0787887e3a487cca8527a3bc86e45f3e5d3f,OK
VOR-Train.tar.gz.part_017,VOR-Train,10737418240,10737418240,b5462d3ff249eaf6a555294a3719879fcc20aacb48703c79a17716ea2673cbbf,OK
VOR-Train.tar.gz.part_018,VOR-Train,10737418240,10737418240,5942e36b2bb8aac888c91d0069b3345ae33f9e20438cdc36edfa444d245a32b5,OK
VOR-Train.tar.gz.part_019,VOR-Train,10737418240,10737418240,b4a13a0894a68ed100681f5e1c6799d0580a4c1c2dde7ef0112857418313f319,OK
VOR-Train.tar.gz.part_020,VOR-Train,10737418240,10737418240,c1f4fa85cba8f51c0a7a2965c4b0ece251c0e4378520ee26e54e8fd7fa9ae60d,OK
VOR-Train.tar.gz.part_021,VOR-Train,10737418240,10737418240,fe4bbb6627243a0864b744c201f0ef8b7e3c3af109ec86696ae4d3133f7574f6,OK
VOR-Train.tar.gz.part_022,VOR-Train,10737418240,10737418240,632f01cee20728e22098c52f9f0631f57d4252807c56b2ba0c58ef09d90d827a,OK
VOR-Train.tar.gz.part_023,VOR-Train,10737418240,10737418240,afbb66bef827ed2441f0aaffbb0ea58d3160b626ad21ed56c9226ebc2fdec17b,OK
VOR-Train.tar.gz.part_024,VOR-Train,10737418240,10737418240,d44a92afa0eba2b6bef77f31b83c598f3d1f534f54edecce1abbcfa17e05a300,OK
