tensor,shape,numel,module_group,module_family,contains_lora_or_adapter_marker
blocks.0.attn1.norm_k.weight,1536,1536,blocks.0,attention_other,False
blocks.0.attn1.norm_q.weight,1536,1536,blocks.0,attention_other,False
blocks.0.attn1.to_k.bias,1536,1536,blocks.0,attention_k,False
blocks.0.attn1.to_k.weight,1536x1536,2359296,blocks.0,attention_k,False
blocks.0.attn1.to_out.0.bias,1536,1536,blocks.0,attention_out,False
blocks.0.attn1.to_out.0.weight,1536x1536,2359296,blocks.0,attention_out,False
blocks.0.attn1.to_q.bias,1536,1536,blocks.0,attention_q,False
blocks.0.attn1.to_q.weight,1536x1536,2359296,blocks.0,attention_q,False
blocks.0.attn1.to_v.bias,1536,1536,blocks.0,attention_v,False
blocks.0.attn1.to_v.weight,1536x1536,2359296,blocks.0,attention_v,False
blocks.0.ffn.net.0.proj.bias,8960,8960,blocks.0,mlp,False
blocks.0.ffn.net.0.proj.weight,8960x1536,13762560,blocks.0,mlp,False
blocks.0.ffn.net.2.bias,1536,1536,blocks.0,mlp,False
blocks.0.ffn.net.2.weight,1536x8960,13762560,blocks.0,mlp,False
blocks.0.scale_shift_table,1x6x1536,9216,blocks.0,other,False
blocks.1.attn1.norm_k.weight,1536,1536,blocks.1,attention_other,False
blocks.1.attn1.norm_q.weight,1536,1536,blocks.1,attention_other,False
blocks.1.attn1.to_k.bias,1536,1536,blocks.1,attention_k,False
blocks.1.attn1.to_k.weight,1536x1536,2359296,blocks.1,attention_k,False
blocks.1.attn1.to_out.0.bias,1536,1536,blocks.1,attention_out,False
blocks.1.attn1.to_out.0.weight,1536x1536,2359296,blocks.1,attention_out,False
blocks.1.attn1.to_q.bias,1536,1536,blocks.1,attention_q,False
blocks.1.attn1.to_q.weight,1536x1536,2359296,blocks.1,attention_q,False
blocks.1.attn1.to_v.bias,1536,1536,blocks.1,attention_v,False
blocks.1.attn1.to_v.weight,1536x1536,2359296,blocks.1,attention_v,False
blocks.1.ffn.net.0.proj.bias,8960,8960,blocks.1,mlp,False
blocks.1.ffn.net.0.proj.weight,8960x1536,13762560,blocks.1,mlp,False
blocks.1.ffn.net.2.bias,1536,1536,blocks.1,mlp,False
blocks.1.ffn.net.2.weight,1536x8960,13762560,blocks.1,mlp,False
blocks.1.scale_shift_table,1x6x1536,9216,blocks.1,other,False
blocks.10.attn1.norm_k.weight,1536,1536,blocks.10,attention_other,False
blocks.10.attn1.norm_q.weight,1536,1536,blocks.10,attention_other,False
blocks.10.attn1.to_k.bias,1536,1536,blocks.10,attention_k,False
blocks.10.attn1.to_k.weight,1536x1536,2359296,blocks.10,attention_k,False
blocks.10.attn1.to_out.0.bias,1536,1536,blocks.10,attention_out,False
blocks.10.attn1.to_out.0.weight,1536x1536,2359296,blocks.10,attention_out,False
blocks.10.attn1.to_q.bias,1536,1536,blocks.10,attention_q,False
blocks.10.attn1.to_q.weight,1536x1536,2359296,blocks.10,attention_q,False
blocks.10.attn1.to_v.bias,1536,1536,blocks.10,attention_v,False
blocks.10.attn1.to_v.weight,1536x1536,2359296,blocks.10,attention_v,False
blocks.10.ffn.net.0.proj.bias,8960,8960,blocks.10,mlp,False
blocks.10.ffn.net.0.proj.weight,8960x1536,13762560,blocks.10,mlp,False
blocks.10.ffn.net.2.bias,1536,1536,blocks.10,mlp,False
blocks.10.ffn.net.2.weight,1536x8960,13762560,blocks.10,mlp,False
blocks.10.scale_shift_table,1x6x1536,9216,blocks.10,other,False
blocks.11.attn1.norm_k.weight,1536,1536,blocks.11,attention_other,False
blocks.11.attn1.norm_q.weight,1536,1536,blocks.11,attention_other,False
blocks.11.attn1.to_k.bias,1536,1536,blocks.11,attention_k,False
blocks.11.attn1.to_k.weight,1536x1536,2359296,blocks.11,attention_k,False
blocks.11.attn1.to_out.0.bias,1536,1536,blocks.11,attention_out,False
blocks.11.attn1.to_out.0.weight,1536x1536,2359296,blocks.11,attention_out,False
blocks.11.attn1.to_q.bias,1536,1536,blocks.11,attention_q,False
blocks.11.attn1.to_q.weight,1536x1536,2359296,blocks.11,attention_q,False
blocks.11.attn1.to_v.bias,1536,1536,blocks.11,attention_v,False
blocks.11.attn1.to_v.weight,1536x1536,2359296,blocks.11,attention_v,False
blocks.11.ffn.net.0.proj.bias,8960,8960,blocks.11,mlp,False
blocks.11.ffn.net.0.proj.weight,8960x1536,13762560,blocks.11,mlp,False
blocks.11.ffn.net.2.bias,1536,1536,blocks.11,mlp,False
blocks.11.ffn.net.2.weight,1536x8960,13762560,blocks.11,mlp,False
blocks.11.scale_shift_table,1x6x1536,9216,blocks.11,other,False
blocks.12.attn1.norm_k.weight,1536,1536,blocks.12,attention_other,False
blocks.12.attn1.norm_q.weight,1536,1536,blocks.12,attention_other,False
blocks.12.attn1.to_k.bias,1536,1536,blocks.12,attention_k,False
blocks.12.attn1.to_k.weight,1536x1536,2359296,blocks.12,attention_k,False
blocks.12.attn1.to_out.0.bias,1536,1536,blocks.12,attention_out,False
blocks.12.attn1.to_out.0.weight,1536x1536,2359296,blocks.12,attention_out,False
blocks.12.attn1.to_q.bias,1536,1536,blocks.12,attention_q,False
blocks.12.attn1.to_q.weight,1536x1536,2359296,blocks.12,attention_q,False
blocks.12.attn1.to_v.bias,1536,1536,blocks.12,attention_v,False
blocks.12.attn1.to_v.weight,1536x1536,2359296,blocks.12,attention_v,False
blocks.12.ffn.net.0.proj.bias,8960,8960,blocks.12,mlp,False
blocks.12.ffn.net.0.proj.weight,8960x1536,13762560,blocks.12,mlp,False
blocks.12.ffn.net.2.bias,1536,1536,blocks.12,mlp,False
blocks.12.ffn.net.2.weight,1536x8960,13762560,blocks.12,mlp,False
blocks.12.scale_shift_table,1x6x1536,9216,blocks.12,other,False
blocks.13.attn1.norm_k.weight,1536,1536,blocks.13,attention_other,False
blocks.13.attn1.norm_q.weight,1536,1536,blocks.13,attention_other,False
blocks.13.attn1.to_k.bias,1536,1536,blocks.13,attention_k,False
blocks.13.attn1.to_k.weight,1536x1536,2359296,blocks.13,attention_k,False
blocks.13.attn1.to_out.0.bias,1536,1536,blocks.13,attention_out,False
blocks.13.attn1.to_out.0.weight,1536x1536,2359296,blocks.13,attention_out,False
blocks.13.attn1.to_q.bias,1536,1536,blocks.13,attention_q,False
blocks.13.attn1.to_q.weight,1536x1536,2359296,blocks.13,attention_q,False
blocks.13.attn1.to_v.bias,1536,1536,blocks.13,attention_v,False
blocks.13.attn1.to_v.weight,1536x1536,2359296,blocks.13,attention_v,False
blocks.13.ffn.net.0.proj.bias,8960,8960,blocks.13,mlp,False
blocks.13.ffn.net.0.proj.weight,8960x1536,13762560,blocks.13,mlp,False
blocks.13.ffn.net.2.bias,1536,1536,blocks.13,mlp,False
blocks.13.ffn.net.2.weight,1536x8960,13762560,blocks.13,mlp,False
blocks.13.scale_shift_table,1x6x1536,9216,blocks.13,other,False
blocks.14.attn1.norm_k.weight,1536,1536,blocks.14,attention_other,False
blocks.14.attn1.norm_q.weight,1536,1536,blocks.14,attention_other,False
blocks.14.attn1.to_k.bias,1536,1536,blocks.14,attention_k,False
blocks.14.attn1.to_k.weight,1536x1536,2359296,blocks.14,attention_k,False
blocks.14.attn1.to_out.0.bias,1536,1536,blocks.14,attention_out,False
blocks.14.attn1.to_out.0.weight,1536x1536,2359296,blocks.14,attention_out,False
blocks.14.attn1.to_q.bias,1536,1536,blocks.14,attention_q,False
blocks.14.attn1.to_q.weight,1536x1536,2359296,blocks.14,attention_q,False
blocks.14.attn1.to_v.bias,1536,1536,blocks.14,attention_v,False
blocks.14.attn1.to_v.weight,1536x1536,2359296,blocks.14,attention_v,False
blocks.14.ffn.net.0.proj.bias,8960,8960,blocks.14,mlp,False
blocks.14.ffn.net.0.proj.weight,8960x1536,13762560,blocks.14,mlp,False
