frame_index,gradient_cosine,lambda_lt_1,lambda_safe,sample_id,status,unsafe_rate,winner_loss_after_tiny_step,winner_loss_before,winner_predicted_change
0,0.23024234175682068,True,0.7457339763641357,BLENDER_FOREST039_00117,ok,0.0,0.0002381031954428181,0.0002381031954428181,0.0
8,0.212644562125206,True,0.7770615816116333,BLENDER_FOREST039_00117,ok,0.0,0.0002335626631975174,0.00023356267774943262,-1.4551915228366852e-11
15,0.2547268271446228,True,0.7030092477798462,BLENDER_FOREST039_00117,ok,0.0,0.00023246236378327012,0.00023246236378327012,0.0
23,0.2578686773777008,True,0.7278825640678406,BLENDER_FOREST039_00117,ok,0.0,0.0002460121177136898,0.00024601214681752026,-2.9103830456733704e-11
0,0.31375595927238464,True,0.31602615118026733,BLENDER_CON001_00332,ok,0.0,7.941624062368646e-05,7.941624062368646e-05,0.0
8,0.31201279163360596,True,0.31691497564315796,BLENDER_CON001_00332,ok,0.0,7.948632264742628e-05,7.948632264742628e-05,0.0
15,0.31418946385383606,True,0.31625616550445557,BLENDER_CON001_00332,ok,0.0,7.953972817631438e-05,7.953972817631438e-05,0.0
23,0.3150099515914917,True,0.3159383237361908,BLENDER_CON001_00332,ok,0.0,7.952002488309518e-05,7.952003215905279e-05,-7.275957614183426e-12
0,0.8479060530662537,True,0.6706709265708923,REAL_ENV114_00004_004_02,ok,0.0,0.0017670760862529278,0.0017670762026682496,-1.1641532182693481e-10
8,0.8582580089569092,True,0.6494951248168945,REAL_ENV114_00004_004_02,ok,0.0,0.0017611156217753887,0.0017611156217753887,0.0
15,0.8689314126968384,True,0.6495976448059082,REAL_ENV114_00004_004_02,ok,0.0,0.001870657317340374,0.001870657317340374,0.0
23,0.8490591049194336,True,0.6770796179771423,REAL_ENV114_00004_004_02,ok,0.0,0.001948709599673748,0.001948709599673748,0.0
0,0.3413196802139282,False,1.0,REAL_ENV024_00002_008_01,ok,0.0,0.005708380602300167,0.005708380602300167,0.0
8,0.3435956835746765,False,1.0,REAL_ENV024_00002_008_01,ok,0.0,0.005293617490679026,0.005293617490679026,0.0
15,0.3164738118648529,False,1.0,REAL_ENV024_00002_008_01,ok,0.0,0.0054529388435184956,0.0054529388435184956,0.0
