split,row_id,source_group,mp4_path,runner_winner_path,frame_count,status,ok
train,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed4_2026092780/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,17,reused,True
train,pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed0_2026092776/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0001_BLENDER_DESERT004__exp45_pair001__s0__f6,17,reused,True
train,pseudo_train_0002_BLENDER_DESERT004__exp45_pair002__s1__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed1_2026092777/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0002_BLENDER_DESERT004__exp45_pair002__s1__f6,17,reused,True
train,pseudo_train_0003_BLENDER_DESERT004__exp45_pair003__s11__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed11_2026092787/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0003_BLENDER_DESERT004__exp45_pair003__s11__f6,17,reused,True
train,pseudo_train_0004_BLENDER_DESERT004__exp45_pair004__s9__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed9_2026092785/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0004_BLENDER_DESERT004__exp45_pair004__s9__f6,17,reused,True
train,pseudo_train_0005_BLENDER_DESERT004__exp45_pair005__s10__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed10_2026092786/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0005_BLENDER_DESERT004__exp45_pair005__s10__f6,17,reused,True
train,pseudo_train_0006_BLENDER_DESERT004__exp45_pair006__s2__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed2_2026092778/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0006_BLENDER_DESERT004__exp45_pair006__s2__f6,17,reused,True
train,pseudo_train_0007_BLENDER_DESERT004__exp45_pair007__s5__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed5_2026092781/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0007_BLENDER_DESERT004__exp45_pair007__s5__f6,17,reused,True
train,pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed3_2026092779/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,17,reused,True
train,pseudo_train_0009_BLENDER_DESERT004__exp45_pair009__s7__f6,BLENDER_DESERT004,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/pai_abs/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp44_pai_minimax_targeted_same_source_mining/targeted_mining_20260629_161742/candidates/BLENDER_DESERT004/BLENDER_DESERT004_00001/seed7_2026092783/evidence/raw_output.mp4,/home/nvme01/H20_Video_inpainting_DPO/data/h20_mirror/minimax/exp46_pseudosuccess_target_frames/train/pseudo_train_0009_BLENDER_DESERT004__exp45_pair009__s7__f6,17,reused,True
