sample_id,profile_id,is_primary,review_page,review_method,frames_reviewed,classification_auto,classification_final,outside_damage,temporal_artifact,spatial_artifact,reason,reviewer_pass
BLENDER_FOREST006_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_00.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST006_00001,CC-v3-A,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_00.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST007_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_00.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
BLENDER_FOREST008_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_00.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST008_00001,CC-v3-A,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_01.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST015_00001,CC-v3-B,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_01.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST015_00001,CC-v3-A,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_01.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
BLENDER_FOREST016_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_01.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST016_00001,CC-v3-A,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_02.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,yes,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
BLENDER_FOREST017_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_02.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
BLENDER_FOREST018_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_02.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
BLENDER_FOREST018_00001,CC-v3-A,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_02.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
BLENDER_FOREST019_00001,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_03.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV044_00005_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_03.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV045_00001_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_03.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV045_00002_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_03.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV045_00003_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_04.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV045_00003_001_01,CC-v3-A,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_04.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV045_00003_001_01,CC-v3-C,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_04.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV046_00002_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_04.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV046_00002_001_01,CC-v3-C,no,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_05.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",TRIVIAL_BAD,TRIVIAL_BAD,none_systematic,no_or_bounded,controlled_local_residual,visible temporal jump or over-hard local artifact; excluded from usable controlled pool,yes
REAL_ENV046_00003_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_05.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV046_00004_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_05.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
REAL_ENV046_00005_001_01,CC-v3-B,yes,reports/exp30_controlled_corruption_v3_assets/controlled_v3_all_page_05.jpg,codex_opened_all_candidate_temporal_pages_and_primary_pages,"0,8,16,16-strip",MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,none_systematic,no_or_bounded,controlled_local_residual,"bounded local residual, outside preserved, temporal evidence acceptable in review page",yes
