generation_seed_label,sample_id,scene_group,source_type,mask_bucket,classification,reason,output_path,condition_path,winner_path,mask_path,review_page,mask_psnr,boundary_psnr,outside_mae,temporal_flicker_score
seed_a,BLENDER_BEACH001_00001,BLENDER_BEACH001,BLENDER,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,3.055473159341251,
seed_a,BLENDER_BEACH003_00001,BLENDER_BEACH003,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,22.245675676618642,,5.142858028411865,
seed_a,BLENDER_BEACH005_00001,BLENDER_BEACH005,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,15.494803175109261,,6.136748482199276,
seed_a,BLENDER_BEACH006_00001,BLENDER_BEACH006,BLENDER,small,TRIVIAL_BAD,systematic outside damage,,,,,,16.316878801141826,,12.060461885788861,
seed_a,BLENDER_BEACH007_00001,BLENDER_BEACH007,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,14.948614616965447,,5.152400633868049,
seed_a,BLENDER_BEACH012_00001,BLENDER_BEACH012,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,23.833186036097953,,5.030979128444896,
seed_a,BLENDER_BEACH013_00001,BLENDER_BEACH013,BLENDER,small,TRIVIAL_BAD,systematic outside damage,,,,,,10.555997344582753,,9.326554634991814,
seed_a,BLENDER_BEACH014_00001,BLENDER_BEACH014,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,11.650785111858207,,5.93293321833891,
seed_a,BLENDER_BEACH015_00001,BLENDER_BEACH015,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,17.86147575380699,,3.7581526672138885,
seed_a,BLENDER_BEACH016_00001,BLENDER_BEACH016,BLENDER,medium,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,22.017880338814876,,3.301673847086289,
seed_a,BLENDER_BEACH017_00001,BLENDER_BEACH017,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,20.81833375657072,,4.302477107328527,
seed_a,BLENDER_BEACH018_00002,BLENDER_BEACH018,BLENDER,medium,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,19.831899544717125,,3.185256873860079,
seed_a,BLENDER_BEACH020_00001,BLENDER_BEACH020,BLENDER,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,1.9326102523242725,
seed_a,BLENDER_BEACH021_00001,BLENDER_BEACH021,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,21.007494505856204,,2.5324015897863053,
