sample_id,scene_group,source_type,replacement_for,condition_member_path,winner_member_path,mask_member_path
BLENDER_FOREST006_00001,BLENDER_FOREST006,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST006_00001.mp4,VOR-Train/BG/BLENDER_FOREST006_00001.mp4,MASK/BLENDER_FOREST006_00001.mp4
BLENDER_FOREST007_00001,BLENDER_FOREST007,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST007_00001.mp4,VOR-Train/BG/BLENDER_FOREST007_00001.mp4,MASK/BLENDER_FOREST007_00001.mp4
BLENDER_FOREST008_00001,BLENDER_FOREST008,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST008_00001.mp4,VOR-Train/BG/BLENDER_FOREST008_00001.mp4,MASK/BLENDER_FOREST008_00001.mp4
BLENDER_FOREST015_00001,BLENDER_FOREST015,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST015_00001.mp4,VOR-Train/BG/BLENDER_FOREST015_00001.mp4,MASK/BLENDER_FOREST015_00001.mp4
BLENDER_FOREST016_00001,BLENDER_FOREST016,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST016_00001.mp4,VOR-Train/BG/BLENDER_FOREST016_00001.mp4,MASK/BLENDER_FOREST016_00001.mp4
BLENDER_FOREST017_00001,BLENDER_FOREST017,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST017_00001.mp4,VOR-Train/BG/BLENDER_FOREST017_00001.mp4,MASK/BLENDER_FOREST017_00001.mp4
BLENDER_FOREST018_00001,BLENDER_FOREST018,BLENDER,,VOR-Train/FG_BG/BLENDER_FOREST018_00001.mp4,VOR-Train/BG/BLENDER_FOREST018_00001.mp4,MASK/BLENDER_FOREST018_00001.mp4
BLENDER_FOREST019_00001,BLENDER_FOREST019,BLENDER,technical_invalid_pre_inference,VOR-Train/FG_BG/BLENDER_FOREST019_00001.mp4,VOR-Train/BG/BLENDER_FOREST019_00001.mp4,MASK/BLENDER_FOREST019_00001.mp4
REAL_ENV044_00005_001_01,REAL_ENV044_00005,REAL,,VOR-Train/FG_BG/REAL_ENV044_00005_001_01.mp4,VOR-Train/BG/REAL_ENV044_00005_001_01.mp4,MASK/REAL_ENV044_00005_001_01.mp4
REAL_ENV045_00001_001_01,REAL_ENV045_00001,REAL,,VOR-Train/FG_BG/REAL_ENV045_00001_001_01.mp4,VOR-Train/BG/REAL_ENV045_00001_001_01.mp4,MASK/REAL_ENV045_00001_001_01.mp4
REAL_ENV045_00002_001_01,REAL_ENV045_00002,REAL,,VOR-Train/FG_BG/REAL_ENV045_00002_001_01.mp4,VOR-Train/BG/REAL_ENV045_00002_001_01.mp4,MASK/REAL_ENV045_00002_001_01.mp4
REAL_ENV045_00003_001_01,REAL_ENV045_00003,REAL,,VOR-Train/FG_BG/REAL_ENV045_00003_001_01.mp4,VOR-Train/BG/REAL_ENV045_00003_001_01.mp4,MASK/REAL_ENV045_00003_001_01.mp4
REAL_ENV046_00002_001_01,REAL_ENV046_00002,REAL,,VOR-Train/FG_BG/REAL_ENV046_00002_001_01.mp4,VOR-Train/BG/REAL_ENV046_00002_001_01.mp4,MASK/REAL_ENV046_00002_001_01.mp4
REAL_ENV046_00003_001_01,REAL_ENV046_00003,REAL,,VOR-Train/FG_BG/REAL_ENV046_00003_001_01.mp4,VOR-Train/BG/REAL_ENV046_00003_001_01.mp4,MASK/REAL_ENV046_00003_001_01.mp4
REAL_ENV046_00004_001_01,REAL_ENV046_00004,REAL,technical_invalid_pre_inference,VOR-Train/FG_BG/REAL_ENV046_00004_001_01.mp4,VOR-Train/BG/REAL_ENV046_00004_001_01.mp4,MASK/REAL_ENV046_00004_001_01.mp4
REAL_ENV046_00005_001_01,REAL_ENV046_00005,REAL,technical_invalid_pre_inference,VOR-Train/FG_BG/REAL_ENV046_00005_001_01.mp4,VOR-Train/BG/REAL_ENV046_00005_001_01.mp4,MASK/REAL_ENV046_00005_001_01.mp4
