split,sample_id,stream,comparison,n_a,n_b,frames_compared,resolution_a,resolution_b,mae,max_abs,same_hash,first_sha_a,first_sha_b,path_a,path_b
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,raw_frames,replay_official_base_vs_replay_step0,49,49,49,720x480,720x480,0.0,0.0,True,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/official_base/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,comp_frames,replay_official_base_vs_replay_step0,49,49,49,720x480,720x480,0.0,0.0,True,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/official_base/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,raw_frames,replay_official_base_vs_existing_step0,49,49,49,720x480,720x480,0.0,0.0,True,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/official_base/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step0/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,comp_frames,replay_official_base_vs_existing_step0,49,49,49,720x480,720x480,0.0,0.0,True,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/official_base/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step0/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,raw_frames,replay_step0_vs_existing_step0,49,49,49,720x480,720x480,0.0,0.0,True,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,fdc4c552673b1f4a82424239b409e4c4f89e9cccec24e5729201a37bf7a87350,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step0/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,comp_frames,replay_step0_vs_existing_step0,49,49,49,720x480,720x480,0.0,0.0,True,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step0/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step0/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,raw_frames,replay_step50_vs_existing_step50,49,49,49,720x480,720x480,0.0,0.0,True,f083897b77e84717016d3ebbdec3236f7bf7b7a1081d952bcb12172391d8d8e7,f083897b77e84717016d3ebbdec3236f7bf7b7a1081d952bcb12172391d8d8e7,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step50/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step50/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,comp_frames,replay_step50_vs_existing_step50,49,49,49,720x480,720x480,0.0,0.0,True,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step50/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step50/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,raw_frames,replay_step2000_vs_existing_step2000,49,49,49,720x480,720x480,0.0,0.0,True,b133be43d3ee3cd2d908c8361423ffad2ad961027d4bff08a91f6ec4c2b535d1,b133be43d3ee3cd2d908c8361423ffad2ad961027d4bff08a91f6ec4c2b535d1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/raw_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
search,vp2_vor_bg_49f_REAL_ENV242_00112_002_03,comp_frames,replay_step2000_vs_existing_step2000,49,49,49,720x480,720x480,0.0,0.0,True,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,51a2a400bf2204e7fd3f27714f653ca7697054c5712de473a67986eb83e82707,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/search/step2000/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_eval_step0_50_2000_20260628_032700/search/step2000/official_generation/comp_frames/vp2_vor_bg_49f_REAL_ENV242_00112_002_03
