gate64_index,sample_id,scene_group,source_type,mask_bucket,effect_type,condition_member_path,winner_member_path,mask_member_path,_source_pool_path,selection_reason
0,BLENDER_FOREST049_00001,BLENDER_FOREST049,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST049_00001.mp4,VOR-Train/BG/BLENDER_FOREST049_00001.mp4,MASK/BLENDER_FOREST049_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
1,BLENDER_GRASS001_00001,BLENDER_GRASS001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS001_00001.mp4,VOR-Train/BG/BLENDER_GRASS001_00001.mp4,MASK/BLENDER_GRASS001_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
2,BLENDER_GRASS002_00001,BLENDER_GRASS002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS002_00001.mp4,VOR-Train/BG/BLENDER_GRASS002_00001.mp4,MASK/BLENDER_GRASS002_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
3,BLENDER_GRASS003_00002,BLENDER_GRASS003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS003_00002.mp4,VOR-Train/BG/BLENDER_GRASS003_00002.mp4,MASK/BLENDER_GRASS003_00002.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
4,BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN001_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN001_00001.mp4,MASK/BLENDER_MOUNTAIN001_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
5,BLENDER_MOUNTAIN006_00001,BLENDER_MOUNTAIN006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN006_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN006_00001.mp4,MASK/BLENDER_MOUNTAIN006_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
6,BLENDER_MOUNTAIN007_00001,BLENDER_MOUNTAIN007,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN007_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN007_00001.mp4,MASK/BLENDER_MOUNTAIN007_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
7,BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN008_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN008_00001.mp4,MASK/BLENDER_MOUNTAIN008_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
8,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN009_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN009_00001.mp4,MASK/BLENDER_MOUNTAIN009_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
9,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN011_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN011_00001.mp4,MASK/BLENDER_MOUNTAIN011_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
