case,rank,local_rank,world_size,status,dtype,loss,grad_norm,finite_loss,grad_finite,checkpoint_status,max_memory_allocated,started_at,finished_at,error_type,error,json_path
P0,0,0,1,PASS,,2050.82861328125,2.831369161605835,,,,138412544,2026-06-29T06:40:31+0800,2026-06-29T06:40:33+0800,,,P0/rank0.json
P1,0,0,1,PASS,torch.float32,,,,,,6564385792,2026-06-29T06:40:49+0800,2026-06-29T06:41:07+0800,,,P1/rank0.json
P2,0,0,1,PASS,torch.bfloat16,0.19614098966121674,0.0,True,True,not_requested,7628011008,2026-06-29T06:41:24+0800,2026-06-29T06:41:57+0800,,,P2/rank0.json
P3,0,0,1,PASS,torch.bfloat16,0.19614098966121674,3.281572142587461,True,True,not_requested,62843551232,2026-06-29T06:42:16+0800,2026-06-29T06:42:55+0800,,,P3/rank0.json
P4,0,0,1,PASS,torch.float32,0.19492636620998383,3.179090593773888,True,True,PASS,72333680640,2026-06-29T06:43:14+0800,2026-06-29T06:44:27+0800,,,P4/rank0.json
P5,0,0,1,PASS,torch.bfloat16,0.19614098966121674,3.281572142587461,True,True,PASS,62843551232,2026-06-29T06:44:47+0800,2026-06-29T06:45:40+0800,,,P5/rank0.json
P6,0,0,2,PASS,torch.bfloat16,0.19614098966121674,2.1718841431594367,True,True,PASS,65103734784,2026-06-29T06:46:06+0800,2026-06-29T06:47:07+0800,,,P6/rank0.json
P6,1,1,2,PASS,torch.bfloat16,0.10708802193403244,2.1718841431594367,True,True,not_requested,65103734784,2026-06-29T06:46:07+0800,2026-06-29T06:46:49+0800,,,P6/rank1.json
P7,0,0,8,PASS,torch.bfloat16,0.19614098966121674,1.488086613488801,True,True,PASS,65103734784,2026-06-29T06:47:44+0800,2026-06-29T06:48:53+0800,,,P7/rank0.json
P7,1,1,8,PASS,torch.bfloat16,0.10708802193403244,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank1.json
P7,2,2,8,PASS,torch.bfloat16,0.03615671023726463,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank2.json
P7,3,3,8,PASS,torch.bfloat16,0.16304674744606018,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank3.json
P7,4,4,8,PASS,torch.bfloat16,0.0629783347249031,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank4.json
P7,5,5,8,PASS,torch.bfloat16,0.012773110531270504,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank5.json
P7,6,6,8,PASS,torch.bfloat16,0.20071153342723846,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:47+0800,2026-06-29T06:48:40+0800,,,P7/rank6.json
P7,7,7,8,PASS,torch.bfloat16,0.21371960639953613,1.488086613488801,True,True,not_requested,65103734784,2026-06-29T06:47:46+0800,2026-06-29T06:48:40+0800,,,P7/rank7.json
