sample_id,status,num_frames,flow_conf_mean,flow_conf_p10,flow_conf_p50,flow_conf_p90,valid_flow_ratio,mean_flow_magnitude,forward_backward_error,failure_reason
youtubevos_000000_003234408d,ok,16,0.687086284160614,0.0,0.916799396276474,0.9732735753059387,0.7485558127572016,5.610272407531738,0.5699343681335449,
youtubevos_000001_0043f083b5,ok,16,0.48506298661231995,0.0,0.614036351442337,0.905871570110321,0.693491512345679,4.337015151977539,0.8795458674430847,
youtubevos_000002_0044fa5fba,ok,16,0.6371932625770569,0.0,0.9036951661109924,0.9708959460258484,0.6932343106995885,1.9306221008300781,0.19599349796772003,
youtubevos_000003_005a527edd,ok,16,0.6374222040176392,0.0,0.9157470464706421,0.9758092224597931,0.6953497942386831,1.6381412744522095,0.27436429262161255,
youtubevos_000004_0065b171f9,ok,16,0.5539781451225281,0.0,0.7629170715808868,0.9422550797462463,0.6839429012345679,8.030826568603516,1.8407362699508667,
youtubevos_000005_00917dcfc4,ok,16,0.5806335806846619,0.0,0.8041062355041504,0.9570988595485688,0.7258088991769547,3.4775607585906982,0.9005618095397949,
youtubevos_000006_00a23ccf53,ok,16,0.3983723223209381,0.0,0.37971900403499603,0.876186865568161,0.6414692644032922,7.12282657623291,1.5861717462539673,
youtubevos_000007_00ad5016a4,ok,16,0.42128488421440125,0.0,0.4943270981311798,0.8637704372406005,0.6440875771604938,10.079450607299805,2.0097110271453857,
youtubevos_000008_01082ae388,ok,16,0.7204948663711548,0.0,0.9350151121616364,0.9770609319210053,0.7652154063786009,0.156768798828125,0.08529186248779297,
youtubevos_000009_011ac0a06f,ok,16,0.5046312212944031,0.0,0.6674349904060364,0.9393040835857391,0.6689872685185185,1.2223312854766846,1.7028264999389648,
youtubevos_000010_013099c098,ok,16,0.5954868197441101,0.0,0.8470879197120667,0.9605393409729004,0.7053176440329219,8.752568244934082,1.352096676826477,
youtubevos_000011_0155498c85,ok,16,0.3389999568462372,0.0,0.0002989168860949576,0.8735341250896455,0.47775334362139915,33.89277267456055,26.916133880615234,
youtubevos_000012_01694ad9c8,ok,16,0.686924934387207,0.0,0.9165237545967102,0.9699021637439728,0.7547961676954732,1.7819021940231323,0.2965584099292755,
youtubevos_000013_017ac35701,ok,16,0.7311156392097473,0.0,0.9338534772396088,0.9766141235828399,0.7892489711934156,1.1471469402313232,0.18706844747066498,
youtubevos_000014_01baa5a4e1,ok,16,0.2665223777294159,0.0,0.00031148492416832596,0.867864364385605,0.4006667952674897,25.269123077392578,19.090364456176758,
youtubevos_000015_01c3111683,ok,16,0.1935751885175705,0.0,0.059368640184402466,0.6138712108135225,0.5123765432098766,11.686702728271484,5.256782054901123,
