adapter_loss,finite,lambda_abs_diff,lambda_adapter,lambda_lt_1,lambda_official,lose_gap,loser_policy_mse,loser_ref_mse,loss_abs_diff,official_loss,output_grad_cosine,param_grad_json,row_index,sample_id,state,timestep,win_gap,winner_policy_mse,winner_ref_mse
-0.9975638389587402,True,0.0,0.91796875,True,0.91796875,0.0,1.3112101554870605,1.3112101554870605,0.0,-0.9975638389587402,1.0,"{""unet.conv_in.bias"": 0.0812940001487732, ""unet.conv_in.weight"": 0.12121674418449402, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.06328808516263962, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.04197223484516144, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.07610632479190826, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.15809482336044312, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.02277419902384281, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.0161509420722723}",0,youtubevos_000000_003234408d,S0,50,0.0,0.20608602464199066,0.20608602464199066
-0.7180140018463135,True,0.0,1.0,False,1.0,0.0,0.8027904629707336,0.8027904629707336,0.0,-0.7180140018463135,0.9999999403953552,"{""unet.conv_in.bias"": 0.12325592339038849, ""unet.conv_in.weight"": 0.12677542865276337, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.0704847052693367, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.052064940333366394, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.08787696808576584, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.15028069913387299, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.024791201576590538, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.014086227864027023}",0,youtubevos_000000_003234408d,S0,250,0.0,0.08477640151977539,0.08477640151977539
-0.22649984061717987,True,0.0,1.0,False,1.0,0.0,0.25621727108955383,0.25621727108955383,0.0,-0.22649984061717987,1.0,"{""unet.conv_in.bias"": 0.07196779549121857, ""unet.conv_in.weight"": 0.05749635770916939, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.020553387701511383, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.015679987147450447, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.019444234669208527, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.03181418776512146, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.005206512752920389, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.0023251681122928858}",0,youtubevos_000000_003234408d,S0,500,0.0,0.02971743419766426,0.02971743419766426
-0.03947555273771286,True,0.0,1.0,False,1.0,0.0,0.04542046785354614,0.04542046785354614,0.0,-0.03947555273771286,1.0000001192092896,"{""unet.conv_in.bias"": 0.011334501206874847, ""unet.conv_in.weight"": 0.01036166027188301, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.004922065883874893, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.0035922990646213293, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.005026518367230892, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.008649528957903385, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.0012243634555488825, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.0005231271497905254}",0,youtubevos_000000_003234408d,S0,750,0.0,0.005944910924881697,0.005944910924881697
-0.2357940971851349,True,0.0,1.0,False,1.0,0.0,0.3878346383571625,0.3878346383571625,0.0,-0.2357940971851349,0.9999999403953552,"{""unet.conv_in.bias"": 0.03113371506333351, ""unet.conv_in.weight"": 0.10456260293722153, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.0210501030087471, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.013484392315149307, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.025599472224712372, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.04694230481982231, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.008522546850144863, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.006227634847164154}",1,youtubevos_000001_0043f083b5,S0,50,0.0,0.1520405113697052,0.1520405113697052
-0.14375698566436768,True,0.0,1.0,False,1.0,0.0,0.199609637260437,0.199609637260437,0.0,-0.14375698566436768,0.9999998807907104,"{""unet.conv_in.bias"": 0.031686149537563324, ""unet.conv_in.weight"": 0.06647494435310364, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.01745741441845894, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.012485465966165066, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.021839560940861702, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.03490260988473892, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.006337424740195274, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.0034378403797745705}",1,youtubevos_000001_0043f083b5,S0,250,0.0,0.055852651596069336,0.055852651596069336
-0.04312117397785187,True,0.0,1.0,False,1.0,0.0,0.06419381499290466,0.06419381499290466,0.0,-0.04312117397785187,1.0000001192092896,"{""unet.conv_in.bias"": 0.015291638672351837, ""unet.conv_in.weight"": 0.018646931275725365, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.005355692934244871, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.0035519928205758333, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.005487649701535702, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.0084636015817523, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.001492721145041287, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.0011320431949570775}",1,youtubevos_000001_0043f083b5,S0,500,0.0,0.021072641015052795,0.021072641015052795
-0.007064248900860548,True,0.0,1.0,False,1.0,0.0,0.012614058330655098,0.012614058330655098,0.0,-0.007064248900860548,1.0,"{""unet.conv_in.bias"": 0.005372317507863045, ""unet.conv_in.weight"": 0.004258782137185335, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.0026600013952702284, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.0015891199000179768, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.0028763532172888517, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.004486477933824062, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.0007109674625098705, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.00036166628706268966}",1,youtubevos_000001_0043f083b5,S0,750,0.0,0.005549809895455837,0.005549809895455837
-0.5118226408958435,True,0.0,0.890625,True,0.890625,0.0,0.8715014457702637,0.8715014457702637,0.0,-0.5118226408958435,1.0,"{""unet.conv_in.bias"": 0.05839982256293297, ""unet.conv_in.weight"": 0.08554212003946304, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.046655893325805664, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.03351021558046341, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.05428535118699074, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.11058774590492249, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.016058897599577904, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.010423797182738781}",2,youtubevos_000002_0044fa5fba,S0,50,0.0,0.2643582820892334,0.2643582820892334
-0.3655857443809509,True,0.0,1.0,False,1.0,0.0,0.482865571975708,0.482865571975708,0.0,-0.3655857443809509,1.0,"{""unet.conv_in.bias"": 0.08006633818149567, ""unet.conv_in.weight"": 0.07951141148805618, ""unet.down_blocks.0.attentions.0.norm.bias"": 0.041896115988492966, ""unet.down_blocks.0.attentions.0.norm.weight"": 0.03243104740977287, ""unet.down_blocks.0.attentions.0.proj_in.bias"": 0.05279789865016937, ""unet.down_blocks.0.attentions.0.proj_in.weight"": 0.0932447612285614, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.bias"": 0.014436726458370686, ""unet.down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight"": 0.008079104125499725}",2,youtubevos_000002_0044fa5fba,S0,250,0.0,0.11727979779243469,0.11727979779243469
