time,hostname,run_id,recipe,lr,target_steps,step,rank,world_size,sample_id,loss,grad_norm,grad_finite,finite,t,region_weight_mean,region_weight_max,peak_vram_mib
2026-06-30T01:38:49+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,1,1,0,8,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,0.921429455280304,9.426005203996668,True,True,0.13897590361445783,0.31149497628211975,2.658475637435913,62086.5107421875
2026-06-30T01:40:31+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,2,0,8,pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,0.41822707653045654,1.823707296224344,True,True,0.16795180722891567,0.3108943998813629,2.6481075286865234,62086.5107421875
2026-06-30T01:40:40+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,3,0,8,pseudo_train_0016_BLENDER_FOREST026__exp45_pair005__s6__f0,0.1909252256155014,1.8596035037241843,True,True,0.19692771084337352,0.2651330530643463,2.4602441787719727,66399.96484375
2026-06-30T01:40:48+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,4,0,8,pseudo_train_0024_BLENDER_GRASS001__exp45_pair001__s0__f4,0.17919939756393433,0.9408995991278596,True,True,0.2259036144578313,0.23617029190063477,2.708151340484619,66402.46484375
2026-06-30T01:40:57+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,5,0,8,pseudo_train_0032_BLENDER_GRASS001__exp45_pair009__s1__f4,0.13896553218364716,0.4525260763632066,True,True,0.25487951807228915,0.23650296032428741,2.7102789878845215,66404.96484375
2026-06-30T01:41:05+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,6,0,8,pseudo_train_0040_REAL_ENV080_00003__exp45_pair001__s8__f5,0.14276348054409027,0.3438218718137563,True,True,0.283855421686747,0.4318455755710602,2.1192307472229004,66407.46484375
2026-06-30T01:41:13+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,7,0,8,pseudo_train_0048_REAL_ENV080_00003__exp45_pair009__s7__f1,0.1268044114112854,0.23846553918136132,True,True,0.31283132530120483,0.43250560760498047,2.1085596084594727,66409.96484375
2026-06-30T01:41:21+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,8,0,8,pseudo_train_0056_REAL_ENV080_00003__exp45_pair017__s7__f3,0.11278976500034332,0.1845041736199208,True,True,0.3418072289156626,0.43250560760498047,2.1085596084594727,66412.46484375
2026-06-30T01:41:28+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,9,0,8,pseudo_train_0000_BLENDER_DESERT004__exp45_pair000__s4__f6,0.11445386707782745,0.35908296673225226,True,True,0.37078313253012046,0.31149497628211975,2.658475637435913,66414.96484375
2026-06-30T01:41:31+0800,instance-afs92r3e,PSEUDO-SFT-A_lr3em5_step30,SFT-B,3e-05,30,10,0,8,pseudo_train_0008_BLENDER_DESERT004__exp45_pair008__s3__f6,0.10420473664999008,0.4491644432903802,True,True,0.3997590361445783,0.3108943998813629,2.6481075286865234,66414.96484375
