scene_group,success_usable,failure_medium_hard,same_source_pair_capacity
BLENDER_DESERT004,11,1,1
BLENDER_FOREST013,0,2,0
BLENDER_FOREST015,0,2,0
BLENDER_FOREST017,12,0,0
BLENDER_FOREST018,12,0,0
BLENDER_FOREST021,0,12,0
BLENDER_FOREST026,6,2,2
BLENDER_FOREST028,9,0,0
BLENDER_FOREST030,0,12,0
BLENDER_FOREST049,0,3,0
BLENDER_GRASS001,4,4,4
BLENDER_GRASS002,0,9,0
BLENDER_MOUNTAIN002,6,1,1
BLENDER_OFFICE002,11,0,0
BLENDER_RIVER012,0,12,0
BLENDER_SCHOOL004,8,1,1
BLENDER_STREET001,0,8,0
REAL_ENV046_00003,0,7,0
REAL_ENV047_00001,11,0,0
REAL_ENV059_00001,5,3,3
REAL_ENV068_00002,0,6,0
REAL_ENV080_00003,3,9,3
REAL_ENV097_00001,5,1,1
REAL_ENV099_00001,0,12,0
REAL_ENV103_00001,0,12,0
REAL_ENV105_00001,0,4,0
REAL_ENV105_00002,11,1,1
REAL_ENV105_00004,11,1,1
REAL_ENV144_00001,0,12,0
