region,metric,fresh_s2_2000,candidate_s2_2000,delta_candidate_minus_fresh
mask_core,area_ratio,0.07615586419753086,0.07615586419753086,0.0
mask_core,raw_psnr,21.221588279258977,21.28682844300481,0.06524016374583397
mask_core,raw_ssim,0.8038238620824449,0.8040220154156656,0.0001981533332207075
mask_core,raw_lpips,0.015566943423861326,0.015546310077382566,-2.063334647875968e-05
mask_core,hard_psnr,21.221588279258977,21.28682844300481,0.06524016374583397
mask_core,hard_ssim,0.8038238620824449,0.8040220154156656,0.0001981533332207075
mask_core,hard_lpips,0.015566943423861326,0.015546310077382566,-2.063334647875968e-05
outer1,area_ratio,0.005671296296296297,0.005671296296296297,0.0
outer1,raw_psnr,inf,inf,0.0
outer1,raw_ssim,1.0,1.0,0.0
outer1,raw_lpips,0.0,0.0,0.0
outer1,hard_psnr,inf,inf,0.0
outer1,hard_ssim,1.0,1.0,0.0
outer1,hard_lpips,0.0,0.0,0.0
outer2_cumulative,area_ratio,0.011352044753086418,0.011352044753086418,0.0
outer2_cumulative,raw_psnr,inf,inf,0.0
outer2_cumulative,raw_ssim,1.0,1.0,0.0
outer2_cumulative,raw_lpips,0.0,0.0,0.0
outer2_cumulative,hard_psnr,inf,inf,0.0
outer2_cumulative,hard_ssim,1.0,1.0,0.0
outer2_cumulative,hard_lpips,0.0,0.0,0.0
outer2_band,area_ratio,0.005680748456790124,0.005680748456790124,0.0
outer2_band,raw_psnr,inf,inf,0.0
outer2_band,raw_ssim,1.0,1.0,0.0
outer2_band,raw_lpips,0.0,0.0,0.0
outer2_band,hard_psnr,inf,inf,0.0
outer2_band,hard_ssim,1.0,1.0,0.0
outer2_band,hard_lpips,0.0,0.0,0.0
