sample_id,prior_conf_mean,prior_conf_p10,prior_conf_p50,prior_conf_p90,prior_conf_mean_inside_mask,prior_conf_std_inside_mask,prior_conf_p10_inside_mask,prior_conf_p50_inside_mask,prior_conf_p90_inside_mask,mask_area_ratio,confidence_alpha,reliable_area_ratio,generate_area_ratio,reliable_weight_mass,generate_weight_mass,reliable_generate_mass_sum,boundary_area_ratio,confidence_mode
youtubevos_000000_003234408d,0.6277938485145569,0.16817452013492584,0.6943060159683228,0.9436092376708984,0.6277938485145569,0.2828521132469177,0.16817452013492584,0.6943060159683228,0.9436092376708984,0.22068865597248077,5.0,0.22068865597248077,0.22050480544567108,0.6277939081192017,0.3722061514854431,1.0000000596046448,0.007976465858519077,gt_error
youtubevos_000001_0043f083b5,0.7020182609558105,0.2955665588378906,0.8005791306495667,0.9564909338951111,0.7020182609558105,0.2684268057346344,0.2955665588378906,0.8005791306495667,0.9564909338951111,0.24645061790943146,5.0,0.24645061790943146,0.24597197771072388,0.7020182609558105,0.29798176884651184,1.0000000298023224,0.008979552425444126,gt_error
youtubevos_000002_0044fa5fba,0.533752977848053,0.1659281700849533,0.5463526844978333,0.8938095569610596,0.533752977848053,0.266117125749588,0.1659281700849533,0.5463526844978333,0.8938095569610596,0.29435762763023376,5.0,0.29435762763023376,0.29427626729011536,0.5337530374526978,0.46624699234962463,1.0000000298023224,0.009982638992369175,gt_error
youtubevos_000003_005a527edd,0.6054166555404663,0.16371870040893555,0.6625469923019409,0.9336901307106018,0.6054166555404663,0.2790504992008209,0.16371870040893555,0.6625469923019409,0.9336901307106018,0.2918981611728668,5.0,0.2918981611728668,0.29178422689437866,0.6054165959358215,0.3945833444595337,0.9999999403953552,0.009066358208656311,gt_error
youtubevos_000004_0065b171f9,0.5753234624862671,0.05398796126246452,0.6577078700065613,0.9456658959388733,0.5753234624862671,0.3265526592731476,0.05398796126246452,0.6577078700065613,0.9456658959388733,0.23477225005626678,5.0,0.23477225005626678,0.23455825448036194,0.5753234624862671,0.4246765077114105,0.9999999701976776,0.007788990158587694,gt_error
youtubevos_000005_00917dcfc4,0.6197566986083984,0.15772190690040588,0.7050986289978027,0.9434270262718201,0.6197566986083984,0.29239997267723083,0.15772190690040588,0.7050986289978027,0.9434270262718201,0.21892361342906952,5.0,0.21892361342906952,0.21878495812416077,0.6197565793991089,0.38024336099624634,0.9999999403953552,0.008256172761321068,gt_error
youtubevos_000006_00a23ccf53,0.7413881421089172,0.4193633198738098,0.8072628378868103,0.9508700966835022,0.7413881421089172,0.20925024151802063,0.4193633198738098,0.8072628378868103,0.9508700966835022,0.258468359708786,5.0,0.258468359708786,0.25770339369773865,0.7413881421089172,0.25861188769340515,1.0000000298023224,0.007860725745558739,gt_error
youtubevos_000007_00ad5016a4,0.8142313957214355,0.5998654961585999,0.8709928393363953,0.9594103097915649,0.8142313957214355,0.16978719830513,0.5998654961585999,0.8709928393363953,0.9594103097915649,0.26644301414489746,5.0,0.26644301414489746,0.2650046944618225,0.8142315149307251,0.1857684999704361,1.0000000149011612,0.007801649160683155,gt_error
youtubevos_000008_01082ae388,0.5678237080574036,0.217824786901474,0.585810124874115,0.8866358995437622,0.5678237080574036,0.2476758360862732,0.217824786901474,0.585810124874115,0.8866358995437622,0.22856204211711884,5.0,0.22856204211711884,0.22844569385051727,0.5678237080574036,0.43217629194259644,1.0,0.00766059011220932,gt_error
youtubevos_000009_011ac0a06f,0.607808530330658,0.14829541742801666,0.6719211339950562,0.9515131115913391,0.607808530330658,0.30132895708084106,0.14829541742801666,0.6719211339950562,0.9515131115913391,0.23772183060646057,5.0,0.23772183060646057,0.2368151992559433,0.607808530330658,0.39219149947166443,1.0000000298023224,0.0077449847012758255,gt_error
youtubevos_000010_013099c098,0.5943589806556702,0.11198960989713669,0.6857658624649048,0.9495423436164856,0.5943589806556702,0.31493884325027466,0.11198960989713669,0.6857658624649048,0.9495423436164856,0.2294367253780365,5.0,0.2294367253780365,0.2292010337114334,0.5943590402603149,0.40564098954200745,1.0000000298023224,0.0078125,gt_error
youtubevos_000011_0155498c85,0.6582385301589966,0.24636805057525635,0.7224713563919067,0.9399585723876953,0.6582385301589966,0.2520047426223755,0.24636805057525635,0.7224713563919067,0.9399585723876953,0.2823784649372101,5.0,0.2823784649372101,0.28213614225387573,0.6582385301589966,0.3417615294456482,1.0000000596046448,0.008603394962847233,gt_error
youtubevos_000012_01694ad9c8,0.6595368981361389,0.15093062818050385,0.7749494314193726,0.965208888053894,0.6595368981361389,0.30265405774116516,0.15093062818050385,0.7749494314193726,0.965208888053894,0.22567515075206757,5.0,0.22567515075206757,0.2253653109073639,0.6595368385314941,0.34046313166618347,0.9999999701976776,0.008333333767950535,gt_error
youtubevos_000013_017ac35701,0.6627805829048157,0.2614160478115082,0.7296069860458374,0.9430358409881592,0.6627805829048157,0.25494134426116943,0.2614160478115082,0.7296069860458374,0.9430358409881592,0.20051118731498718,5.0,0.20051118731498718,0.20039544999599457,0.6627805829048157,0.3372194766998291,1.0000000596046448,0.006809413433074951,gt_error
youtubevos_000014_01baa5a4e1,0.7490363121032715,0.266379177570343,0.8610469102859497,0.9766547679901123,0.7490363121032715,0.27253806591033936,0.266379177570343,0.8610469102859497,0.9766547679901123,0.2052951455116272,5.0,0.2052951455116272,0.20466157793998718,0.7490362524986267,0.2509637773036957,1.0000000298023224,0.00704089505597949,gt_error
youtubevos_000015_01c3111683,0.8256343603134155,0.5961627960205078,0.8863089680671692,0.9661049842834473,0.8256343603134155,0.17076072096824646,0.5961627960205078,0.8863089680671692,0.9661049842834473,0.22772955894470215,5.0,0.22772955894470215,0.22569987177848816,0.8256343603134155,0.17436563968658447,1.0,0.007388117257505655,gt_error
youtubevos_000016_01c4cb5ffe,0.7667844891548157,0.07813304662704468,0.9286594986915588,0.983687162399292,0.7667844891548157,0.31799066066741943,0.07813304662704468,0.9286594986915588,0.983687162399292,0.27299201488494873,5.0,0.27299201488494873,0.27058377861976624,0.7667845487594604,0.23321546614170074,1.0000000149011612,0.008410493843257427,gt_error
youtubevos_000017_01c76f0a82,0.641944169998169,0.1784316748380661,0.7230823636054993,0.9747275710105896,0.641944169998169,0.3046203553676605,0.1784316748380661,0.7230823636054993,0.9747275710105896,0.22845293581485748,5.0,0.22845293581485748,0.22028838098049164,0.6419440507888794,0.35805588960647583,0.9999999403953552,0.007899305783212185,gt_error
youtubevos_000018_01c783268c,0.6336650848388672,0.15841570496559143,0.7169191241264343,0.9602280855178833,0.6336650848388672,0.2959977686405182,0.15841570496559143,0.7169191241264343,0.9602280855178833,0.25245949625968933,5.0,0.25245949625968933,0.2511537969112396,0.6336650848388672,0.3663349151611328,1.0,0.008748071268200874,gt_error
youtubevos_000019_01e64dd36a,0.6128015518188477,0.09691063314676285,0.7106636762619019,0.9446640014648438,0.6128015518188477,0.3124198019504547,0.09691063314676285,0.7106636762619019,0.9446640014648438,0.2472318708896637,5.0,0.2472318708896637,0.24689911305904388,0.6128014922142029,0.38719847798347473,0.9999999701976776,0.007870370522141457,gt_error
youtubevos_000020_01ed275c6e,0.5333959460258484,0.15907718241214752,0.5515478849411011,0.8830849528312683,0.5333959460258484,0.26836106181144714,0.15907718241214752,0.5515478849411011,0.8830849528312683,0.27644675970077515,5.0,0.27644675970077515,0.2763967216014862,0.5333958864212036,0.466604083776474,0.9999999701976776,0.00866126548498869,gt_error
youtubevos_000021_01ff60d1fa,0.5140005946159363,0.1420006901025772,0.5301392674446106,0.8740519881248474,0.5140005946159363,0.2696981430053711,0.1420006901025772,0.5301392674446106,0.8740519881248474,0.2039448320865631,5.0,0.2039448320865631,0.20391348004341125,0.5140005946159363,0.4859994351863861,1.0000000298023224,0.007011959794908762,gt_error
youtubevos_000022_020cd28cd2,0.7095665335655212,0.13093455135822296,0.8406720161437988,0.9674825668334961,0.7095665335655212,0.29764363169670105,0.13093455135822296,0.8406720161437988,0.9674825668334961,0.2066183239221573,5.0,0.2066183239221573,0.20512032508850098,0.7095665335655212,0.29043349623680115,1.0000000298023224,0.006849199533462524,gt_error
youtubevos_000023_02264db755,0.5727632641792297,0.18291787803173065,0.5988042950630188,0.9083242416381836,0.5727632641792297,0.26648250222206116,0.18291787803173065,0.5988042950630188,0.9083242416381836,0.22419583797454834,5.0,0.22419583797454834,0.22396495938301086,0.5727632641792297,0.4272367060184479,0.9999999701976776,0.0076358746737241745,gt_error
youtubevos_000024_0248626d9a,0.8361181020736694,0.6631762981414795,0.8904116153717041,0.9563389420509338,0.8361181020736694,0.1689029335975647,0.6631762981414795,0.8904116153717041,0.9563389420509338,0.2672869563102722,5.0,0.2672869563102722,0.26653164625167847,0.8361181020736694,0.16388188302516937,0.9999999850988388,0.008434606716036797,gt_error
youtubevos_000025_02668dbffa,0.549106776714325,0.1643315702676773,0.5751942992210388,0.8832442760467529,0.549106776714325,0.265262246131897,0.1643315702676773,0.5751942992210388,0.8832442760467529,0.24993610382080078,5.0,0.24993610382080078,0.24988004565238953,0.5491067171096802,0.45089322328567505,0.9999999403953552,0.007977671921253204,gt_error
youtubevos_000026_0274193026,0.6417975425720215,0.1814696341753006,0.7165312170982361,0.9355069994926453,0.6417975425720215,0.2707293927669525,0.1814696341753006,0.7165312170982361,0.9355069994926453,0.2883535921573639,5.0,0.2883535921573639,0.2846040725708008,0.6417976021766663,0.35820242762565613,1.0000000298023224,0.008550346828997135,gt_error
