split,step,variant,rows,full_psnr_mean,full_psnr_median,full_ssim_mean,full_ssim_median,full_lpips_mean,full_lpips_median,mask_psnr_mean,mask_psnr_median,mask_ssim_mean,mask_ssim_median,mask_lpips_mean,mask_lpips_median,boundary_psnr_mean,boundary_psnr_median,boundary_ssim_mean,boundary_ssim_median,boundary_lpips_mean,boundary_lpips_median,outside_psnr_mean,outside_psnr_median,outside_l1_mean,outside_l1_median,ewarp_full_mean,ewarp_full_median,ewarp_mask_region_mean,ewarp_mask_region_median,tc_mean,tc_median,temporal_absdiff_mean_mean,temporal_absdiff_mean_median,temporal_absdiff_max_mean,temporal_absdiff_max_median,tc_status
search,0,raw,32,23.063851178629275,23.935571255635207,0.8466645039655432,0.8642062494567844,0.09383656453918571,0.07978483430128924,16.257492238901516,16.73401915627618,0.6119324730629288,0.6732532429144046,0.2499590786161813,0.22247324107835692,15.11398535222331,15.413708819358197,0.606229045328372,0.6675499714721451,0.24514508261563606,0.21626436267979443,30.951546532052603,31.070209779613208,5.38308853230306,4.968673370322403,nan,nan,8.769079474935399,5.459708714018538,nan,nan,5.746925695081397,4.423435432215532,11.127429194748402,9.905158042907715,TC_BACKEND_NOT_LOCAL
search,0,comp,32,24.115362373814975,24.43883066536396,0.8714818258459613,0.9018969958269851,0.07149779830812192,0.04679300369960921,16.257492238901516,16.73401915627618,0.6160911094412838,0.673370750328482,0.24671583582191184,0.21544610235529643,15.676742244294026,15.960747754246363,0.611520082402397,0.667663341908342,0.24108322909645113,0.20776179060339928,nan,nan,0.0,0.0,nan,nan,9.401873934677951,5.919269387959503,nan,nan,6.612452437664615,5.164891518652439,11.960160113871098,10.763782024383545,TC_BACKEND_NOT_LOCAL
search,50,raw,32,22.39819750607303,22.45432518051273,0.8946288533725693,0.9161559082724527,0.07359206662703383,0.07596143042402609,24.68842419026344,24.304760867084376,0.8611239553471608,0.8870966761616484,0.08662178409698149,0.09007451431049654,23.891001544392303,23.735730476781715,0.8594523262749885,0.8849488069449758,0.08660616515650568,0.09038835395282754,22.140969950793668,22.299426180598736,18.050192885861104,16.85350580604709,nan,nan,0.5018359657362008,0.3535427738370345,nan,nan,4.997873548670517,4.078153520822525,8.330056965351105,6.668495416641235,TC_BACKEND_NOT_LOCAL
search,50,comp,32,32.5462943251769,32.48048446201208,0.9688645909478637,0.9776466662720307,0.02526934431510626,0.02252184168188548,24.68842419026344,24.304760867084376,0.8728595403403091,0.8928490572738015,0.09456423372224283,0.09298319074635705,27.23739672339622,26.968987931544007,0.8737305630178466,0.8936041559862797,0.09339155479453136,0.08963024332964173,nan,nan,0.0,0.0,nan,nan,0.8979261192193869,0.7757279593837059,nan,nan,6.045911006515476,4.923552540441354,9.054090201854706,7.468491554260254,TC_BACKEND_NOT_LOCAL
search,2000,raw,32,29.16630271035696,29.46769847633997,0.951033478206925,0.9598815644686111,0.04333972119980453,0.03950993000168582,26.72149325170434,26.870479624148473,0.9202875846900717,0.9605563756029283,0.05105315507717023,0.0392450684060653,27.7145965677111,28.064635348115193,0.9208174399486269,0.9610992047619407,0.050834825943335694,0.03922207896054412,30.266565111833188,30.32329979491214,6.029322522027153,5.568600961140223,nan,nan,0.5037854447829856,0.3400370068220582,nan,nan,5.20010415170691,4.161592870950699,8.141477167606354,6.489628076553345,TC_BACKEND_NOT_LOCAL
search,2000,comp,32,34.5793633866178,34.568830055229554,0.9763158884158094,0.9891106248477675,0.01660125829221215,0.013193301970557292,26.72149325170434,26.870479624148473,0.9189704765237332,0.9565510855143331,0.05653894177703478,0.0544015335617587,30.575066062219946,30.83294454441218,0.9196364114811055,0.9547306006679129,0.055776740429185644,0.05337307582764576,nan,nan,0.0,0.0,nan,nan,0.6451741034518104,0.5369505868202396,nan,nan,6.096679118507987,4.941107565847536,9.30308385565877,7.536128997802734,TC_BACKEND_NOT_LOCAL
shadow,0,raw,32,21.988794222796546,23.15648461166346,0.8353737599792251,0.8549546347267425,0.09765694673560389,0.09318204414175482,15.384463027173968,16.810287143272014,0.5629646242485744,0.6690290422362244,0.27457089575424715,0.21021431925085682,14.523397412955914,15.505972015831858,0.5575038743274419,0.6614394297892807,0.2689911117583203,0.2058935984969139,29.936310838423967,30.010484094708445,6.223992992496612,5.368735945954615,nan,nan,10.946814115049127,4.745676579053301,nan,nan,7.354305323853623,5.897392408301433,12.738996252417564,12.208514213562012,TC_BACKEND_NOT_LOCAL
shadow,0,comp,32,22.992626910281317,24.201946877234107,0.8676633615792348,0.8822242664965183,0.072446149193601,0.06169763465925139,15.384463027173968,16.810287143272014,0.5683304812894849,0.6727926699908304,0.27174389947685995,0.2035114613827318,15.088278805971616,16.084003201406652,0.5641337419691661,0.6657469020263244,0.2653777650751484,0.19947445928119123,nan,nan,0.0,0.0,nan,nan,11.91129108518633,5.116271232509462,nan,nan,8.611922670184867,6.990831985448798,14.11451555043459,13.155023097991943,TC_BACKEND_NOT_LOCAL
shadow,50,raw,32,21.6694328039428,21.835311309274257,0.8769868809353616,0.9005057630741607,0.07777720038798086,0.07172130637479071,24.5192944304584,24.645389176219204,0.8578569664944729,0.8867281478631921,0.0872667253400626,0.0834707240962113,23.361352547948776,22.700608233578105,0.8554759280830786,0.8861035069285919,0.08760896672174567,0.08363589062355459,21.278407755419437,21.33714423334822,19.6032328100837,18.932675181602946,nan,nan,0.6061332800397778,0.429697172876331,nan,nan,6.608894086549602,5.38046550626556,10.616663038730621,8.700042724609375,TC_BACKEND_NOT_LOCAL
shadow,50,comp,32,32.12745831356575,32.66541007476525,0.9673962366668409,0.9734088362736841,0.02441909898111682,0.023936304795954908,24.5192944304584,24.645389176219204,0.869165946201538,0.9000690692067641,0.09210788916607271,0.08706233029564223,26.694113565981716,26.027194283928992,0.869888774401975,0.8996688247044016,0.09094387911803399,0.08468145745185515,nan,nan,0.0,0.0,nan,nan,0.9981765997171266,0.8224857340337621,nan,nan,8.154832718530088,6.552667423461875,12.32896663248539,11.384774208068848,TC_BACKEND_NOT_LOCAL
