cell,effective_loser_gap,finite,loser_contribution_ratio,loser_gap,loser_policy_loss,loser_reference_loss,loss,prediction_type,preference_margin,same_noise,same_timestep,sample_id,split,winner_gap,winner_policy_loss,winner_reference_loss
R1_Q2_T500_S0,0.0,,0.0,0.0,0.10046549886465073,0.10046549886465073,0.6961632370948792,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07670385390520096,0.07670385390520096
R1_Q2_T500_S0,0.0,,0.0,0.0,0.11214004456996918,0.11214004456996918,0.6955512762069702,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07776900380849838,0.07776900380849838
R1_Q2_T500_S0,0.0,,0.0,0.0,0.09782304614782333,0.09782304614782333,0.7001287937164307,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.16660785675048828,0.16660785675048828
R1_Q2_T500_S0,0.0,,0.0,0.0,0.11033877730369568,0.11033877730369568,0.6977739334106445,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.1057199165225029,0.1057199165225029
R1_Q2_T500_S0,-8.244812488555908e-05,True,0.5558709029260329,-8.244812488555908e-05,0.08590517938137054,0.08582273125648499,0.6942887306213379,v_prediction,0.0001483224332332611,True,True,BLENDER_CON001_00742,heldout4,6.587430834770203e-05,0.03752303496003151,0.03758890926837921
R1_Q2_T500_S0,-3.35201621055603e-05,True,0.28282256797108285,-3.35201621055603e-05,0.10512056201696396,0.1050870418548584,0.6947993636131287,v_prediction,0.0001185201108455658,True,True,BLENDER_CON001_00744,heldout4,8.499994874000549e-05,0.059568166732788086,0.05965316668152809
R1_Q2_T500_S0,2.0503997802734375e-05,True,1.2492056286881525,2.0503997802734375e-05,0.09092766046524048,0.09094816446304321,0.6959526538848877,v_prediction,-1.6413629055023193e-05,True,True,REAL_ENV102_00001_002_02,heldout4,4.090368747711182e-06,0.053368717432022095,0.053372807800769806
R1_Q2_T500_S0,-5.632638931274414e-06,True,0.15766423357664233,-5.632638931274414e-06,0.0869196280837059,0.08691399544477463,0.6947929859161377,v_prediction,3.5725533962249756e-05,True,True,REAL_ENV200_00001_006_02,heldout4,3.0092895030975342e-05,0.05503464490175247,0.05506473779678345
R2_Q2_T500_S0,0.0,,0.0,0.0,0.10046549886465073,0.10046549886465073,0.6961632370948792,v_prediction,0.0,True,True,BLENDER_CON001_00636,train4,0.0,0.07670385390520096,0.07670385390520096
R2_Q2_T500_S0,0.0,,0.0,0.0,0.11214004456996918,0.11214004456996918,0.6955512762069702,v_prediction,0.0,True,True,BLENDER_CON001_00843,train4,0.0,0.07776900380849838,0.07776900380849838
R2_Q2_T500_S0,0.0,,0.0,0.0,0.09782304614782333,0.09782304614782333,0.7001287937164307,v_prediction,0.0,True,True,REAL_ENV219_00001_003_05,train4,0.0,0.16660785675048828,0.16660785675048828
R2_Q2_T500_S0,0.0,,0.0,0.0,0.11033877730369568,0.11033877730369568,0.6977739334106445,v_prediction,0.0,True,True,REAL_ENV259_00102_002_04,train4,0.0,0.1057199165225029,0.1057199165225029
R2_Q2_T500_S0,-0.00012392550706863403,True,0.6539799870249867,-0.00012392550706863403,0.08594665676355362,0.08582273125648499,0.6942867040634155,v_prediction,0.00018949434161186218,True,True,BLENDER_CON001_00742,heldout4,6.556883454322815e-05,0.03752334043383598,0.03758890926837921
R2_Q2_T500_S0,-7.014721632003784e-05,True,0.4459865943487838,-7.014721632003784e-05,0.10515718907117844,0.1050870418548584,0.6947973966598511,v_prediction,0.00015728548169136047,True,True,BLENDER_CON001_00744,heldout4,8.713826537132263e-05,0.05956602841615677,0.05965316668152809
R2_Q2_T500_S0,1.8030405044555664e-06,True,0.7024673439767779,1.8030405044555664e-06,0.09094636142253876,0.09094816446304321,0.6959519982337952,v_prediction,-2.566725015640259e-06,True,True,REAL_ENV102_00001_002_02,heldout4,-7.636845111846924e-07,0.05337357148528099,0.053372807800769806
R2_Q2_T500_S0,-4.248321056365967e-05,True,0.6102964786471154,-4.248321056365967e-05,0.08695647865533829,0.08691399544477463,0.694791316986084,v_prediction,6.961077451705933e-05,True,True,REAL_ENV200_00001_006_02,heldout4,2.7127563953399658e-05,0.05503761023283005,0.05506473779678345
