split,vpdata_id,source_video_id,source_url,path,exists,size_bytes,decode_status,first_frame_ok,frame_count,width,height,fps,error
train,train_pexels_000000000437_854222_mask180,854222,https://videos.pexels.com/video-files/854222/854222-hd_1920_1080_24fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000000/000000000437_854222.mp4,True,56353544,DECODE_OK,True,2414,1920,1080,23.976023976023978,
train,train_pexels_000000000950_855220_mask6,855220,https://videos.pexels.com/video-files/855220/855220-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000000/000000000950_855220.mp4,True,7339893,DECODE_OK,True,326,1920,1080,25.0,
train,train_pexels_000000001337_855849_mask48,855849,https://videos.pexels.com/video-files/855849/855849-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000001/000000001337_855849.mp4,True,22599342,DECODE_OK,True,951,1920,1080,25.0,
train,train_pexels_000000001427_856017_mask2,856017,https://videos.pexels.com/video-files/856017/856017-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000001/000000001427_856017.mp4,True,11953795,DECODE_OK,True,531,1920,1080,25.0,
train,train_pexels_000000001805_856986_mask1,856986,https://videos.pexels.com/video-files/856986/856986-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000001/000000001805_856986.mp4,True,9070254,DECODE_OK,True,345,1920,1080,25.0,
train,train_pexels_000000002366_1182756_mask1,1182756,https://videos.pexels.com/video-files/1182756/1182756-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000002/000000002366_1182756.mp4,True,15277043,DECODE_OK,True,601,1920,1080,25.0,
train,train_pexels_000000002627_1258859_mask1,1258859,https://videos.pexels.com/video-files/1258859/1258859-hd_1920_1080_25fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000002/000000002627_1258859.mp4,True,12494176,DECODE_OK,True,487,1920,1080,25.0,
train,train_pexels_000000003258_1494311_mask7,1494311,https://videos.pexels.com/video-files/1494311/1494311-hd_1920_1080_24fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000003/000000003258_1494311.mp4,True,2603734,DECODE_OK,True,553,1280,720,23.976023976023978,
train,train_pexels_000000003889_1907066_mask1,1907066,https://videos.pexels.com/video-files/1907066/1907066-hd_1920_1080_30fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000003/000000003889_1907066.mp4,True,32073141,DECODE_OK,True,1336,1920,1080,29.97002997002997,
train,train_pexels_000000004237_2209965_mask7,2209965,https://videos.pexels.com/video-files/2209965/2209965-hd_1920_1080_30fps.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/data/external/vpdata_exp60b/raw_subset/raw_video/pexels/000000004/000000004237_2209965.mp4,True,7425719,DECODE_OK,True,361,1920,1080,29.97002997002997,
